,receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,seasonYr,seasonType,fPts
56,2,5,40,20.0,1,37,0,0,0.0,0,0,0,0,-,-,1,2021-09-12T17:00:00.000+00:00,16,23,L,401326308,2021 Regular Season,2021,Regular Season,10.0
55,1,1,23,23.0,0,23,0,0,0.0,0,0,0,0,-,-,3,2021-09-26T17:00:00.000+00:00,43,21,W,401326364,2021 Regular Season,2021,Regular Season,2.3
54,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,-,-,4,2021-10-03T17:00:00.000+00:00,40,0,W,401326381,2021 Regular Season,2021,Regular Season,0.0
53,1,1,16,16.0,0,16,0,0,0.0,0,0,0,0,-,-,5,2021-10-11T00:20:00.000+00:00,20,38,W,401326408,2021 Regular Season,2021,Regular Season,1.6
52,2,2,25,12.5,0,20,0,0,0.0,0,0,0,0,-,-,6,2021-10-19T00:15:00.000+00:00,34,31,L,401326422,2021 Regular Season,2021,Regular Season,2.5
51,4,5,29,7.3,1,11,0,0,0.0,0,0,0,0,-,-,8,2021-10-31T17:00:00.000+00:00,26,11,W,401326438,2021 Regular Season,2021,Regular Season,8.9
50,0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,-,-,9,2021-11-07T18:00:00.000+00:00,9,6,L,401326456,2021 Regular Season,2021,Regular Season,0.0
49,3,3,105,35.0,0,49,0,0,0.0,0,0,0,0,-,-,10,2021-11-14T18:00:00.000+00:00,17,45,W,401326469,2021 Regular Season,2021,Regular Season,10.5
48,2,4,27,13.5,0,20,0,0,0.0,0,0,0,0,-,-,11,2021-11-21T18:00:00.000+00:00,15,41,L,401326480,2021 Regular Season,2021,Regular Season,2.7
47,2,3,47,23.5,0,26,0,0,0.0,0,0,0,0,-,-,12,2021-11-26T01:20:00.000+00:00,6,31,W,401326496,2021 Regular Season,2021,Regular Season,4.7
46,2,4,30,15.0,1,16,0,0,0.0,0,0,0,0,-,-,13,2021-12-07T01:15:00.000+00:00,10,14,L,401326522,2021 Regular Season,2021,Regular Season,9.0
45,5,8,43,8.6,1,21,0,0,0.0,0,0,0,0,-,-,14,2021-12-12T21:25:00.000+00:00,33,27,L,401326534,2021 Regular Season,2021,Regular Season,10.3
44,5,7,85,17.0,2,28,0,0,0.0,0,0,0,0,-,-,15,2021-12-19T18:00:00.000+00:00,31,14,W,401326538,2021 Regular Season,2021,Regular Season,20.5
43,3,3,40,13.3,0,15,0,0,0.0,0,0,0,0,0,0,17,2022-01-02T18:00:00.000+00:00,29,15,W,401326569,2021 Regular Season,2021,Regular Season,4.0
42,3,14,39,13.0,0,27,0,0,0.0,0,0,0,0,-,-,18,2022-01-09T21:25:00.000+00:00,27,10,W,401326587,2021 Regular Season,2021,Regular Season,3.9
39,4,5,88,22.0,1,47,0,0,0.0,0,0,0,0,0,0,1,2022-09-09T00:20:00.000+00:00,10,31,W,401437654,2022 Regular Season,2022,Regular Season,14.8
38,3,6,37,12.3,0,18,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,21,19,L,401437738,2022 Regular Season,2022,Regular Season,3.7
37,1,3,13,13.0,0,13,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,20,23,W,401437750,2022 Regular Season,2022,Regular Season,1.3
36,3,6,171,57.0,2,98,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,38,3,W,401437763,2022 Regular Season,2022,Regular Season,29.1
35,3,6,74,24.7,1,34,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T20:25:00.000+00:00,20,24,W,401437788,2022 Regular Season,2022,Regular Season,13.4
34,2,7,35,17.5,0,29,0,0,0.0,0,0,0,0,0,0,8,2022-10-31T00:20:00.000+00:00,27,17,W,401437817,2022 Regular Season,2022,Regular Season,3.5
33,2,5,33,16.5,0,18,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,20,17,L,401437826,2022 Regular Season,2022,Regular Season,3.3
32,6,10,93,15.5,1,22,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,30,33,L,401437833,2022 Regular Season,2022,Regular Season,15.3
31,5,7,68,13.6,0,28,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,31,23,W,401437847,2022 Regular Season,2022,Regular Season,6.8
30,4,5,38,9.5,0,16,0,0,0.0,0,0,0,0,0,0,12,2022-11-24T17:30:00.000+00:00,25,28,W,401437857,2022 Regular Season,2022,Regular Season,3.8
29,2,7,15,7.5,1,8,0,0,0.0,0,0,0,0,0,0,13,2022-12-02T01:15:00.000+00:00,10,24,W,401437873,2022 Regular Season,2022,Regular Season,7.5
