,Player,TD_Likelihood,Model_Odds,Favor,DraftKings,FanDuel,BetOnline.ag,BetRivers,BetMGM
0,Greg Dortch,0.03,3233.333333333333,1,,,,,
1,Elijah Higgins,0.12,733.3333333333334,1,,,,,
2,Zay Jones,0.18,455.55555555555554,1,,,,,
3,Trey McBride,0.51,-104.08163265306122,-1,,,,,
4,Michael Wilson,0.24,316.6666666666667,1,,,,,
5,Chris Blair,0.07,1328.5714285714284,1,,,,,
6,KhaDarel Hodge,0.03,3233.333333333333,1,,,,,
7,Drake London,0.4,150.0,1,,,,,
8,Ray-Ray McCloud III,0.18,455.55555555555554,1,,,,,
9,Darnell Mooney,0.51,-104.08163265306122,-1,,,,,
10,Kyle Pitts,0.22,354.54545454545456,1,,,,,
11,Charlie Woerner,0.12,733.3333333333334,1,,,,,
12,Nelson Agholor,0.1,900.0,1,370.0,,,,
13,Mark Andrews,0.34,194.11764705882356,1,145.0,,140.0,,
14,Rashod Bateman,0.28,257.1428571428571,1,215.0,,,,
15,Zay Flowers,0.3,233.33333333333337,1,155.0,,150.0,,
16,Isaiah Likely,0.26,284.6153846153846,1,240.0,,,,
17,Tylan Wallace,0.08,1150.0,1,475.0,,,,
18,Amari Cooper,0.28,257.1428571428571,1,,,,,
19,Mack Hollins,0.05,1900.0,1,,,,,
20,Dalton Kincaid,0.32,212.5,1,,,,,
21,Dawson Knox,0.16,525.0,1,,,,,
22,Quintin Morris,0.01,9900.0,1,,,,,
23,Curtis Samuel,0.09,1011.1111111111112,1,,,,,
24,Khalil Shakir,0.37,170.27027027027026,1,,,,,
25,Dan Chisena,0.03,3233.333333333333,1,,,,,
26,Velus Jones Jr.,0.09,1011.1111111111112,1,,,,,
27,David Moore,0.05,1900.0,1,,,,,
28,Adam Thielen,0.3,233.33333333333337,1,,,,,
29,Deven Thompkins,0.01,9900.0,1,,,,,
30,Tommy Tremble,0.04,2400.0,1,,,,,
31,Keenan Allen,0.4,150.0,1,,,,,
32,Gerald Everett,0.01,9900.0,1,,,,,
33,Collin Johnson,0.01,9900.0,1,,,,,
34,Cole Kmet,0.11,809.0909090909091,1,,,,,
35,DJ Moore,0.31,222.5806451612903,1,,,,,
36,Ja'Marr Chase,0.54,-117.3913043478261,-1,-135.0,-150.0,-143.0,-152.0,-135.0
37,Mike Gesicki,0.26,284.6153846153846,1,295.0,310.0,290.0,285.0,300.0
38,Tee Higgins,0.54,-117.3913043478261,-1,110.0,-115.0,110.0,-107.0,110.0
39,Tanner Hudson,0.13,669.2307692307692,1,950.0,1000.0,900.0,1400.0,900.0
40,Andrei Iosivas,0.14,614.2857142857142,1,275.0,270.0,270.0,240.0,275.0
41,Drew Sample,0.24,316.6666666666667,1,1000.0,1000.0,1000.0,1400.0,900.0
