,Player,Model_Odds,Favor,BetMGM,Difference,Model_Probability,BetMGM_Probability,Weight,WeightedValue
139,Jordan Whittington,122.22222222222224,1,1000.0,-877.7777777777777,0.45,0.09090909090909091,0.55,-0.19750000000000004
174,Darius Slayton,122.22222222222224,1,400.0,-277.77777777777777,0.45,0.2,0.55,-0.1375
50,Elijah Moore,-100.0,-1,275.0,-375.0,0.5,0.26666666666666666,0.5,-0.11666666666666667
176,Tyler Conklin,194.1176470588236,1,450.0,-255.8823529411764,0.3399999999999999,0.18181818181818182,0.6600000000000001,-0.10439999999999997
208,Noah Fant,257.1428571428571,1,550.0,-292.8571428571429,0.28,0.15384615384615385,0.72,-0.09083076923076924
195,MyCole Pruitt,566.6666666666667,1,1800.0,-1233.3333333333333,0.15,0.05263157894736842,0.85,-0.08276315789473684
29,Xavier Legette,233.33333333333337,1,425.0,-191.66666666666663,0.3,0.19047619047619047,0.7,-0.07666666666666666
9,Ray-Ray McCloud III,212.5,1,350.0,-137.5,0.32,0.2222222222222222,0.6799999999999999,-0.06648888888888889
173,Wan'Dale Robinson,212.5,1,350.0,-137.5,0.32,0.2222222222222222,0.6799999999999999,-0.06648888888888889
55,Michael Woods II,400.0,1,750.0,-350.0,0.2,0.11764705882352941,0.8,-0.06588235294117649
136,Puka Nacua,-112.76595744680851,-1,155.0,-267.7659574468085,0.53,0.39215686274509803,0.47,-0.06478627450980393
117,Xavier Worthy,177.77777777777777,1,275.0,-97.22222222222223,0.36,0.26666666666666666,0.64,-0.059733333333333326
13,Charlie Woerner,733.3333333333334,1,1800.0,-1066.6666666666665,0.12,0.05263157894736842,0.88,-0.059284210526315786
142,Julian Hill,809.0909090909091,1,2200.0,-1390.909090909091,0.11,0.043478260869565216,0.89,-0.05920434782608696
34,Tommy Tremble,334.78260869565213,1,550.0,-215.21739130434787,0.23,0.15384615384615385,0.77,-0.05863846153846154
108,Brenton Strange,566.6666666666667,1,1000.0,-433.33333333333326,0.15,0.09090909090909091,0.85,-0.05022727272727272
133,Tutu Atwell,488.2352941176471,1,800.0,-311.7647058823529,0.16999999999999998,0.1111111111111111,0.8300000000000001,-0.04887777777777778
192,Van Jefferson,400.0,1,600.0,-200.0,0.2,0.14285714285714285,0.8,-0.045714285714285735
172,Malik Nabers,132.55813953488374,1,185.0,-52.441860465116264,0.43,0.3508771929824561,0.5700000000000001,-0.045100000000000015
138,Demarcus Robinson,257.1428571428571,1,350.0,-92.85714285714289,0.28,0.2222222222222222,0.72,-0.041600000000000026
103,Devin Duvernay,455.55555555555554,1,650.0,-194.44444444444446,0.18,0.13333333333333333,0.8200000000000001,-0.038266666666666664
31,Ja'Tavion Sanders,334.78260869565213,1,450.0,-115.21739130434787,0.23,0.18181818181818182,0.77,-0.03710000000000001
53,Cedric Tillman,194.1176470588236,1,250.0,-55.88235294117641,0.3399999999999999,0.2857142857142857,0.6600000000000001,-0.03582857142857139
105,Luke Farrell,900.0,1,1500.0,-600.0,0.1,0.0625,0.9,-0.03375000000000001
32,Adam Thielen,222.5806451612903,1,275.0,-52.419354838709694,0.31,0.26666666666666666,0.69,-0.0299
150,T.J. Hockenson,203.030303030303,1,250.0,-46.969696969697,0.33,0.2857142857142857,0.6699999999999999,-0.029671428571428588
211,Jaxon Smith-Njigba,150.0,1,185.0,-35.0,0.4,0.3508771929824561,0.6,-0.02947368421052634
4,Trey McBride,163.15789473684208,1,200.0,-36.84210526315792,0.38000000000000006,0.3333333333333333,0.6199999999999999,-0.028933333333333377
7,KhaDarel Hodge,1011.1111111111112,1,1500.0,-488.8888888888888,0.08999999999999998,0.0625,0.91,-0.025024999999999985
152,Johnny Mundt,488.2352941176471,1,600.0,-111.76470588235293,0.16999999999999998,0.14285714285714285,0.8300000000000001,-0.022528571428571426
128,Ladd McConkey,132.55813953488374,1,155.0,-22.441860465116264,0.43,0.39215686274509803,0.5700000000000001,-0.02157058823529412
148,Malik Washington,566.6666666666667,1,700.0,-133.33333333333326,0.15,0.125,0.85,-0.021249999999999995
124,Derius Davis,900.0,1,1200.0,-300.0,0.1,0.07692307692307693,0.9,-0.020769230769230772
12,Casey Washington,1566.6666666666667,1,2500.0,-933.3333333333333,0.06,0.038461538461538464,0.94,-0.02024615384615384
145,Durham Smythe,1566.6666666666667,1,2500.0,-933.3333333333333,0.06,0.038461538461538464,0.94,-0.02024615384615384
184,Britain Covey,733.3333333333334,1,900.0,-166.66666666666663,0.12,0.1,0.88,-0.01759999999999999
196,Ben Skowronek,1150.0,1,1500.0,-350.0,0.08,0.0625,0.92,-0.016100000000000003
153,Jalen Nailor,455.55555555555554,1,500.0,-44.44444444444446,0.18,0.16666666666666666,0.8200000000000001,-0.010933333333333337
127,Quentin Johnston,233.33333333333337,1,250.0,-16.66666666666663,0.3,0.2857142857142857,0.7,-0.010000000000000002
26,Curtis Samuel,316.6666666666667,1,333.0,-16.333333333333314,0.24,0.23094688221709006,0.76,-0.006880369515011547
177,Malachi Corley,566.6666666666667,1,600.0,-33.33333333333326,0.15,0.14285714285714285,0.85,-0.006071428571428573
0,Greg Dortch,733.3333333333334,1,750.0,-16.66666666666663,0.12,0.11764705882352941,0.88,-0.0020705882352941153
2,Elijah Higgins,733.3333333333334,1,750.0,-16.66666666666663,0.12,0.11764705882352941,0.88,-0.0020705882352941153
144,Jonnu Smith,177.77777777777777,1,180.0,-2.2222222222222285,0.36,0.35714285714285715,0.64,-0.001828571428571415
113,DeAndre Hopkins,222.5806451612903,1,225.0,-2.419354838709694,0.31,0.3076923076923077,0.69,-0.001592307692307679
141,Dee Eskridge,2400.0,1,2500.0,-100.0,0.04,0.038461538461538464,0.96,-0.0014769230769230755
183,Grant Calcaterra,400.0,1,400.0,0.0,0.2,0.2,0.8,0.0
