,Player,Model_Odds,Favor,BetOnline.ag,Difference,Model_Probability,BetOnline.ag_Probability,Weight,WeightedValue
139,Jordan Whittington,122.22222222222224,1,700.0,-577.7777777777777,0.45,0.125,0.55,-0.17875000000000002
63,Brevyn Spann-Ford,212.5,1,1300.0,-1087.5,0.32,0.07142857142857142,0.6799999999999999,-0.16902857142857142
50,Elijah Moore,-100.0,-1,250.0,-350.0,0.5,0.2857142857142857,0.5,-0.10714285714285715
174,Darius Slayton,122.22222222222224,1,280.0,-157.77777777777777,0.45,0.2631578947368421,0.55,-0.10276315789473686
208,Noah Fant,257.1428571428571,1,550.0,-292.8571428571429,0.28,0.15384615384615385,0.72,-0.09083076923076924
39,Rome Odunze,122.22222222222224,1,250.0,-127.77777777777776,0.45,0.2857142857142857,0.55,-0.09035714285714289
176,Tyler Conklin,194.1176470588236,1,300.0,-105.8823529411764,0.3399999999999999,0.25,0.6600000000000001,-0.05939999999999995
117,Xavier Worthy,177.77777777777777,1,270.0,-92.22222222222223,0.36,0.2702702702702703,0.64,-0.05742702702702701
172,Malik Nabers,132.55813953488374,1,200.0,-67.44186046511626,0.43,0.3333333333333333,0.5700000000000001,-0.05510000000000001
142,Julian Hill,809.0909090909091,1,1900.0,-1090.909090909091,0.11,0.05,0.89,-0.053399999999999996
136,Puka Nacua,-112.76595744680851,-1,140.0,-252.7659574468085,0.53,0.4166666666666667,0.47,-0.05326666666666667
37,Cole Kmet,194.1176470588236,1,280.0,-85.8823529411764,0.3399999999999999,0.2631578947368421,0.6600000000000001,-0.05071578947368417
123,Tre Tucker,194.1176470588236,1,280.0,-85.8823529411764,0.3399999999999999,0.2631578947368421,0.6600000000000001,-0.05071578947368417
61,Jonathan Mingo,525.0,1,900.0,-375.0,0.16,0.1,0.84,-0.05039999999999999
133,Tutu Atwell,488.2352941176471,1,800.0,-311.7647058823529,0.16999999999999998,0.1111111111111111,0.8300000000000001,-0.04887777777777778
9,Ray-Ray McCloud III,212.5,1,300.0,-87.5,0.32,0.25,0.6799999999999999,-0.0476
173,Wan'Dale Robinson,212.5,1,300.0,-87.5,0.32,0.25,0.6799999999999999,-0.0476
13,Charlie Woerner,733.3333333333334,1,1400.0,-666.6666666666666,0.12,0.06666666666666667,0.88,-0.046933333333333334
214,Mike Evans,-163.1578947368421,-1,100.0,-263.1578947368421,0.6200000000000001,0.5,0.3799999999999999,-0.04560000000000003
29,Xavier Legette,233.33333333333337,1,325.0,-91.66666666666663,0.3,0.23529411764705882,0.7,-0.04529411764705882
38,DJ Moore,143.90243902439025,1,200.0,-56.09756097560975,0.41,0.3333333333333333,0.5900000000000001,-0.045233333333333334
35,Keenan Allen,143.90243902439025,1,200.0,-56.09756097560975,0.41,0.3333333333333333,0.5900000000000001,-0.045233333333333334
34,Tommy Tremble,334.78260869565213,1,450.0,-115.21739130434787,0.23,0.18181818181818182,0.77,-0.03710000000000001
31,Ja'Tavion Sanders,334.78260869565213,1,450.0,-115.21739130434787,0.23,0.18181818181818182,0.77,-0.03710000000000001
108,Brenton Strange,566.6666666666667,1,800.0,-233.33333333333326,0.15,0.1111111111111111,0.85,-0.03305555555555555
26,Curtis Samuel,316.6666666666667,1,400.0,-83.33333333333331,0.24,0.2,0.76,-0.030399999999999986
4,Trey McBride,163.15789473684208,1,200.0,-36.84210526315792,0.38000000000000006,0.3333333333333333,0.6199999999999999,-0.028933333333333377
192,Van Jefferson,400.0,1,500.0,-100.0,0.2,0.16666666666666666,0.8,-0.026666666666666686
128,Ladd McConkey,132.55813953488374,1,160.0,-27.441860465116264,0.43,0.38461538461538464,0.5700000000000001,-0.025869230769230755
217,Ryan Miller,809.0909090909091,1,1100.0,-290.9090909090909,0.11,0.08333333333333333,0.89,-0.02373333333333334
46,Drew Sample,525.0,1,650.0,-125.0,0.16,0.13333333333333333,0.84,-0.022400000000000003
32,Adam Thielen,222.5806451612903,1,260.0,-37.419354838709694,0.31,0.2777777777777778,0.69,-0.02223333333333332
138,Demarcus Robinson,257.1428571428571,1,300.0,-42.85714285714289,0.28,0.25,0.72,-0.02160000000000002
211,Jaxon Smith-Njigba,150.0,1,170.0,-20.0,0.4,0.37037037037037035,0.6,-0.017777777777777802
184,Britain Covey,733.3333333333334,1,900.0,-166.66666666666663,0.12,0.1,0.88,-0.01759999999999999
124,Derius Davis,900.0,1,1100.0,-200.0,0.1,0.08333333333333333,0.9,-0.01500000000000001
148,Malik Washington,566.6666666666667,1,650.0,-83.33333333333326,0.15,0.13333333333333333,0.85,-0.014166666666666662
198,Chris Conley,1150.0,1,1400.0,-250.0,0.08,0.06666666666666667,0.92,-0.012266666666666669
53,Cedric Tillman,194.1176470588236,1,210.0,-15.882352941176407,0.3399999999999999,0.3225806451612903,0.6600000000000001,-0.011496774193548338
103,Devin Duvernay,455.55555555555554,1,500.0,-44.44444444444446,0.18,0.16666666666666666,0.8200000000000001,-0.010933333333333337
127,Quentin Johnston,233.33333333333337,1,250.0,-16.66666666666663,0.3,0.2857142857142857,0.7,-0.010000000000000002
145,Durham Smythe,1566.6666666666667,1,1900.0,-333.33333333333326,0.06,0.05,0.94,-0.009399999999999995
105,Luke Farrell,900.0,1,1000.0,-100.0,0.1,0.09090909090909091,0.9,-0.008181818181818184
2,Elijah Higgins,733.3333333333334,1,800.0,-66.66666666666663,0.12,0.1111111111111111,0.88,-0.007822222222222223
7,KhaDarel Hodge,1011.1111111111112,1,1100.0,-88.8888888888888,0.08999999999999998,0.08333333333333333,0.91,-0.006066666666666655
150,T.J. Hockenson,203.030303030303,1,210.0,-6.969696969696997,0.33,0.3225806451612903,0.6699999999999999,-0.0049709677419355
12,Casey Washington,1566.6666666666667,1,1700.0,-133.33333333333326,0.06,0.05555555555555555,0.94,-0.0041777777777777785
0,Greg Dortch,733.3333333333334,1,750.0,-16.66666666666663,0.12,0.11764705882352941,0.88,-0.0020705882352941153
118,Brock Bowers,170.27027027027026,1,170.0,0.2702702702702595,0.37,0.37037037037037035,0.63,0.0002333333333333232
