,Player,Model_Odds,Favor,BetRivers,Difference,Model_Probability,BetRivers_Probability,Weight,WeightedValue
139,Jordan Whittington,122.22222222222224,1,900.0,-777.7777777777777,0.45,0.1,0.55,-0.1925
63,Brevyn Spann-Ford,212.5,1,1500.0,-1287.5,0.32,0.0625,0.6799999999999999,-0.17509999999999998
174,Darius Slayton,122.22222222222224,1,325.0,-202.77777777777777,0.45,0.23529411764705882,0.55,-0.11808823529411766
34,Tommy Tremble,334.78260869565213,1,600.0,-265.21739130434787,0.23,0.14285714285714285,0.77,-0.06710000000000002
61,Jonathan Mingo,525.0,1,1000.0,-475.0,0.16,0.09090909090909091,0.84,-0.058036363636363636
173,Wan'Dale Robinson,212.5,1,320.0,-107.5,0.32,0.23809523809523808,0.6799999999999999,-0.0556952380952381
31,Ja'Tavion Sanders,334.78260869565213,1,510.0,-175.21739130434787,0.23,0.16393442622950818,0.77,-0.050870491803278704
105,Luke Farrell,900.0,1,2200.0,-1300.0,0.1,0.043478260869565216,0.9,-0.05086956521739131
56,Jalen Brooks,733.3333333333334,1,1500.0,-766.6666666666666,0.12,0.0625,0.88,-0.0506
65,KaVontae Turpin,525.0,1,900.0,-375.0,0.16,0.1,0.84,-0.05039999999999999
208,Noah Fant,257.1428571428571,1,370.0,-112.85714285714289,0.28,0.2127659574468085,0.72,-0.04840851063829789
171,Jalin Hyatt,809.0909090909091,1,1500.0,-690.9090909090909,0.11,0.0625,0.89,-0.042275
117,Xavier Worthy,177.77777777777777,1,235.0,-57.22222222222223,0.36,0.29850746268656714,0.64,-0.03935522388059703
62,Luke Schoonmaker,354.54545454545456,1,475.0,-120.45454545454544,0.22,0.17391304347826086,0.78,-0.03594782608695653
108,Brenton Strange,566.6666666666667,1,800.0,-233.33333333333326,0.15,0.1111111111111111,0.85,-0.03305555555555555
26,Curtis Samuel,316.6666666666667,1,400.0,-83.33333333333331,0.24,0.2,0.76,-0.030399999999999986
46,Drew Sample,525.0,1,700.0,-175.0,0.16,0.125,0.84,-0.029400000000000003
13,Charlie Woerner,733.3333333333334,1,1050.0,-316.66666666666663,0.12,0.08695652173913043,0.88,-0.029078260869565217
9,Ray-Ray McCloud III,212.5,1,260.0,-47.5,0.32,0.2777777777777778,0.6799999999999999,-0.028711111111111104
32,Adam Thielen,222.5806451612903,1,270.0,-47.419354838709694,0.31,0.2702702702702703,0.69,-0.0274135135135135
172,Malik Nabers,132.55813953488374,1,160.0,-27.441860465116264,0.43,0.38461538461538464,0.5700000000000001,-0.025869230769230755
133,Tutu Atwell,488.2352941176471,1,600.0,-111.76470588235293,0.16999999999999998,0.14285714285714285,0.8300000000000001,-0.022528571428571426
184,Britain Covey,733.3333333333334,1,950.0,-216.66666666666663,0.12,0.09523809523809523,0.88,-0.02179047619047619
128,Ladd McConkey,132.55813953488374,1,155.0,-22.441860465116264,0.43,0.39215686274509803,0.5700000000000001,-0.02157058823529412
103,Devin Duvernay,455.55555555555554,1,550.0,-94.44444444444446,0.18,0.15384615384615385,0.8200000000000001,-0.021446153846153837
29,Xavier Legette,233.33333333333337,1,270.0,-36.66666666666663,0.3,0.2702702702702703,0.7,-0.020810810810810793
7,KhaDarel Hodge,1011.1111111111112,1,1300.0,-288.8888888888888,0.08999999999999998,0.07142857142857142,0.91,-0.016899999999999988
136,Puka Nacua,-112.76595744680851,-1,102.0,-214.7659574468085,0.53,0.49504950495049505,0.47,-0.01642673267326734
2,Elijah Higgins,733.3333333333334,1,850.0,-116.66666666666663,0.12,0.10526315789473684,0.88,-0.01296842105263158
12,Casey Washington,1566.6666666666667,1,2000.0,-433.33333333333326,0.06,0.047619047619047616,0.94,-0.011638095238095237
152,Johnny Mundt,488.2352941176471,1,540.0,-51.76470588235293,0.16999999999999998,0.15625,0.8300000000000001,-0.011412499999999989
21,Amari Cooper,177.77777777777777,1,185.0,-7.2222222222222285,0.36,0.3508771929824561,0.64,-0.005838596491228074
