,Unnamed: 0,Player,TD_Likelihood,Model_Odds,Favor,DraftKings,FanDuel,BetOnline.ag,BetRivers,BetMGM,Bovada
214,214,Mike Evans,0.62,-163.1578947368421,-1,105.0,,100.0,,,105.0
87,87,Nico Collins,0.56,-127.2727272727273,-1,,,,,,
136,136,Puka Nacua,0.53,-112.76595744680851,-1,145.0,135.0,140.0,102.0,155.0,145.0
107,107,Josh Reynolds,0.5,-100.0,-1,,,,,,
50,50,Elijah Moore,0.5,-100.0,-1,255.0,250.0,250.0,,275.0,255.0
109,109,Brian Thomas Jr.,0.49,104.08163265306123,1,,,,,,
139,139,Jordan Whittington,0.45,122.22222222222224,1,700.0,1000.0,700.0,900.0,1000.0,700.0
39,39,Rome Odunze,0.45,122.22222222222224,1,250.0,230.0,250.0,,,250.0
174,174,Darius Slayton,0.45,122.22222222222224,1,285.0,480.0,280.0,325.0,400.0,235.0
233,233,Terry McLaurin,0.43,132.55813953488374,1,,,,,,
128,128,Ladd McConkey,0.43,132.55813953488374,1,160.0,185.0,160.0,155.0,155.0,160.0
172,172,Malik Nabers,0.43,132.55813953488374,1,205.0,230.0,200.0,160.0,185.0,180.0
151,151,Justin Jefferson,0.42,138.0952380952381,1,-105.0,-105.0,-111.0,-162.0,-110.0,-106.0
41,41,Ja'Marr Chase,0.42,138.0952380952381,1,-165.0,-150.0,-167.0,-180.0,,-164.0
38,38,DJ Moore,0.41,143.90243902439025,1,205.0,150.0,200.0,,,205.0
35,35,Keenan Allen,0.41,143.90243902439025,1,200.0,150.0,200.0,,,200.0
211,211,Jaxon Smith-Njigba,0.4,150.0,1,175.0,,170.0,135.0,185.0,175.0
4,4,Trey McBride,0.38,163.15789473684208,1,205.0,,200.0,148.0,200.0,205.0
201,201,George Kittle,0.37,170.27027027027026,1,175.0,165.0,170.0,,,170.0
118,118,Brock Bowers,0.37,170.27027027027026,1,170.0,,170.0,,,160.0
117,117,Xavier Worthy,0.36,177.77777777777777,1,275.0,340.0,270.0,235.0,275.0,275.0
1,1,Marvin Harrison Jr.,0.36,177.77777777777777,1,165.0,,160.0,128.0,170.0,165.0
144,144,Jonnu Smith,0.36,177.77777777777777,1,175.0,190.0,170.0,,180.0,175.0
21,21,Amari Cooper,0.36,177.77777777777777,1,165.0,210.0,160.0,185.0,165.0,165.0
77,77,Jameson Williams,0.35,185.7142857142857,1,,,,,,
37,37,Cole Kmet,0.34,194.1176470588236,1,280.0,250.0,280.0,,,295.0
176,176,Tyler Conklin,0.34,194.1176470588236,1,310.0,550.0,300.0,,450.0,310.0
53,53,Cedric Tillman,0.34,194.1176470588236,1,,,210.0,,250.0,
230,230,Noah Brown,0.34,194.1176470588236,1,,,,,,
15,15,Mark Andrews,0.34,194.1176470588236,1,,,,,,
123,123,Tre Tucker,0.34,194.1176470588236,1,280.0,,280.0,,,280.0
