,Player,TD_Likelihood,Model_Odds,Favor,DraftKings,FanDuel,BetOnline.ag,BetRivers,BetMGM
199,Nico Collins,0.56,-127.2727272727273,-1,135.0,120.0,130.0,100.0,130.0
258,Tyreek Hill,0.55,-122.22222222222224,-1,135.0,130.0,130.0,130.0,130.0
95,George Kittle,0.47,112.76595744680851,1,,,,,
49,Cooper Kupp,0.45,122.22222222222224,1,,,,,
163,Khalil Shakir,0.45,122.22222222222224,1,170.0,175.0,170.0,175.0,175.0
143,Jordan Whittington,0.44,127.27272727272728,1,,,,,
141,Jordan Addison,0.43,132.55813953488374,1,180.0,,180.0,,
9,Amari Cooper,0.42,138.0952380952381,1,155.0,180.0,150.0,175.0,155.0
221,Rome Odunze,0.42,138.0952380952381,1,275.0,,270.0,,
80,DJ Moore,0.42,138.0952380952381,1,200.0,,200.0,,
237,Terry McLaurin,0.42,138.0952380952381,1,120.0,,120.0,,
207,Pat Freiermuth,0.41,143.90243902439025,1,260.0,330.0,260.0,280.0,300.0
247,Trey McBride,0.4,150.0,1,170.0,175.0,170.0,143.0,
62,Davante Adams,0.4,150.0,1,145.0,130.0,140.0,140.0,
94,Garrett Wilson,0.4,150.0,1,165.0,155.0,160.0,165.0,
177,Malik Nabers,0.39,156.4102564102564,1,215.0,260.0,210.0,,210.0
168,Ladd McConkey,0.39,156.4102564102564,1,150.0,,150.0,128.0,
27,Brock Bowers,0.38,163.15789473684208,1,160.0,,160.0,,
60,Darnell Mooney,0.38,163.15789473684208,1,190.0,,190.0,,
114,Jake Ferguson,0.38,163.15789473684208,1,265.0,230.0,260.0,245.0,
108,Ja'Marr Chase,0.38,163.15789473684208,1,-135.0,-135.0,-143.0,-159.0,-150.0
201,Noah Brown,0.36,177.77777777777777,1,,,,,
157,Keenan Allen,0.36,177.77777777777777,1,245.0,,240.0,,
166,Kyle Pitts,0.36,177.77777777777777,1,275.0,,270.0,,
134,Jerry Jeudy,0.36,177.77777777777777,1,170.0,145.0,170.0,163.0,190.0
222,Romeo Doubs,0.35,185.7142857142857,1,235.0,195.0,,,
140,Jonnu Smith,0.35,185.7142857142857,1,195.0,200.0,190.0,180.0,210.0
217,Ray-Ray McCloud III,0.35,185.7142857142857,1,255.0,,250.0,,
261,Will Dissly,0.35,185.7142857142857,1,,,,,
92,Evan Engram,0.35,185.7142857142857,1,310.0,290.0,300.0,285.0,
127,Jameson Williams,0.34,194.11764705882356,1,195.0,190.0,190.0,175.0,200.0
69,Deebo Samuel Sr.,0.34,194.11764705882356,1,,,,,
179,Mark Andrews,0.34,194.11764705882356,1,180.0,180.0,180.0,,185.0
131,Jaylen Waddle,0.34,194.11764705882356,1,240.0,190.0,240.0,155.0,210.0
181,Marvin Harrison Jr.,0.34,194.11764705882356,1,140.0,150.0,140.0,123.0,
212,Quentin Johnston,0.34,194.11764705882356,1,180.0,,180.0,188.0,
271,Zay Flowers,0.33,203.030303030303,1,140.0,145.0,140.0,,140.0
211,Puka Nacua,0.33,203.030303030303,1,,,,,
269,Zach Ertz,0.33,203.030303030303,1,190.0,,190.0,,
102,Hunter Henry,0.33,203.030303030303,1,275.0,290.0,270.0,240.0,
216,Rashod Bateman,0.31,222.5806451612903,1,230.0,250.0,230.0,,250.0
47,Cole Kmet,0.31,222.5806451612903,1,320.0,,300.0,,
116,Jakobi Meyers,0.31,222.5806451612903,1,160.0,,160.0,,
37,Cedric Tillman,0.31,222.5806451612903,1,260.0,210.0,260.0,290.0,260.0
54,Dalton Schultz,0.31,222.5806451612903,1,195.0,370.0,190.0,225.0,210.0
203,Noah Gray,0.31,222.5806451612903,1,350.0,390.0,350.0,360.0,350.0
260,Wan'Dale Robinson,0.31,222.5806451612903,1,360.0,550.0,350.0,,400.0
128,Jauan Jennings,0.3,233.33333333333337,1,,,,,
77,DeVonta Smith,0.3,233.33333333333337,1,180.0,230.0,180.0,195.0,210.0
187,Michael Pittman Jr.,0.3,233.33333333333337,1,300.0,300.0,300.0,250.0,300.0
235,Tee Higgins,0.3,233.33333333333337,1,160.0,125.0,160.0,115.0,170.0
10,Amon-Ra St. Brown,0.29,244.82758620689657,1,-105.0,-110.0,-111.0,-115.0,100.0
25,Brian Thomas Jr.,0.29,244.82758620689657,1,,,,,
245,Tre Tucker,0.29,244.82758620689657,1,350.0,,350.0,,
190,Mike Evans,0.27,270.3703703703703,1,135.0,,130.0,132.0,
232,T.J. Hockenson,0.27,270.3703703703703,1,210.0,,210.0,,
225,Sam LaPorta,0.27,270.3703703703703,1,175.0,155.0,170.0,160.0,190.0
191,Mike Gesicki,0.27,270.3703703703703,1,310.0,410.0,300.0,275.0,350.0
148,Joshua Palmer,0.26,284.6153846153846,1,175.0,,170.0,240.0,
267,Xavier Worthy,0.26,284.6153846153846,1,265.0,280.0,260.0,235.0,250.0
59,Darius Slayton,0.26,284.6153846153846,1,425.0,600.0,400.0,,500.0
65,David Njoku,0.26,284.6153846153846,1,,250.0,,230.0,210.0
81,DK Metcalf,0.25,300.0,1,175.0,170.0,170.0,,
83,Drake London,0.25,300.0,1,125.0,,120.0,,
1,Adam Thielen,0.25,300.0,1,185.0,220.0,180.0,195.0,
66,Dawson Knox,0.25,300.0,1,370.0,190.0,350.0,350.0,310.0
231,Stone Smartt,0.25,300.0,1,340.0,,325.0,400.0,
182,Marvin Mims Jr.,0.25,300.0,1,400.0,420.0,400.0,335.0,400.0
192,Mike Williams,0.25,300.0,1,550.0,550.0,550.0,460.0,550.0
6,Alec Pierce,0.25,300.0,1,245.0,500.0,240.0,350.0,350.0
53,Dalton Kincaid,0.25,300.0,1,210.0,190.0,210.0,195.0,210.0
67,DeAndre Hopkins,0.24,316.6666666666667,1,220.0,240.0,220.0,175.0,210.0
130,Jayden Reed,0.24,316.6666666666667,1,220.0,195.0,220.0,,
32,Cade Otton,0.24,316.6666666666667,1,235.0,,230.0,235.0,
