Player,TD_Likelihood,Model_Odds,Favor
Greg Dortch,0.03,3233.3333333333335,1
Elijah Higgins,0.12,733.3333333333334,1
Zay Jones,0.18,455.55555555555554,1
Trey McBride,0.51,-104.08163265306122,-1
Michael Wilson,0.24,316.6666666666667,1
Chris Blair,0.07,1328.5714285714284,1
KhaDarel Hodge,0.03,3233.3333333333335,1
Drake London,0.4,150.0,1
Ray-Ray McCloud III,0.18,455.55555555555554,1
Darnell Mooney,0.51,-104.08163265306122,-1
Kyle Pitts,0.22,354.54545454545456,1
Charlie Woerner,0.12,733.3333333333334,1
Nelson Agholor,0.1,900.0,1
Mark Andrews,0.34,194.11764705882354,1
Rashod Bateman,0.28,257.1428571428571,1
Zay Flowers,0.3,233.33333333333337,1
Isaiah Likely,0.26,284.6153846153846,1
Tylan Wallace,0.08,1150.0,1
Amari Cooper,0.28,257.1428571428571,1
Mack Hollins,0.05,1900.0,1
Dalton Kincaid,0.32,212.5,1
Dawson Knox,0.16,525.0,1
Quintin Morris,0.01,9900.0,1
Curtis Samuel,0.09,1011.1111111111111,1
Khalil Shakir,0.37,170.27027027027026,1
Dan Chisena,0.03,3233.3333333333335,1
Velus Jones Jr.,0.09,1011.1111111111111,1
David Moore,0.05,1900.0,1
Adam Thielen,0.3,233.33333333333337,1
Deven Thompkins,0.01,9900.0,1
Tommy Tremble,0.04,2400.0,1
Keenan Allen,0.4,150.0,1
Gerald Everett,0.01,9900.0,1
Collin Johnson,0.01,9900.0,1
Cole Kmet,0.11,809.0909090909091,1
DJ Moore,0.31,222.5806451612903,1
Ja'Marr Chase,0.54,-117.3913043478261,-1
Mike Gesicki,0.26,284.6153846153846,1
Tee Higgins,0.54,-117.3913043478261,-1
Tanner Hudson,0.13,669.2307692307692,1
Andrei Iosivas,0.14,614.2857142857142,1
Drew Sample,0.24,316.6666666666667,1
Jordan Akins,0.11,809.0909090909091,1
Jerry Jeudy,0.4,150.0,1
Elijah Moore,0.38,163.15789473684208,1
David Njoku,0.46,117.39130434782606,1
James Proche II,0.21,376.1904761904762,1
Blake Whiteheart,0.04,2400.0,1
Michael Woods II,0.05,1900.0,1
Jalen Brooks,0.13,669.2307692307692,1
Brandin Cooks,0.23,334.78260869565213,1
Jake Ferguson,0.2,400.0,1
Jonathan Mingo,0.09,1011.1111111111111,1
Luke Schoonmaker,0.04,2400.0,1
Jalen Tolbert,0.27,270.3703703703703,1
KaVontae Turpin,0.18,455.55555555555554,1
Nate Adkins,0.18,455.55555555555554,1
Lil'Jordan Humphrey,0.12,733.3333333333334,1
Lucas Krull,0.16,525.0,1
Marvin Mims Jr.,0.14,614.2857142857142,1
Courtland Sutton,0.31,222.5806451612903,1
Adam Trautman,0.08,1150.0,1
Tom Kennedy,0.04,2400.0,1
Sam LaPorta,0.52,-108.33333333333334,-1
Tim Patrick,0.16,525.0,1
Allen Robinson,0.15,566.6666666666667,1
Amon-Ra St. Brown,0.48,108.33333333333334,1
Jameson Williams,0.34,194.11764705882354,1
Brock Wright,0.02,4900.0,1
Shane Zylstra,0.07,1328.5714285714284,1
Romeo Doubs,0.35,185.71428571428572,1
Malik Heath,0.05,1900.0,1
Tucker Kraft,0.19,426.31578947368416,1
Bo Melton,0.1,900.0,1
Luke Musgrave,0.11,809.0909090909091,1
Jayden Reed,0.29,244.82758620689657,1
Ben Sims,0.01,9900.0,1
Christian Watson,0.4,150.0,1
Dontayvion Wicks,0.23,334.78260869565213,1
Nico Collins,0.34,194.11764705882354,1
Xavier Hutchinson,0.04,2400.0,1
Diontae Johnson,0.21,376.1904761904762,1
John Metchie III,0.15,566.6666666666667,1
Dalton Schultz,0.26,284.6153846153846,1
Robert Woods,0.05,1900.0,1
Mo Alie-Cox,0.08,1150.0,1
Josh Downs,0.48,108.33333333333334,1
Ashton Dulin,0.04,2400.0,1
Kylen Granson,0.12,733.3333333333334,1
Will Mallory,0.03,3233.3333333333335,1
Drew Ogletree,0.07,1328.5714285714284,1
Alec Pierce,0.49,104.08163265306123,1
Michael Pittman Jr.,0.58,-138.09523809523807,-1
Devin Duvernay,0.15,566.6666666666667,1
Luke Farrell,0.06,1566.6666666666667,1
Tim Jones,0.05,1900.0,1
Josh Reynolds,0.11,809.0909090909091,1
Brenton Strange,0.23,334.78260869565213,1
Parker Washington,0.07,1328.5714285714284,1
Hollywood Brown,0.16,525.0,1
Noah Gray,0.1,900.0,1
Peyton Hendershot,0.03,3233.3333333333335,1
DeAndre Hopkins,0.23,334.78260869565213,1
