receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
10,13,155,15.5,0,54,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,35,38,W,401437648,2022 Regular Season,A.J. Brown,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
5,8,69,13.8,0,23,0,0,0.0,0,0,0,0,0,0,2,2022-09-20T00:30:00.000+00:00,24,7,W,401436832,2022 Regular Season,A.J. Brown,2022,Regular Season,2,155.0,10.0,0.0,13.0,155.0,10.0,0.0,13.0,155.0,10.0,0.0,13.0,15.5,0.0,0,0
5,10,85,17.0,1,38,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,8,24,W,401437742,2022 Regular Season,A.J. Brown,2022,Regular Season,3,224.0,15.0,0.0,21.0,112.0,7.5,0.0,10.5,112.0,7.5,0.0,10.5,13.8,0.0,0,1
5,7,95,19.0,0,31,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,29,21,W,401437756,2022 Regular Season,A.J. Brown,2022,Regular Season,4,309.0,20.0,1.0,31.0,103.0,6.666666666666667,0.3333333333333333,10.333333333333334,103.0,6.666666666666667,0.3333333333333333,10.333333333333334,17.0,0.0,0,0
3,7,32,10.7,0,15,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T20:25:00.000+00:00,17,20,W,401437773,2022 Regular Season,A.J. Brown,2022,Regular Season,5,404.0,25.0,1.0,38.0,101.0,6.25,0.25,9.5,83.0,5.0,0.3333333333333333,8.333333333333334,19.0,0.03225806451612903,0,0
5,8,67,13.4,1,22,0,0,0.0,0,0,0,0,0,0,6,2022-10-17T00:20:00.000+00:00,26,17,W,401437789,2022 Regular Season,A.J. Brown,2022,Regular Season,6,436.0,28.0,1.0,45.0,87.2,5.6,0.2,9.0,70.66666666666667,4.333333333333333,0.3333333333333333,8.0,10.666666666666666,0.02631578947368421,0,1
6,10,156,26.0,3,43,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,35,13,W,401437812,2022 Regular Season,A.J. Brown,2022,Regular Season,7,503.0,33.0,2.0,53.0,83.83333333333333,5.5,0.3333333333333333,8.833333333333334,64.66666666666667,4.333333333333333,0.3333333333333333,7.333333333333333,13.4,0.022222222222222223,0,1
4,6,59,14.8,1,31,0,0,0.0,0,0,0,0,0,0,9,2022-11-04T00:15:00.000+00:00,17,29,W,401437819,2022 Regular Season,A.J. Brown,2022,Regular Season,8,659.0,39.0,5.0,63.0,94.14285714285714,5.571428571428571,0.7142857142857143,9.0,85.0,4.666666666666667,1.3333333333333333,8.333333333333334,26.0,0.03773584905660377,0,1
1,4,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,10,2022-11-15T01:15:00.000+00:00,21,32,L,401437843,2022 Regular Season,A.J. Brown,2022,Regular Season,9,718.0,43.0,6.0,69.0,89.75,5.375,0.75,8.625,94.0,5.0,1.6666666666666667,8.0,14.75,0.07936507936507936,0,0
5,7,60,12.0,0,29,0,0,0.0,0,0,1,1,0,0,11,2022-11-20T18:00:00.000+00:00,16,17,W,401437849,2022 Regular Season,A.J. Brown,2022,Regular Season,10,725.0,44.0,6.0,73.0,80.55555555555556,4.888888888888889,0.6666666666666666,8.11111111111111,74.0,3.6666666666666665,1.3333333333333333,6.666666666666667,7.0,0.08695652173913043,0,0
4,6,46,11.5,1,23,0,0,0.0,0,0,1,1,0,0,12,2022-11-28T01:20:00.000+00:00,40,33,W,401437871,2022 Regular Season,A.J. Brown,2022,Regular Season,11,785.0,49.0,6.0,80.0,78.5,4.9,0.6,8.0,42.0,3.3333333333333335,0.3333333333333333,5.666666666666667,12.0,0.0821917808219178,0,1
8,10,119,14.9,2,40,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,35,10,W,401437881,2022 Regular Season,A.J. Brown,2022,Regular Season,12,831.0,53.0,7.0,86.0,75.54545454545455,4.818181818181818,0.6363636363636364,7.818181818181818,37.666666666666664,3.3333333333333335,0.3333333333333333,5.666666666666667,11.5,0.075,0,1
4,6,70,17.5,1,33,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,22,48,W,401437893,2022 Regular Season,A.J. Brown,2022,Regular Season,13,950.0,61.0,9.0,96.0,79.16666666666667,5.083333333333333,0.75,8.0,75.0,5.666666666666667,1.0,7.666666666666667,14.875,0.08139534883720931,0,1
9,16,181,20.1,0,68,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T18:00:00.000+00:00,20,25,W,401437908,2022 Regular Season,A.J. Brown,2022,Regular Season,14,1020.0,65.0,10.0,102.0,78.46153846153847,5.0,0.7692307692307693,7.846153846153846,78.33333333333333,5.333333333333333,1.3333333333333333,7.333333333333333,17.5,0.09375,0,0
6,8,103,17.2,0,48,0,0,0.0,0,0,0,0,0,0,16,2022-12-24T21:25:00.000+00:00,40,34,L,401437927,2022 Regular Season,A.J. Brown,2022,Regular Season,15,1201.0,74.0,10.0,118.0,85.78571428571429,5.285714285714286,0.7142857142857143,8.428571428571429,123.33333333333333,7.0,1.0,10.666666666666666,20.11111111111111,0.09803921568627451,0,0
4,9,97,24.3,1,78,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,10,20,L,401437940,2022 Regular Season,A.J. Brown,2022,Regular Season,16,1304.0,80.0,10.0,126.0,86.93333333333334,5.333333333333333,0.6666666666666666,8.4,118.0,6.333333333333333,0.3333333333333333,10.0,17.166666666666668,0.0847457627118644,0,1
