receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T20:05:00.000+00:00,26,20,W,401671664,2024 Regular Season,AJ Barner,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,20,23,W,401671702,2024 Regular Season,AJ Barner,2024,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,3,13,4.3,0,8,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T20:05:00.000+00:00,24,3,W,401671662,2024 Regular Season,AJ Barner,2024,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,2,27,13.5,1,18,0,0,0.0,0,0,0,0,0,0,4,2024-10-01T00:15:00.000+00:00,42,29,L,401671491,2024 Regular Season,AJ Barner,2024,Regular Season,4,13.0,3.0,0.0,3.0,4.333333333333333,1.0,0.0,1.0,4.333333333333333,1.0,0.0,1.0,4.333333333333333,0.0,0,1
1,1,13,13.0,0,13,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T20:25:00.000+00:00,20,29,L,401671680,2024 Regular Season,AJ Barner,2024,Regular Season,5,40.0,5.0,1.0,5.0,10.0,1.25,0.25,1.25,13.333333333333334,1.6666666666666667,0.3333333333333333,1.6666666666666667,13.5,0.0,0,0
1,1,13,13.0,0,13,0,0,0.0,0,0,0,0,0,0,6,2024-10-11T00:15:00.000+00:00,24,36,L,401671819,2024 Regular Season,AJ Barner,2024,Regular Season,6,53.0,6.0,1.0,6.0,10.6,1.2,0.2,1.2,17.666666666666668,2.0,0.3333333333333333,2.0,13.0,0.2,0,0
1,1,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T17:00:00.000+00:00,14,34,W,401671730,2024 Regular Season,AJ Barner,2024,Regular Season,7,66.0,7.0,1.0,7.0,11.0,1.1666666666666667,0.16666666666666666,1.1666666666666667,17.666666666666668,1.3333333333333333,0.3333333333333333,1.3333333333333333,13.0,0.16666666666666666,0,0
2,2,34,17.0,0,20,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T20:05:00.000+00:00,10,31,L,401671760,2024 Regular Season,AJ Barner,2024,Regular Season,8,71.0,8.0,1.0,8.0,10.142857142857142,1.1428571428571428,0.14285714285714285,1.1428571428571428,10.333333333333334,1.0,0.0,1.0,5.0,0.14285714285714285,0,0
4,7,27,6.8,0,10,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T21:25:00.000+00:00,20,26,L,401671776,2024 Regular Season,AJ Barner,2024,Regular Season,9,105.0,10.0,1.0,10.0,13.125,1.25,0.125,1.25,17.333333333333332,1.3333333333333333,0.0,1.3333333333333333,17.0,0.125,0,0
2,4,15,7.5,0,9,0,0,0.0,0,0,0,0,-,-,11,2024-11-17T21:05:00.000+00:00,17,20,W,401671757,2024 Regular Season,AJ Barner,2024,Regular Season,10,132.0,14.0,1.0,17.0,14.666666666666666,1.5555555555555556,0.1111111111111111,1.8888888888888888,22.0,2.3333333333333335,0.0,3.3333333333333335,6.75,0.1,0,0
3,4,19,6.3,0,11,0,0,0.0,0,0,0,0,-,-,12,2024-11-24T21:25:00.000+00:00,16,6,W,401671775,2024 Regular Season,AJ Barner,2024,Regular Season,11,147.0,16.0,1.0,21.0,14.7,1.6,0.1,2.1,25.333333333333332,2.6666666666666665,0.0,4.333333333333333,7.5,0.058823529411764705,0,0
2,2,14,7.0,1,12,0,0,0.0,0,0,0,0,-,-,13,2024-12-01T18:00:00.000+00:00,21,26,W,401671703,2024 Regular Season,AJ Barner,2024,Regular Season,12,166.0,19.0,1.0,25.0,15.090909090909092,1.7272727272727273,0.09090909090909091,2.272727272727273,20.333333333333332,3.0,0.0,5.0,6.333333333333333,0.047619047619047616,0,1
