receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
3,4,36,12.0,0,22,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,23,7,W,401437649,2022 Regular Season,Adam Thielen,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
4,7,52,13.0,0,19,0,0,0.0,0,0,0,0,0,0,2,2022-09-20T00:30:00.000+00:00,24,7,L,401436832,2022 Regular Season,Adam Thielen,2022,Regular Season,2,36.0,3.0,0.0,4.0,36.0,3.0,0.0,4.0,36.0,3.0,0.0,4.0,12.0,0.0,0,0
6,8,61,10.2,1,15,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,28,24,W,401437739,2022 Regular Season,Adam Thielen,2022,Regular Season,3,88.0,7.0,0.0,11.0,44.0,3.5,0.0,5.5,44.0,3.5,0.0,5.5,13.0,0.0,0,1
8,9,72,9.0,0,16,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T13:30:00.000+00:00,25,28,W,401435639,2022 Regular Season,Adam Thielen,2022,Regular Season,4,149.0,13.0,1.0,19.0,49.666666666666664,4.333333333333333,0.3333333333333333,6.333333333333333,49.666666666666664,4.333333333333333,0.3333333333333333,6.333333333333333,10.166666666666666,0.0,0,0
4,7,27,6.8,0,13,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,29,22,W,401437766,2022 Regular Season,Adam Thielen,2022,Regular Season,5,221.0,21.0,1.0,28.0,55.25,5.25,0.25,7.0,61.666666666666664,6.0,0.3333333333333333,8.0,9.0,0.05263157894736842,0,0
4,8,36,9.0,1,14,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,16,24,W,401437782,2022 Regular Season,Adam Thielen,2022,Regular Season,6,248.0,25.0,1.0,35.0,49.6,5.0,0.2,7.0,53.333333333333336,6.0,0.3333333333333333,8.0,6.75,0.03571428571428571,0,1
6,7,67,11.2,0,18,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,34,26,W,401437809,2022 Regular Season,Adam Thielen,2022,Regular Season,7,284.0,29.0,2.0,43.0,47.333333333333336,4.833333333333333,0.3333333333333333,7.166666666666667,45.0,5.333333333333333,0.3333333333333333,8.0,9.0,0.02857142857142857,0,0
3,7,67,22.3,0,36,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,17,20,W,401437827,2022 Regular Season,Adam Thielen,2022,Regular Season,8,351.0,35.0,2.0,50.0,50.142857142857146,5.0,0.2857142857142857,7.142857142857143,43.333333333333336,4.666666666666667,0.3333333333333333,7.333333333333333,11.166666666666666,0.046511627906976744,0,0
5,7,49,9.8,0,21,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,30,33,W,401437833,2022 Regular Season,Adam Thielen,2022,Regular Season,9,418.0,38.0,2.0,57.0,52.25,4.75,0.25,7.125,56.666666666666664,4.333333333333333,0.3333333333333333,7.333333333333333,22.333333333333332,0.04,0,0
2,3,25,12.5,0,15,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T21:25:00.000+00:00,3,40,L,401437855,2022 Regular Season,Adam Thielen,2022,Regular Season,10,467.0,43.0,2.0,64.0,51.888888888888886,4.777777777777778,0.2222222222222222,7.111111111111111,61.0,4.666666666666667,0.0,7.0,9.8,0.03508771929824561,0,0
9,10,61,6.8,1,16,0,0,0.0,0,0,0,0,0,0,12,2022-11-25T01:20:00.000+00:00,33,26,W,401437859,2022 Regular Season,Adam Thielen,2022,Regular Season,11,492.0,45.0,2.0,67.0,49.2,4.5,0.2,6.7,47.0,3.3333333333333335,0.0,5.666666666666667,12.5,0.03125,0,1
