receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,26,27,W,401437650,2022 Regular Season,Adam Trautman,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,10,20,L,401437652,2022 Regular Season,Adam Trautman,2022,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,22,14,L,401437736,2022 Regular Season,Adam Trautman,2022,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,3,37,12.3,0,14,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T13:30:00.000+00:00,25,28,L,401435639,2022 Regular Season,Adam Trautman,2022,Regular Season,4,9.0,1.0,0.0,1.0,3.0,0.3333333333333333,0.0,0.3333333333333333,3.0,0.3333333333333333,0.0,0.3333333333333333,9.0,0.0,0,0
2,3,32,16.0,1,22,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,39,32,W,401437768,2022 Regular Season,Adam Trautman,2022,Regular Season,5,46.0,4.0,0.0,4.0,11.5,1.0,0.0,1.0,15.333333333333334,1.3333333333333333,0.0,1.3333333333333333,12.333333333333334,0.0,0,1
1,1,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,26,30,L,401437783,2022 Regular Season,Adam Trautman,2022,Regular Season,6,78.0,6.0,1.0,7.0,15.6,1.2,0.2,1.4,26.0,2.0,0.3333333333333333,2.3333333333333335,16.0,0.0,0,0
1,1,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,9,2022-11-08T01:15:00.000+00:00,13,27,L,401437831,2022 Regular Season,Adam Trautman,2022,Regular Season,7,86.0,7.0,1.0,8.0,14.333333333333334,1.1666666666666667,0.16666666666666666,1.3333333333333333,25.666666666666668,2.0,0.3333333333333333,2.3333333333333335,8.0,0.14285714285714285,0,0
2,3,22,11.0,0,18,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,20,10,L,401437838,2022 Regular Season,Adam Trautman,2022,Regular Season,8,94.0,8.0,1.0,9.0,13.428571428571429,1.1428571428571428,0.14285714285714285,1.2857142857142858,16.0,1.3333333333333333,0.3333333333333333,1.6666666666666667,8.0,0.125,0,0
3,3,12,4.0,0,7,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,27,20,W,401437851,2022 Regular Season,Adam Trautman,2022,Regular Season,9,116.0,10.0,1.0,12.0,14.5,1.25,0.125,1.5,12.666666666666666,1.3333333333333333,0.0,1.6666666666666667,11.0,0.1111111111111111,0,0
1,1,17,17.0,0,17,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T21:25:00.000+00:00,13,0,L,401437870,2022 Regular Season,Adam Trautman,2022,Regular Season,10,128.0,13.0,1.0,15.0,14.222222222222221,1.4444444444444444,0.1111111111111111,1.6666666666666667,14.0,2.0,0.0,2.3333333333333335,4.0,0.08333333333333333,0,0
