receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,5,2,2.0,0,2,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T17:00:00.000+00:00,27,29,L,401671861,2024 Regular Season,Adonai Mitchell,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,4,30,30.0,0,30,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,16,10,L,401671723,2024 Regular Season,Adonai Mitchell,2024,Regular Season,2,2.0,1.0,0.0,5.0,2.0,1.0,0.0,5.0,2.0,1.0,0.0,5.0,2.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T17:00:00.000+00:00,21,16,W,401671865,2024 Regular Season,Adonai Mitchell,2024,Regular Season,3,32.0,2.0,0.0,9.0,16.0,1.0,0.0,4.5,16.0,1.0,0.0,4.5,30.0,0.0,0,0
0,3,0,0.0,0,0,1,10,10.0,10,0,0,0,0,0,4,2024-09-29T17:00:00.000+00:00,27,24,W,401671867,2024 Regular Season,Adonai Mitchell,2024,Regular Season,4,32.0,2.0,0.0,10.0,10.666666666666666,0.6666666666666666,0.0,3.3333333333333335,10.666666666666666,0.6666666666666666,0.0,3.3333333333333335,0.0,0.0,0,0
4,7,38,9.5,0,18,1,4,4.0,4,0,0,0,0,0,5,2024-10-06T17:00:00.000+00:00,37,34,L,401671633,2024 Regular Season,Adonai Mitchell,2024,Regular Season,5,32.0,2.0,0.0,13.0,8.0,0.5,0.0,3.25,10.0,0.3333333333333333,0.0,2.6666666666666665,0.0,0.0,0,0
2,4,9,4.5,0,9,0,0,0.0,0,0,0,0,0,0,6,2024-10-13T17:00:00.000+00:00,17,20,W,401671820,2024 Regular Season,Adonai Mitchell,2024,Regular Season,6,70.0,6.0,0.0,20.0,14.0,1.2,0.0,4.0,12.666666666666666,1.3333333333333333,0.0,3.6666666666666665,9.5,0.0,0,0
2,3,30,15.0,0,16,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T17:00:00.000+00:00,16,10,W,401671864,2024 Regular Season,Adonai Mitchell,2024,Regular Season,7,79.0,8.0,0.0,24.0,13.166666666666666,1.3333333333333333,0.0,4.0,15.666666666666666,2.0,0.0,4.666666666666667,4.5,0.0,0,0
1,4,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T17:00:00.000+00:00,23,20,L,401671856,2024 Regular Season,Adonai Mitchell,2024,Regular Season,8,109.0,10.0,0.0,27.0,15.571428571428571,1.4285714285714286,0.0,3.857142857142857,25.666666666666668,2.6666666666666665,0.0,4.666666666666667,15.0,0.0,0,0
1,1,22,22.0,0,22,0,0,0.0,0,0,0,0,0,0,9,2024-11-04T01:20:00.000+00:00,21,13,L,401671647,2024 Regular Season,Adonai Mitchell,2024,Regular Season,9,118.0,11.0,0.0,31.0,14.75,1.375,0.0,3.875,16.0,1.6666666666666667,0.0,3.6666666666666665,9.0,0.0,0,0
6,6,71,11.8,0,18,0,0,0.0,0,0,1,0,0,0,10,2024-11-10T18:00:00.000+00:00,20,30,L,401671863,2024 Regular Season,Adonai Mitchell,2024,Regular Season,10,140.0,12.0,0.0,32.0,15.555555555555555,1.3333333333333333,0.0,3.5555555555555554,20.333333333333332,1.3333333333333333,0.0,2.6666666666666665,22.0,0.0,0,0
1,2,33,33.0,0,33,1,2,2.0,2,0,0,0,-,-,11,2024-11-17T18:00:00.000+00:00,27,28,W,401671782,2024 Regular Season,Adonai Mitchell,2024,Regular Season,11,211.0,18.0,0.0,38.0,21.1,1.8,0.0,3.8,34.0,2.6666666666666665,0.0,3.6666666666666665,11.833333333333334,0.0,0,0
1,3,10,10.0,0,10,0,0,0.0,0,0,0,0,-,-,12,2024-11-24T18:00:00.000+00:00,6,24,L,401671866,2024 Regular Season,Adonai Mitchell,2024,Regular Season,12,244.0,19.0,0.0,40.0,22.181818181818183,1.7272727272727273,0.0,3.6363636363636362,42.0,2.6666666666666665,0.0,3.0,33.0,0.0,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,-,-,13,2024-12-01T18:00:00.000+00:00,24,25,W,401671620,2024 Regular Season,Adonai Mitchell,2024,Regular Season,13,254.0,20.0,0.0,43.0,21.166666666666668,1.6666666666666667,0.0,3.5833333333333335,38.0,2.6666666666666665,0.0,3.6666666666666665,10.0,0.0,0,0
