receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,20,20,T,401437637,2022 Regular Season,Alec Pierce,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3,5,61,20.3,0,30,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,20,17,W,401437638,2022 Regular Season,Alec Pierce,2022,Regular Season,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
4,6,80,20.0,0,44,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,17,24,L,401437754,2022 Regular Season,Alec Pierce,2022,Regular Season,3,61.0,3.0,0.0,7.0,30.5,1.5,0.0,3.5,30.5,1.5,0.0,3.5,20.333333333333332,0.0,0,0
8,9,81,10.1,0,17,0,0,0.0,0,0,1,0,0,0,5,2022-10-07T00:15:00.000+00:00,9,12,W,401437762,2022 Regular Season,Alec Pierce,2022,Regular Season,4,141.0,7.0,0.0,13.0,47.0,2.3333333333333335,0.0,4.333333333333333,47.0,2.3333333333333335,0.0,4.333333333333333,20.0,0.0,0,0
3,7,49,16.3,1,32,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,34,27,W,401437781,2022 Regular Season,Alec Pierce,2022,Regular Season,5,222.0,15.0,0.0,22.0,55.5,3.75,0.0,5.5,74.0,5.0,0.0,6.666666666666667,10.125,0.0,0,1
3,4,37,12.3,0,20,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,19,10,L,401437797,2022 Regular Season,Alec Pierce,2022,Regular Season,6,271.0,18.0,1.0,29.0,54.2,3.6,0.2,5.8,70.0,5.0,0.3333333333333333,7.333333333333333,16.333333333333332,0.0,0,0
3,5,65,21.7,0,47,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T20:25:00.000+00:00,16,17,L,401437814,2022 Regular Season,Alec Pierce,2022,Regular Season,7,308.0,21.0,1.0,33.0,51.333333333333336,3.5,0.16666666666666666,5.5,55.666666666666664,4.666666666666667,0.3333333333333333,6.666666666666667,12.333333333333334,0.034482758620689655,0,0
1,2,23,23.0,0,23,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,26,3,L,401437825,2022 Regular Season,Alec Pierce,2022,Regular Season,8,373.0,24.0,1.0,38.0,53.285714285714285,3.4285714285714284,0.14285714285714285,5.428571428571429,50.333333333333336,3.0,0.3333333333333333,5.333333333333333,21.666666666666668,0.030303030303030304,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T21:05:00.000+00:00,20,25,W,401437840,2022 Regular Season,Alec Pierce,2022,Regular Season,9,396.0,25.0,1.0,40.0,49.5,3.125,0.125,5.0,41.666666666666664,2.3333333333333335,0.0,3.6666666666666665,23.0,0.02631578947368421,0,0
3,8,28,9.3,0,17,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,16,17,L,401437849,2022 Regular Season,Alec Pierce,2022,Regular Season,10,396.0,25.0,1.0,42.0,44.0,2.7777777777777777,0.1111111111111111,4.666666666666667,29.333333333333332,1.3333333333333333,0.0,3.0,0.0,0.025,0,0
