receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,2,12,12.0,0,12,0,0,0.0,0,0,0,0,0,0,1,2022-09-09T00:20:00.000+00:00,10,31,L,401437654,2022 Regular Season,Allen Robinson,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
4,5,53,13.3,1,29,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T20:05:00.000+00:00,31,27,W,401437733,2022 Regular Season,Allen Robinson,2022,Regular Season,2,12.0,1.0,0.0,2.0,12.0,1.0,0.0,2.0,12.0,1.0,0.0,2.0,12.0,0.0,0,1
2,5,23,11.5,0,15,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T20:25:00.000+00:00,12,20,W,401437744,2022 Regular Season,Allen Robinson,2022,Regular Season,3,65.0,5.0,1.0,7.0,32.5,2.5,0.5,3.5,32.5,2.5,0.5,3.5,13.25,0.0,0,0
2,6,7,3.5,0,5,0,0,0.0,0,0,0,0,0,0,4,2022-10-04T00:15:00.000+00:00,24,9,L,401437761,2022 Regular Season,Allen Robinson,2022,Regular Season,4,88.0,7.0,1.0,12.0,29.333333333333332,2.3333333333333335,0.3333333333333333,4.0,29.333333333333332,2.3333333333333335,0.3333333333333333,4.0,11.5,0.14285714285714285,0,0
3,5,12,4.0,0,6,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T20:25:00.000+00:00,10,22,L,401437774,2022 Regular Season,Allen Robinson,2022,Regular Season,5,95.0,9.0,1.0,18.0,23.75,2.25,0.25,4.5,27.666666666666668,2.6666666666666665,0.3333333333333333,5.333333333333333,3.5,0.08333333333333333,0,0
5,6,63,12.6,1,22,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T20:05:00.000+00:00,24,10,W,401437786,2022 Regular Season,Allen Robinson,2022,Regular Season,6,107.0,12.0,1.0,23.0,21.4,2.4,0.2,4.6,14.0,2.3333333333333335,0.0,5.333333333333333,4.0,0.05555555555555555,0,1
5,7,54,10.8,0,23,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T20:25:00.000+00:00,14,31,L,401437815,2022 Regular Season,Allen Robinson,2022,Regular Season,7,170.0,17.0,2.0,29.0,28.333333333333332,2.8333333333333335,0.3333333333333333,4.833333333333333,27.333333333333332,3.3333333333333335,0.3333333333333333,5.666666666666667,12.6,0.043478260869565216,0,0
3,5,24,8.0,0,15,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T21:25:00.000+00:00,16,13,L,401437829,2022 Regular Season,Allen Robinson,2022,Regular Season,8,224.0,22.0,2.0,36.0,32.0,3.142857142857143,0.2857142857142857,5.142857142857143,43.0,4.333333333333333,0.3333333333333333,6.0,10.8,0.06896551724137931,0,0
4,6,44,11.0,0,14,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T21:25:00.000+00:00,17,27,L,401437841,2022 Regular Season,Allen Robinson,2022,Regular Season,9,248.0,25.0,2.0,41.0,31.0,3.125,0.25,5.125,47.0,4.333333333333333,0.3333333333333333,6.0,8.0,0.05555555555555555,0,0
4,5,47,11.8,1,17,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,27,20,L,401437851,2022 Regular Season,Allen Robinson,2022,Regular Season,10,292.0,29.0,2.0,47.0,32.44444444444444,3.2222222222222223,0.2222222222222222,5.222222222222222,40.666666666666664,4.0,0.0,6.0,11.0,0.04878048780487805,0,1
