receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
3,6,17,5.7,0,9,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,24,26,W,401437651,2022 Regular Season,Amari Cooper,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
9,10,101,11.2,1,20,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,30,31,L,401437635,2022 Regular Season,Amari Cooper,2022,Regular Season,2,17.0,3.0,0.0,6.0,17.0,3.0,0.0,6.0,17.0,3.0,0.0,6.0,5.666666666666667,0.0,0,1
7,11,101,14.4,1,32,0,0,0.0,0,0,0,0,0,0,3,2022-09-23T00:15:00.000+00:00,29,17,W,401437735,2022 Regular Season,Amari Cooper,2022,Regular Season,3,118.0,12.0,1.0,16.0,59.0,6.0,0.5,8.0,59.0,6.0,0.5,8.0,11.222222222222221,0.0,0,1
1,4,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,23,20,L,401437749,2022 Regular Season,Amari Cooper,2022,Regular Season,4,219.0,19.0,2.0,27.0,73.0,6.333333333333333,0.6666666666666666,9.0,73.0,6.333333333333333,0.6666666666666666,9.0,14.428571428571429,0.0625,0,0
7,12,76,10.9,1,20,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,28,30,L,401437764,2022 Regular Season,Amari Cooper,2022,Regular Season,5,228.0,20.0,2.0,31.0,57.0,5.0,0.5,7.75,70.33333333333333,5.666666666666667,0.6666666666666666,8.333333333333334,9.0,0.07407407407407407,0,1
4,12,44,11.0,1,15,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,15,38,L,401437779,2022 Regular Season,Amari Cooper,2022,Regular Season,6,304.0,27.0,3.0,43.0,60.8,5.4,0.6,8.6,62.0,5.0,0.6666666666666666,9.0,10.857142857142858,0.06451612903225806,0,1
3,4,74,24.7,0,55,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,23,20,L,401437792,2022 Regular Season,Amari Cooper,2022,Regular Season,7,348.0,31.0,4.0,55.0,58.0,5.166666666666667,0.6666666666666666,9.166666666666666,43.0,4.0,0.6666666666666666,9.333333333333334,11.0,0.06976744186046512,0,0
5,7,131,26.2,1,53,0,0,0.0,0,0,0,0,0,0,8,2022-11-01T00:15:00.000+00:00,32,13,W,401437818,2022 Regular Season,Amari Cooper,2022,Regular Season,8,422.0,34.0,4.0,59.0,60.285714285714285,4.857142857142857,0.5714285714285714,8.428571428571429,64.66666666666667,4.666666666666667,0.6666666666666666,9.333333333333334,24.666666666666668,0.07272727272727272,0,1
3,3,32,10.7,0,12,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,39,17,L,401437836,2022 Regular Season,Amari Cooper,2022,Regular Season,9,553.0,39.0,5.0,66.0,69.125,4.875,0.625,8.25,83.0,4.0,0.6666666666666666,7.666666666666667,26.2,0.06779661016949153,0,0
8,12,113,14.1,2,25,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,31,23,L,401437847,2022 Regular Season,Amari Cooper,2022,Regular Season,10,585.0,42.0,5.0,69.0,65.0,4.666666666666667,0.5555555555555556,7.666666666666667,79.0,3.6666666666666665,0.3333333333333333,4.666666666666667,10.666666666666666,0.07575757575757576,0,1
