receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
8,12,64,8.0,1,29,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,35,38,L,401437648,2022 Regular Season,Amon-Ra St. Brown,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
9,12,116,12.9,2,49,2,68,34.0,58,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,36,27,W,401437732,2022 Regular Season,Amon-Ra St. Brown,2022,Regular Season,2,64.0,8.0,1.0,12.0,64.0,8.0,1.0,12.0,64.0,8.0,1.0,12.0,8.0,0.0,0,1
6,9,73,12.2,0,30,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,28,24,L,401437739,2022 Regular Season,Amon-Ra St. Brown,2022,Regular Season,3,180.0,17.0,3.0,24.0,90.0,8.5,1.5,12.0,90.0,8.5,1.5,12.0,12.88888888888889,0.08333333333333333,0,0
4,6,18,4.5,0,11,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,29,0,L,401437767,2022 Regular Season,Amon-Ra St. Brown,2022,Regular Season,4,253.0,23.0,3.0,33.0,84.33333333333333,7.666666666666667,1.0,11.0,84.33333333333333,7.666666666666667,1.0,11.0,12.166666666666666,0.125,0,0
1,1,4,4.0,0,4,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,24,6,L,401437795,2022 Regular Season,Amon-Ra St. Brown,2022,Regular Season,5,271.0,27.0,3.0,39.0,67.75,6.75,0.75,9.75,69.0,6.333333333333333,0.6666666666666666,9.0,4.5,0.09090909090909091,0,0
7,10,69,9.9,0,21,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,27,31,L,401437808,2022 Regular Season,Amon-Ra St. Brown,2022,Regular Season,6,275.0,28.0,3.0,40.0,55.0,5.6,0.6,8.0,31.666666666666668,3.6666666666666665,0.0,5.333333333333333,4.0,0.07692307692307693,0,0
4,9,55,13.8,0,25,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,15,9,W,401437823,2022 Regular Season,Amon-Ra St. Brown,2022,Regular Season,7,344.0,35.0,3.0,50.0,57.333333333333336,5.833333333333333,0.5,8.333333333333334,30.333333333333332,4.0,0.0,5.666666666666667,9.857142857142858,0.075,0,0
10,11,119,11.9,0,22,1,2,2.0,2,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,30,31,W,401437834,2022 Regular Season,Amon-Ra St. Brown,2022,Regular Season,8,399.0,39.0,3.0,59.0,57.0,5.571428571428571,0.42857142857142855,8.428571428571429,42.666666666666664,4.0,0.0,6.666666666666667,13.75,0.06,0,0
7,8,76,10.9,0,32,1,4,4.0,4,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,18,31,W,401437852,2022 Regular Season,Amon-Ra St. Brown,2022,Regular Season,9,518.0,49.0,3.0,70.0,64.75,6.125,0.375,8.75,81.0,7.0,0.0,10.0,11.9,0.05084745762711865,0,0
9,10,122,13.6,1,26,1,7,7.0,7,0,0,0,0,0,12,2022-11-24T17:30:00.000+00:00,25,28,L,401437857,2022 Regular Season,Amon-Ra St. Brown,2022,Regular Season,10,594.0,56.0,3.0,78.0,66.0,6.222222222222222,0.3333333333333333,8.666666666666666,83.33333333333333,7.0,0.0,9.333333333333334,10.857142857142858,0.04285714285714286,0,1
11,12,114,10.4,2,15,1,2,2.0,2,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,40,14,W,401437877,2022 Regular Season,Amon-Ra St. Brown,2022,Regular Season,11,716.0,65.0,4.0,88.0,71.6,6.5,0.4,8.8,105.66666666666667,8.666666666666666,0.3333333333333333,9.666666666666666,13.555555555555555,0.038461538461538464,0,1
6,9,68,11.3,0,25,1,6,6.0,6,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,34,23,W,401437892,2022 Regular Season,Amon-Ra St. Brown,2022,Regular Season,12,830.0,76.0,6.0,100.0,75.45454545454545,6.909090909090909,0.5454545454545454,9.090909090909092,104.0,9.0,1.0,10.0,10.363636363636363,0.045454545454545456,0,0
7,10,76,10.9,0,14,1,6,6.0,6,0,0,0,0,0,15,2022-12-18T18:00:00.000+00:00,17,20,W,401437911,2022 Regular Season,Amon-Ra St. Brown,2022,Regular Season,13,898.0,82.0,6.0,109.0,74.83333333333333,6.833333333333333,0.5,9.083333333333334,101.33333333333333,8.666666666666666,1.0,10.333333333333334,11.333333333333334,0.06,0,0
7,13,76,10.9,0,19,1,0,0.0,0,0,0,0,0,0,16,2022-12-24T18:00:00.000+00:00,37,23,L,401437919,2022 Regular Season,Amon-Ra St. Brown,2022,Regular Season,14,974.0,89.0,6.0,119.0,74.92307692307692,6.846153846153846,0.46153846153846156,9.153846153846153,86.0,8.0,0.6666666666666666,10.333333333333334,10.857142857142858,0.05504587155963303,0,0
4,5,62,15.5,0,28,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,41,10,W,401437935,2022 Regular Season,Amon-Ra St. Brown,2022,Regular Season,15,1050.0,96.0,6.0,132.0,75.0,6.857142857142857,0.42857142857142855,9.428571428571429,73.33333333333333,6.666666666666667,0.0,10.666666666666666,10.857142857142858,0.05042016806722689,0,0
6,9,49,8.2,0,14,0,0,0.0,0,0,0,0,0,0,18,2023-01-09T01:20:00.000+00:00,16,20,W,401437952,2022 Regular Season,Amon-Ra St. Brown,2022,Regular Season,16,1112.0,100.0,6.0,137.0,74.13333333333334,6.666666666666667,0.4,9.133333333333333,71.33333333333333,6.0,0.0,9.333333333333334,15.5,0.045454545454545456,0,0
6,9,71,11.8,1,21,0,0,0.0,0,0,0,0,0,0,1,2023-09-08T00:20:00.000+00:00,20,21,W,401547353,2023 Regular Season,Amon-Ra St. Brown,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
6,7,102,17.0,0,39,0,0,0.0,0,0,1,1,0,0,2,2023-09-17T17:00:00.000+00:00,31,37,L,401547418,2023 Regular Season,Amon-Ra St. Brown,2023,Regular Season,2,71.0,6.0,1.0,9.0,71.0,6.0,1.0,9.0,71.0,6.0,1.0,9.0,11.833333333333334,0.0,0,0
9,12,102,11.3,0,20,1,4,4.0,4,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,20,6,W,401547433,2023 Regular Season,Amon-Ra St. Brown,2023,Regular Season,3,173.0,12.0,1.0,16.0,86.5,6.0,0.5,8.0,86.5,6.0,0.5,8.0,17.0,0.1111111111111111,0,0
5,7,56,11.2,1,24,0,0,0.0,0,0,0,0,0,0,4,2023-09-29T00:15:00.000+00:00,20,34,W,401547442,2023 Regular Season,Amon-Ra St. Brown,2023,Regular Season,4,275.0,21.0,1.0,28.0,91.66666666666667,7.0,0.3333333333333333,9.333333333333334,91.66666666666667,7.0,0.3333333333333333,9.333333333333334,11.333333333333334,0.0625,0,1
12,15,124,10.3,1,27,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T20:25:00.000+00:00,6,20,W,401547478,2023 Regular Season,Amon-Ra St. Brown,2023,Regular Season,5,331.0,26.0,2.0,35.0,82.75,6.5,0.5,8.75,86.66666666666667,6.666666666666667,0.3333333333333333,8.666666666666666,11.2,0.03571428571428571,0,1
13,19,102,7.8,0,15,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T17:00:00.000+00:00,38,6,L,401547489,2023 Regular Season,Amon-Ra St. Brown,2023,Regular Season,6,455.0,38.0,3.0,50.0,91.0,7.6,0.6,10.0,94.0,8.666666666666666,0.6666666666666666,11.333333333333334,10.333333333333334,0.05714285714285714,0,0
6,9,108,18.0,0,44,0,0,0.0,0,0,0,0,0,0,8,2023-10-31T00:15:00.000+00:00,26,14,W,401547511,2023 Regular Season,Amon-Ra St. Brown,2023,Regular Season,7,557.0,51.0,3.0,69.0,92.83333333333333,8.5,0.5,11.5,94.0,10.0,0.6666666666666666,13.666666666666666,7.846153846153846,0.06,0,0
8,9,156,19.5,1,46,2,9,4.5,6,0,0,0,0,0,10,2023-11-12T21:05:00.000+00:00,38,41,W,401547530,2023 Regular Season,Amon-Ra St. Brown,2023,Regular Season,8,665.0,57.0,3.0,78.0,95.0,8.142857142857142,0.42857142857142855,11.142857142857142,111.33333333333333,10.333333333333334,0.3333333333333333,14.333333333333334,18.0,0.043478260869565216,0,1
8,11,77,9.6,1,16,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T18:00:00.000+00:00,31,26,W,401547546,2023 Regular Season,Amon-Ra St. Brown,2023,Regular Season,9,821.0,65.0,4.0,87.0,102.625,8.125,0.5,10.875,122.0,9.0,0.3333333333333333,12.333333333333334,19.5,0.038461538461538464,0,1
9,11,95,10.6,0,28,0,0,0.0,0,0,0,0,0,0,12,2023-11-23T17:30:00.000+00:00,22,29,L,401547552,2023 Regular Season,Amon-Ra St. Brown,2023,Regular Season,10,898.0,73.0,5.0,98.0,99.77777777777777,8.11111111111111,0.5555555555555556,10.88888888888889,113.66666666666667,7.333333333333333,0.6666666666666666,9.666666666666666,9.625,0.04597701149425287,0,0
2,6,49,24.5,1,25,0,0,0.0,0,0,0,0,0,0,13,2023-12-03T18:00:00.000+00:00,28,33,W,401547572,2023 Regular Season,Amon-Ra St. Brown,2023,Regular Season,11,993.0,82.0,5.0,109.0,99.3,8.2,0.5,10.9,109.33333333333333,8.333333333333334,0.6666666666666666,10.333333333333334,10.555555555555555,0.05102040816326531,0,1
3,8,21,7.0,0,11,0,0,0.0,0,0,0,0,1,0,14,2023-12-10T18:00:00.000+00:00,28,13,L,401547586,2023 Regular Season,Amon-Ra St. Brown,2023,Regular Season,12,1042.0,84.0,6.0,115.0,94.72727272727273,7.636363636363637,0.5454545454545454,10.454545454545455,73.66666666666667,6.333333333333333,0.6666666666666666,9.333333333333334,24.5,0.045871559633027525,0,0
7,9,112,16.0,1,29,0,0,0.0,0,0,0,0,0,0,15,2023-12-17T01:15:00.000+00:00,42,17,W,401547606,2023 Regular Season,Amon-Ra St. Brown,2023,Regular Season,13,1063.0,87.0,6.0,123.0,88.58333333333333,7.25,0.5,10.25,55.0,4.666666666666667,0.3333333333333333,8.333333333333334,7.0,0.05217391304347826,0,1
12,14,106,8.8,1,25,0,0,0.0,0,0,0,0,0,0,16,2023-12-24T18:00:00.000+00:00,24,30,W,401547618,2023 Regular Season,Amon-Ra St. Brown,2023,Regular Season,14,1175.0,94.0,7.0,132.0,90.38461538461539,7.230769230769231,0.5384615384615384,10.153846153846153,60.666666666666664,4.0,0.6666666666666666,7.666666666666667,16.0,0.04878048780487805,0,1
6,8,90,15.0,1,23,1,11,11.0,11,0,0,0,0,0,17,2023-12-31T01:15:00.000+00:00,20,19,L,401547624,2023 Regular Season,Amon-Ra St. Brown,2023,Regular Season,15,1281.0,106.0,8.0,146.0,91.5,7.571428571428571,0.5714285714285714,10.428571428571429,79.66666666666667,7.333333333333333,0.6666666666666666,10.333333333333334,8.833333333333334,0.05303030303030303,0,1
7,10,144,20.6,1,70,0,0,0.0,0,0,0,0,0,0,18,2024-01-07T18:00:00.000+00:00,30,20,W,401547642,2023 Regular Season,Amon-Ra St. Brown,2023,Regular Season,16,1371.0,112.0,9.0,154.0,91.4,7.466666666666667,0.6,10.266666666666667,102.66666666666667,8.333333333333334,1.0,10.333333333333334,15.0,0.0547945205479452,0,1
3,6,13,4.3,0,5,0,0,0.0,0,0,0,0,0,0,1,2024-09-09T00:20:00.000+00:00,26,20,W,401671792,2024 Regular Season,Amon-Ra St. Brown,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
11,18,119,10.8,0,20,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,16,20,L,401671721,2024 Regular Season,Amon-Ra St. Brown,2024,Regular Season,2,13.0,3.0,0.0,6.0,13.0,3.0,0.0,6.0,13.0,3.0,0.0,6.0,4.333333333333333,0.0,0,0
7,8,75,10.7,1,20,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T20:25:00.000+00:00,13,20,W,401671771,2024 Regular Season,Amon-Ra St. Brown,2024,Regular Season,3,132.0,14.0,0.0,24.0,66.0,7.0,0.0,12.0,66.0,7.0,0.0,12.0,10.818181818181818,0.0,0,1
6,6,45,7.5,1,17,0,0,0.0,0,0,0,0,0,0,4,2024-10-01T00:15:00.000+00:00,42,29,W,401671491,2024 Regular Season,Amon-Ra St. Brown,2024,Regular Season,4,207.0,21.0,1.0,32.0,69.0,7.0,0.3333333333333333,10.666666666666666,69.0,7.0,0.3333333333333333,10.666666666666666,10.714285714285714,0.0,0,1
4,4,37,9.3,1,16,0,0,0.0,0,0,0,0,0,0,6,2024-10-13T20:25:00.000+00:00,9,47,W,401671764,2024 Regular Season,Amon-Ra St. Brown,2024,Regular Season,5,252.0,27.0,2.0,38.0,63.0,6.75,0.5,9.5,79.66666666666667,8.0,0.6666666666666666,10.666666666666666,7.5,0.03125,0,1
8,8,112,14.0,1,35,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T17:00:00.000+00:00,29,31,W,401671724,2024 Regular Season,Amon-Ra St. Brown,2024,Regular Season,6,289.0,31.0,3.0,42.0,57.8,6.2,0.6,8.4,52.333333333333336,5.666666666666667,1.0,6.0,9.25,0.05263157894736842,0,1
2,2,7,3.5,1,6,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T17:00:00.000+00:00,52,14,W,401671720,2024 Regular Season,Amon-Ra St. Brown,2024,Regular Season,7,401.0,39.0,4.0,50.0,66.83333333333333,6.5,0.6666666666666666,8.333333333333334,64.66666666666667,6.0,1.0,6.0,14.0,0.07142857142857142,0,1
7,7,56,8.0,1,26,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T21:25:00.000+00:00,14,24,W,401671767,2024 Regular Season,Amon-Ra St. Brown,2024,Regular Season,8,408.0,41.0,5.0,52.0,58.285714285714285,5.857142857142857,0.7142857142857143,7.428571428571429,52.0,4.666666666666667,1.0,4.666666666666667,3.5,0.08,0,1
6,8,60,10.0,1,15,0,0,0.0,0,0,0,0,0,0,10,2024-11-11T01:20:00.000+00:00,23,26,W,401671787,2024 Regular Season,Amon-Ra St. Brown,2024,Regular Season,9,464.0,48.0,6.0,59.0,58.0,6.0,0.75,7.375,58.333333333333336,5.666666666666667,1.0,5.666666666666667,8.0,0.09615384615384616,0,1
11,11,161,14.6,2,27,1,-4,-4.0,-4,0,0,0,-,-,11,2024-11-17T18:00:00.000+00:00,52,6,W,401671642,2024 Regular Season,Amon-Ra St. Brown,2024,Regular Season,10,524.0,54.0,7.0,67.0,58.22222222222222,6.0,0.7777777777777778,7.444444444444445,41.0,5.0,1.0,5.666666666666667,10.0,0.1016949152542373,0,1
6,7,62,10.3,0,15,0,0,0.0,0,0,0,0,-,-,12,2024-11-24T18:00:00.000+00:00,6,24,W,401671866,2024 Regular Season,Amon-Ra St. Brown,2024,Regular Season,11,685.0,65.0,9.0,78.0,68.5,6.5,0.9,7.8,92.33333333333333,8.0,1.3333333333333333,8.666666666666666,14.636363636363637,0.1044776119402985,0,0
5,7,73,14.6,0,29,0,0,0.0,0,0,0,0,-,-,13,2024-11-28T17:30:00.000+00:00,23,20,W,401671492,2024 Regular Season,Amon-Ra St. Brown,2024,Regular Season,12,747.0,71.0,9.0,85.0,67.9090909090909,6.454545454545454,0.8181818181818182,7.7272727272727275,94.33333333333333,7.666666666666667,1.0,8.666666666666666,10.333333333333334,0.11538461538461539,0,0
5,6,43,8.6,0,16,1,10,10.0,10,0,0,0,-,-,14,2024-12-06T01:15:00.000+00:00,34,31,W,401671814,2024 Regular Season,Amon-Ra St. Brown,2024,Regular Season,13,820.0,76.0,9.0,92.0,68.33333333333333,6.333333333333333,0.75,7.666666666666667,98.66666666666667,7.333333333333333,0.6666666666666666,8.333333333333334,14.6,0.10588235294117647,0,0
