receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,24,3,L,401547397,2023 Regular Season,Andrei Iosivas,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,24,27,L,401547412,2023 Regular Season,Andrei Iosivas,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,-,-,3,2023-09-26T00:15:00.000+00:00,19,16,W,401547441,2023 Regular Season,Andrei Iosivas,2023,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,27,3,L,401547452,2023 Regular Season,Andrei Iosivas,2023,Regular Season,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,2,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T20:05:00.000+00:00,20,34,W,401547466,2023 Regular Season,Andrei Iosivas,2023,Regular Season,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,3,3.0,1,3,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T17:00:00.000+00:00,17,13,W,401547471,2023 Regular Season,Andrei Iosivas,2023,Regular Season,6,9.0,1.0,0.0,2.0,1.8,0.2,0.0,0.4,3.0,0.3333333333333333,0.0,0.6666666666666666,9.0,0.0,0,1
1,1,2,2.0,1,2,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T20:25:00.000+00:00,17,31,W,401547503,2023 Regular Season,Andrei Iosivas,2023,Regular Season,7,12.0,2.0,1.0,3.0,2.0,0.3333333333333333,0.16666666666666666,0.5,4.0,0.6666666666666666,0.3333333333333333,1.0,3.0,0.0,0,1
1,1,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,9,2023-11-06T01:20:00.000+00:00,24,18,W,401547523,2023 Regular Season,Andrei Iosivas,2023,Regular Season,8,14.0,3.0,2.0,4.0,2.0,0.42857142857142855,0.2857142857142857,0.5714285714285714,4.666666666666667,1.0,0.6666666666666666,1.3333333333333333,2.0,0.3333333333333333,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T18:00:00.000+00:00,27,30,L,401547526,2023 Regular Season,Andrei Iosivas,2023,Regular Season,9,23.0,4.0,2.0,5.0,2.875,0.5,0.25,0.625,4.666666666666667,1.0,0.6666666666666666,1.0,9.0,0.5,0,0
1,2,16,16.0,0,16,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T18:00:00.000+00:00,10,16,L,401547554,2023 Regular Season,Andrei Iosivas,2023,Regular Season,10,23.0,4.0,2.0,6.0,2.5555555555555554,0.4444444444444444,0.2222222222222222,0.6666666666666666,3.6666666666666665,0.6666666666666666,0.3333333333333333,1.0,0.0,0.4,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,13,2023-12-05T01:15:00.000+00:00,31,34,W,401547577,2023 Regular Season,Andrei Iosivas,2023,Regular Season,11,39.0,5.0,2.0,8.0,3.9,0.5,0.2,0.8,8.333333333333334,0.6666666666666666,0.0,1.3333333333333333,16.0,0.3333333333333333,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T18:00:00.000+00:00,34,14,W,401547580,2023 Regular Season,Andrei Iosivas,2023,Regular Season,12,39.0,5.0,2.0,8.0,3.5454545454545454,0.45454545454545453,0.18181818181818182,0.7272727272727273,5.333333333333333,0.3333333333333333,0.0,1.0,0.0,0.25,0,0
1,2,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,15,2023-12-16T18:00:00.000+00:00,27,24,W,401547604,2023 Regular Season,Andrei Iosivas,2023,Regular Season,13,39.0,5.0,2.0,8.0,3.25,0.4166666666666667,0.16666666666666666,0.6666666666666666,5.333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,0.25,0,0
4,8,36,9.0,0,12,0,0,0.0,0,0,0,0,0,0,16,2023-12-23T21:30:00.000+00:00,34,11,L,401547610,2023 Regular Season,Andrei Iosivas,2023,Regular Season,14,44.0,6.0,2.0,10.0,3.3846153846153846,0.46153846153846156,0.15384615384615385,0.7692307692307693,1.6666666666666667,0.3333333333333333,0.0,0.6666666666666666,5.0,0.25,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,17,2023-12-31T21:25:00.000+00:00,25,17,L,401547235,2023 Regular Season,Andrei Iosivas,2023,Regular Season,15,80.0,10.0,2.0,18.0,5.714285714285714,0.7142857142857143,0.14285714285714285,1.2857142857142858,13.666666666666666,1.6666666666666667,0.0,3.3333333333333335,9.0,0.2,0,0
5,7,36,7.2,2,15,0,0,0.0,0,0,0,0,0,0,18,2024-01-07T18:00:00.000+00:00,31,14,W,401547641,2023 Regular Season,Andrei Iosivas,2023,Regular Season,16,80.0,10.0,2.0,18.0,5.333333333333333,0.6666666666666666,0.13333333333333333,1.2,13.666666666666666,1.6666666666666667,0.0,3.3333333333333335,0.0,0.1111111111111111,0,1
3,6,26,8.7,0,13,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T17:00:00.000+00:00,10,16,L,401671628,2024 Regular Season,Andrei Iosivas,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,4,7,3.5,2,4,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T20:25:00.000+00:00,26,25,L,401671670,2024 Regular Season,Andrei Iosivas,2024,Regular Season,2,26.0,3.0,0.0,6.0,26.0,3.0,0.0,6.0,26.0,3.0,0.0,6.0,8.666666666666666,0.0,0,1
5,7,52,10.4,1,16,0,0,0.0,0,0,0,0,0,0,3,2024-09-24T00:15:00.000+00:00,33,38,L,401671490,2024 Regular Season,Andrei Iosivas,2024,Regular Season,3,33.0,5.0,2.0,10.0,16.5,2.5,1.0,5.0,16.5,2.5,1.0,5.0,3.5,0.0,0,1
1,1,29,29.0,0,29,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T17:00:00.000+00:00,24,34,W,401671745,2024 Regular Season,Andrei Iosivas,2024,Regular Season,4,85.0,10.0,3.0,17.0,28.333333333333332,3.3333333333333335,1.0,5.666666666666667,28.333333333333332,3.3333333333333335,1.0,5.666666666666667,10.4,0.2,0,0
1,2,39,39.0,0,39,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T17:00:00.000+00:00,38,41,L,401671626,2024 Regular Season,Andrei Iosivas,2024,Regular Season,5,114.0,11.0,3.0,18.0,28.5,2.75,0.75,4.5,29.333333333333332,2.6666666666666665,1.0,4.0,29.0,0.17647058823529413,0,0
2,3,36,18.0,0,29,0,0,0.0,0,0,0,0,0,0,6,2024-10-14T00:20:00.000+00:00,7,17,W,401671791,2024 Regular Season,Andrei Iosivas,2024,Regular Season,6,153.0,12.0,3.0,20.0,30.6,2.4,0.6,4.0,40.0,2.3333333333333335,0.3333333333333333,3.3333333333333335,39.0,0.16666666666666666,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T17:00:00.000+00:00,14,21,W,401671853,2024 Regular Season,Andrei Iosivas,2024,Regular Season,7,189.0,14.0,3.0,23.0,31.5,2.3333333333333335,0.5,3.8333333333333335,34.666666666666664,1.3333333333333333,0.0,2.0,18.0,0.15,0,0
0,3,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T17:00:00.000+00:00,17,37,L,401671667,2024 Regular Season,Andrei Iosivas,2024,Regular Season,8,189.0,14.0,3.0,24.0,27.0,2.0,0.42857142857142855,3.4285714285714284,25.0,1.0,0.0,2.0,0.0,0.13043478260869565,0,0
1,4,10,10.0,1,10,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T18:00:00.000+00:00,41,24,W,401671704,2024 Regular Season,Andrei Iosivas,2024,Regular Season,9,189.0,14.0,3.0,27.0,23.625,1.75,0.375,3.375,12.0,0.6666666666666666,0.0,2.3333333333333335,0.0,0.125,0,1
2,4,29,14.5,0,19,0,0,0.0,0,0,0,0,0,0,10,2024-11-08T01:15:00.000+00:00,35,34,L,401671810,2024 Regular Season,Andrei Iosivas,2024,Regular Season,10,199.0,15.0,4.0,31.0,22.11111111111111,1.6666666666666667,0.4444444444444444,3.4444444444444446,3.3333333333333335,0.3333333333333333,0.3333333333333333,2.6666666666666665,10.0,0.1111111111111111,0,0
3,3,46,15.3,0,27,0,0,0.0,0,0,0,0,-,-,11,2024-11-18T01:20:00.000+00:00,34,27,L,401671675,2024 Regular Season,Andrei Iosivas,2024,Regular Season,11,228.0,17.0,4.0,35.0,22.8,1.7,0.4,3.5,13.0,1.0,0.3333333333333333,3.6666666666666665,14.5,0.12903225806451613,0,0
3,4,35,11.7,1,17,0,0,0.0,0,0,0,0,-,-,13,2024-12-01T18:00:00.000+00:00,38,44,L,401671627,2024 Regular Season,Andrei Iosivas,2024,Regular Season,12,274.0,20.0,4.0,38.0,24.90909090909091,1.8181818181818181,0.36363636363636365,3.4545454545454546,28.333333333333332,2.0,0.3333333333333333,3.6666666666666665,15.333333333333334,0.11428571428571428,0,1
