receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
3,6,46,15.3,0,23,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,20,20,T,401437637,2022 Regular Season,Ashton Dulin,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
5,7,79,15.8,0,39,1,3,3.0,3,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,24,0,L,401437639,2022 Regular Season,Ashton Dulin,2022,Regular Season,2,46.0,3.0,0.0,6.0,46.0,3.0,0.0,6.0,46.0,3.0,0.0,6.0,15.333333333333334,0.0,0,0
1,1,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,20,17,W,401437638,2022 Regular Season,Ashton Dulin,2022,Regular Season,3,125.0,8.0,0.0,13.0,62.5,4.0,0.0,6.5,62.5,4.0,0.0,6.5,15.8,0.0,0,0
2,3,18,9.0,0,10,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,17,24,L,401437754,2022 Regular Season,Ashton Dulin,2022,Regular Season,4,132.0,9.0,0.0,14.0,44.0,3.0,0.0,4.666666666666667,44.0,3.0,0.0,4.666666666666667,7.0,0.0,0,0
1,1,18,18.0,0,18,0,0,0.0,0,0,0,0,0,0,5,2022-10-07T00:15:00.000+00:00,9,12,W,401437762,2022 Regular Season,Ashton Dulin,2022,Regular Season,5,150.0,11.0,0.0,17.0,37.5,2.75,0.0,4.25,34.666666666666664,2.6666666666666665,0.0,3.6666666666666665,9.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T21:05:00.000+00:00,20,25,W,401437840,2022 Regular Season,Ashton Dulin,2022,Regular Season,6,168.0,12.0,0.0,18.0,33.6,2.4,0.0,3.6,14.333333333333334,1.3333333333333333,0.0,1.6666666666666667,18.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,16,17,L,401437849,2022 Regular Season,Ashton Dulin,2022,Regular Season,7,168.0,12.0,0.0,18.0,28.0,2.0,0.0,3.0,12.0,1.0,0.0,1.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2022-11-29T01:15:00.000+00:00,17,24,L,401437872,2022 Regular Season,Ashton Dulin,2022,Regular Season,8,168.0,12.0,0.0,18.0,24.0,1.7142857142857142,0.0,2.5714285714285716,6.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
1,2,14,14.0,1,14,0,0,0.0,0,0,0,0,0,0,13,2022-12-05T01:20:00.000+00:00,54,19,L,401437886,2022 Regular Season,Ashton Dulin,2022,Regular Season,9,168.0,12.0,0.0,18.0,21.0,1.5,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0,1
2,2,25,12.5,0,13,1,5,5.0,5,0,0,0,0,0,15,2022-12-17T18:00:00.000+00:00,39,36,L,401437904,2022 Regular Season,Ashton Dulin,2022,Regular Season,10,182.0,13.0,1.0,20.0,20.22222222222222,1.4444444444444444,0.1111111111111111,2.2222222222222223,4.666666666666667,0.3333333333333333,0.3333333333333333,0.6666666666666666,14.0,0.0,0,0
