receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,2,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,20,21,L,401437640,2022 Regular Season,Austin Hooper,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,5,19,19.0,0,19,0,0,0.0,0,0,0,0,0,0,2,2022-09-19T23:15:00.000+00:00,41,7,L,401436831,2022 Regular Season,Austin Hooper,2022,Regular Season,2,6.0,1.0,0.0,2.0,6.0,1.0,0.0,2.0,6.0,1.0,0.0,2.0,6.0,0.0,0,0
2,2,19,9.5,0,11,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,24,22,W,401437741,2022 Regular Season,Austin Hooper,2022,Regular Season,3,25.0,2.0,0.0,7.0,12.5,1.0,0.0,3.5,12.5,1.0,0.0,3.5,19.0,0.0,0,0
1,1,4,4.0,0,4,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,17,24,W,401437754,2022 Regular Season,Austin Hooper,2022,Regular Season,4,44.0,4.0,0.0,9.0,14.666666666666666,1.3333333333333333,0.0,3.0,14.666666666666666,1.3333333333333333,0.0,3.0,9.5,0.0,0,0
1,1,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,17,21,W,401437771,2022 Regular Season,Austin Hooper,2022,Regular Season,5,48.0,5.0,0.0,10.0,12.0,1.25,0.0,2.5,14.0,1.3333333333333333,0.0,2.6666666666666665,4.0,0.0,0,0
3,3,56,18.7,0,23,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,19,10,W,401437797,2022 Regular Season,Austin Hooper,2022,Regular Season,6,55.0,6.0,0.0,11.0,11.0,1.2,0.0,2.2,10.0,1.3333333333333333,0.0,1.3333333333333333,7.0,0.0,0,0
1,1,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T20:05:00.000+00:00,10,17,W,401437813,2022 Regular Season,Austin Hooper,2022,Regular Season,7,111.0,9.0,0.0,14.0,18.5,1.5,0.0,2.3333333333333335,22.333333333333332,1.6666666666666667,0.0,1.6666666666666667,18.666666666666668,0.0,0,0
2,3,34,17.0,0,18,0,0,0.0,0,0,0,0,0,0,9,2022-11-07T01:20:00.000+00:00,20,17,L,401437830,2022 Regular Season,Austin Hooper,2022,Regular Season,8,116.0,10.0,0.0,15.0,16.571428571428573,1.4285714285714286,0.0,2.142857142857143,22.666666666666668,1.6666666666666667,0.0,1.6666666666666667,5.0,0.0,0,0
5,7,41,8.2,0,17,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,17,10,W,401437839,2022 Regular Season,Austin Hooper,2022,Regular Season,9,150.0,12.0,0.0,18.0,18.75,1.5,0.0,2.25,31.666666666666668,2.0,0.0,2.3333333333333335,17.0,0.0,0,0
4,4,36,9.0,2,16,0,0,0.0,0,0,0,0,0,0,11,2022-11-18T01:15:00.000+00:00,17,27,W,401437844,2022 Regular Season,Austin Hooper,2022,Regular Season,10,191.0,17.0,0.0,25.0,21.22222222222222,1.8888888888888888,0.0,2.7777777777777777,26.666666666666668,2.6666666666666665,0.0,3.6666666666666665,8.2,0.0,0,1
3,4,30,10.0,0,12,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,16,20,L,401437865,2022 Regular Season,Austin Hooper,2022,Regular Season,11,227.0,21.0,2.0,29.0,22.7,2.1,0.2,2.9,37.0,3.6666666666666665,0.6666666666666666,4.666666666666667,9.0,0.0,0,0
3,5,22,7.3,0,9,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,35,10,L,401437881,2022 Regular Season,Austin Hooper,2022,Regular Season,12,257.0,24.0,2.0,33.0,23.363636363636363,2.1818181818181817,0.18181818181818182,3.0,35.666666666666664,4.0,0.6666666666666666,5.0,10.0,0.06896551724137931,0,0
5,5,68,13.6,0,24,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,22,36,L,401437895,2022 Regular Season,Austin Hooper,2022,Regular Season,13,279.0,27.0,2.0,38.0,23.25,2.25,0.16666666666666666,3.1666666666666665,29.333333333333332,3.3333333333333335,0.6666666666666666,4.333333333333333,7.333333333333333,0.06060606060606061,0,0
2,4,33,16.5,0,17,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T21:25:00.000+00:00,17,14,L,401437913,2022 Regular Season,Austin Hooper,2022,Regular Season,14,347.0,32.0,2.0,43.0,26.692307692307693,2.4615384615384617,0.15384615384615385,3.3076923076923075,40.0,3.6666666666666665,0.0,4.666666666666667,13.6,0.05263157894736842,0,0
