receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T20:25:00.000+00:00,37,20,L,401671770,2024 Regular Season,Ben Sinnott,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,21,18,W,401671716,2024 Regular Season,Ben Sinnott,2024,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2024-09-24T00:15:00.000+00:00,33,38,W,401671490,2024 Regular Season,Ben Sinnott,2024,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T20:05:00.000+00:00,14,42,W,401671755,2024 Regular Season,Ben Sinnott,2024,Regular Season,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T17:00:00.000+00:00,34,13,W,401671718,2024 Regular Season,Ben Sinnott,2024,Regular Season,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2024-10-13T17:00:00.000+00:00,30,23,L,401671625,2024 Regular Season,Ben Sinnott,2024,Regular Season,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,2,6,3.0,1,3,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T20:05:00.000+00:00,40,7,W,401671640,2024 Regular Season,Ben Sinnott,2024,Regular Season,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T20:25:00.000+00:00,18,15,W,401671599,2024 Regular Season,Ben Sinnott,2024,Regular Season,8,6.0,2.0,1.0,2.0,0.8571428571428571,0.2857142857142857,0.14285714285714285,0.2857142857142857,2.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,3.0,0.0,0,0
1,1,12,12.0,0,12,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T18:00:00.000+00:00,22,27,W,401671711,2024 Regular Season,Ben Sinnott,2024,Regular Season,9,6.0,2.0,1.0,2.0,0.75,0.25,0.125,0.25,2.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.5,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2024-11-10T18:00:00.000+00:00,27,28,L,401671641,2024 Regular Season,Ben Sinnott,2024,Regular Season,10,18.0,3.0,1.0,3.0,2.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,6.0,1.0,0.3333333333333333,1.0,12.0,0.5,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2024-11-15T01:15:00.000+00:00,26,18,L,401671813,2024 Regular Season,Ben Sinnott,2024,Regular Season,11,18.0,3.0,1.0,3.0,1.8,0.3,0.1,0.3,4.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2024-11-24T18:00:00.000+00:00,26,34,L,401671715,2024 Regular Season,Ben Sinnott,2024,Regular Season,12,18.0,3.0,1.0,3.0,1.6363636363636365,0.2727272727272727,0.09090909090909091,0.2727272727272727,4.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0,0
1,1,3,3.0,0,3,0,0,0.0,0,0,0,0,-,-,13,2024-12-01T18:00:00.000+00:00,42,19,W,401671743,2024 Regular Season,Ben Sinnott,2024,Regular Season,13,18.0,3.0,1.0,3.0,1.5,0.25,0.08333333333333333,0.25,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0,0
