receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
4,6,25,6.3,0,12,0,0,0.0,0,0,0,0,0,0,1,2022-09-09T00:20:00.000+00:00,10,31,L,401437654,2022 Regular Season,Ben Skowronek,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,3,16,8.0,0,8,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T20:05:00.000+00:00,31,27,W,401437733,2022 Regular Season,Ben Skowronek,2022,Regular Season,2,25.0,4.0,0.0,6.0,25.0,4.0,0.0,6.0,25.0,4.0,0.0,6.0,6.25,0.0,0,0
4,4,66,16.5,0,32,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T20:25:00.000+00:00,12,20,W,401437744,2022 Regular Season,Ben Skowronek,2022,Regular Season,3,41.0,6.0,0.0,9.0,20.5,3.0,0.0,4.5,20.5,3.0,0.0,4.5,8.0,0.0,0,0
2,3,33,16.5,0,17,0,0,0.0,0,0,0,0,0,0,4,2022-10-04T00:15:00.000+00:00,24,9,L,401437761,2022 Regular Season,Ben Skowronek,2022,Regular Season,4,107.0,10.0,0.0,13.0,35.666666666666664,3.3333333333333335,0.0,4.333333333333333,35.666666666666664,3.3333333333333335,0.0,4.333333333333333,16.5,0.0,0,0
6,8,41,6.8,0,12,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T20:25:00.000+00:00,10,22,L,401437774,2022 Regular Season,Ben Skowronek,2022,Regular Season,5,140.0,12.0,0.0,16.0,35.0,3.0,0.0,4.0,38.333333333333336,2.6666666666666665,0.0,3.3333333333333335,16.5,0.0,0,0
5,5,40,8.0,0,19,1,17,17.0,17,1,0,0,0,0,6,2022-10-16T20:05:00.000+00:00,24,10,W,401437786,2022 Regular Season,Ben Skowronek,2022,Regular Season,6,181.0,18.0,0.0,24.0,36.2,3.6,0.0,4.8,46.666666666666664,4.0,0.0,5.0,6.833333333333333,0.0,0,0
1,1,10,10.0,0,10,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T20:25:00.000+00:00,14,31,L,401437815,2022 Regular Season,Ben Skowronek,2022,Regular Season,7,221.0,23.0,0.0,29.0,36.833333333333336,3.8333333333333335,0.0,4.833333333333333,38.0,4.333333333333333,0.0,5.333333333333333,8.0,0.0,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T21:25:00.000+00:00,16,13,L,401437829,2022 Regular Season,Ben Skowronek,2022,Regular Season,8,231.0,24.0,0.0,30.0,33.0,3.4285714285714284,0.0,4.285714285714286,30.333333333333332,4.0,0.0,4.666666666666667,10.0,0.0,0,0
2,7,14,7.0,0,8,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T21:25:00.000+00:00,17,27,L,401437841,2022 Regular Season,Ben Skowronek,2022,Regular Season,9,231.0,24.0,0.0,32.0,28.875,3.0,0.0,4.0,16.666666666666668,2.0,0.0,2.6666666666666665,0.0,0.0,0,0
1,4,4,4.0,0,4,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,27,20,L,401437851,2022 Regular Season,Ben Skowronek,2022,Regular Season,10,245.0,26.0,0.0,39.0,27.22222222222222,2.888888888888889,0.0,4.333333333333333,8.0,1.0,0.0,3.3333333333333335,7.0,0.0,0,0
2,4,5,2.5,0,5,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T21:25:00.000+00:00,26,10,L,401437869,2022 Regular Season,Ben Skowronek,2022,Regular Season,11,249.0,27.0,0.0,43.0,24.9,2.7,0.0,4.3,6.0,1.0,0.0,4.333333333333333,4.0,0.0,0,0
2,3,30,15.0,0,22,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T21:05:00.000+00:00,23,27,L,401437882,2022 Regular Season,Ben Skowronek,2022,Regular Season,12,254.0,29.0,0.0,47.0,23.09090909090909,2.6363636363636362,0.0,4.2727272727272725,7.666666666666667,1.6666666666666667,0.0,5.0,2.5,0.0,0,0
7,8,89,12.7,0,32,0,0,0.0,0,0,0,0,0,0,14,2022-12-09T01:15:00.000+00:00,17,16,W,401437888,2022 Regular Season,Ben Skowronek,2022,Regular Season,13,284.0,31.0,0.0,50.0,23.666666666666668,2.5833333333333335,0.0,4.166666666666667,13.0,1.6666666666666667,0.0,3.6666666666666665,15.0,0.0,0,0
1,3,3,3.0,0,3,0,0,0.0,0,0,0,0,0,0,15,2022-12-20T01:15:00.000+00:00,24,12,L,401437916,2022 Regular Season,Ben Skowronek,2022,Regular Season,14,373.0,38.0,0.0,58.0,28.692307692307693,2.923076923076923,0.0,4.461538461538462,41.333333333333336,3.6666666666666665,0.0,5.0,12.714285714285714,0.0,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T20:25:00.000+00:00,13,30,W,401547408,2023 Regular Season,Ben Skowronek,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,1,10,10.0,0,10,1,11,11.0,11,0,0,0,0,0,2,2023-09-17T20:05:00.000+00:00,23,30,L,401547422,2023 Regular Season,Ben Skowronek,2023,Regular Season,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
1,1,3,3.0,0,3,0,0,0.0,0,0,0,0,0,0,3,2023-09-26T00:15:00.000+00:00,19,16,L,401547441,2023 Regular Season,Ben Skowronek,2023,Regular Season,3,10.0,1.0,0.0,3.0,5.0,0.5,0.0,1.5,5.0,0.5,0.0,1.5,10.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,23,29,W,401547449,2023 Regular Season,Ben Skowronek,2023,Regular Season,4,13.0,2.0,0.0,4.0,4.333333333333333,0.6666666666666666,0.0,1.3333333333333333,4.333333333333333,0.6666666666666666,0.0,1.3333333333333333,3.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T20:05:00.000+00:00,14,23,L,401547467,2023 Regular Season,Ben Skowronek,2023,Regular Season,5,13.0,2.0,0.0,4.0,3.25,0.5,0.0,1.0,4.333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T20:25:00.000+00:00,26,9,W,401547479,2023 Regular Season,Ben Skowronek,2023,Regular Season,6,13.0,2.0,0.0,5.0,2.6,0.4,0.0,1.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T20:05:00.000+00:00,17,24,L,401547492,2023 Regular Season,Ben Skowronek,2023,Regular Season,7,13.0,2.0,0.0,5.0,2.1666666666666665,0.3333333333333333,0.0,0.8333333333333334,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0
1,1,20,20.0,1,20,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,43,20,L,401547505,2023 Regular Season,Ben Skowronek,2023,Regular Season,8,13.0,2.0,0.0,5.0,1.8571428571428572,0.2857142857142857,0.0,0.7142857142857143,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,1
0,0,0,0.0,0,0,1,-2,-2.0,-2,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,20,3,L,401547519,2023 Regular Season,Ben Skowronek,2023,Regular Season,9,33.0,3.0,1.0,6.0,4.125,0.375,0.125,0.75,6.666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,20.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T21:25:00.000+00:00,17,16,W,401547544,2023 Regular Season,Ben Skowronek,2023,Regular Season,10,33.0,3.0,1.0,6.0,3.6666666666666665,0.3333333333333333,0.1111111111111111,0.6666666666666666,6.666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0,0
1,1,-1,-1.0,0,-1,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T21:05:00.000+00:00,14,37,W,401547562,2023 Regular Season,Ben Skowronek,2023,Regular Season,11,33.0,3.0,1.0,6.0,3.3,0.3,0.1,0.6,6.666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0,0
2,3,12,6.0,0,6,0,0,0.0,0,0,0,0,0,0,13,2023-12-03T21:25:00.000+00:00,36,19,W,401547575,2023 Regular Season,Ben Skowronek,2023,Regular Season,12,32.0,4.0,1.0,7.0,2.909090909090909,0.36363636363636365,0.09090909090909091,0.6363636363636364,-0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,-1.0,0.16666666666666666,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T18:00:00.000+00:00,37,31,L,401547585,2023 Regular Season,Ben Skowronek,2023,Regular Season,13,44.0,6.0,1.0,10.0,3.6666666666666665,0.5,0.08333333333333333,0.8333333333333334,3.6666666666666665,1.0,0.0,1.3333333333333333,6.0,0.14285714285714285,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,15,2023-12-17T21:05:00.000+00:00,28,20,W,401547597,2023 Regular Season,Ben Skowronek,2023,Regular Season,14,44.0,6.0,1.0,10.0,3.3846153846153846,0.46153846153846156,0.07692307692307693,0.7692307692307693,3.6666666666666665,1.0,0.0,1.3333333333333333,0.0,0.1,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,16,2023-12-22T01:15:00.000+00:00,30,22,W,401547609,2023 Regular Season,Ben Skowronek,2023,Regular Season,15,44.0,6.0,1.0,10.0,3.142857142857143,0.42857142857142855,0.07142857142857142,0.7142857142857143,4.0,0.6666666666666666,0.0,1.0,0.0,0.1,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,17,2023-12-31T18:00:00.000+00:00,25,26,W,401547632,2023 Regular Season,Ben Skowronek,2023,Regular Season,16,44.0,6.0,1.0,10.0,2.933333333333333,0.4,0.06666666666666667,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.1,0,0
2,2,22,11.0,0,17,0,0,0.0,0,0,0,0,0,0,18,2024-01-07T21:25:00.000+00:00,20,21,W,401547651,2023 Regular Season,Ben Skowronek,2023,Regular Season,17,44.0,6.0,1.0,10.0,2.75,0.375,0.0625,0.625,0.0,0.0,0.0,0.0,0.0,0.1,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T17:00:00.000+00:00,10,18,W,401671744,2024 Regular Season,Ben Skowronek,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T20:25:00.000+00:00,6,13,W,401671668,2024 Regular Season,Ben Skowronek,2024,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2024-11-10T18:00:00.000+00:00,27,28,W,401671641,2024 Regular Season,Ben Skowronek,2024,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,4,4.0,0,4,0,0,0.0,0,0,0,0,-,-,11,2024-11-17T18:00:00.000+00:00,18,16,W,401671630,2024 Regular Season,Ben Skowronek,2024,Regular Season,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2024-11-22T01:15:00.000+00:00,24,19,L,401671875,2024 Regular Season,Ben Skowronek,2024,Regular Season,5,4.0,1.0,0.0,1.0,1.0,0.25,0.0,0.25,1.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,4.0,0.0,0,0
1,1,23,23.0,0,23,0,0,0.0,0,0,0,0,-,-,13,2024-12-01T18:00:00.000+00:00,38,44,W,401671627,2024 Regular Season,Ben Skowronek,2024,Regular Season,6,4.0,1.0,0.0,1.0,0.8,0.2,0.0,0.2,1.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
