receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2023-11-23T17:30:00.000+00:00,22,29,W,401547552,2023 Regular Season,Bo Melton,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,2,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,15,2023-12-17T18:00:00.000+00:00,20,34,L,401547598,2023 Regular Season,Bo Melton,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,6,44,11.0,0,17,1,7,7.0,7,0,0,0,0,0,16,2023-12-24T18:00:00.000+00:00,30,33,W,401547617,2023 Regular Season,Bo Melton,2023,Regular Season,3,7.0,1.0,0.0,2.0,3.5,0.5,0.0,1.0,3.5,0.5,0.0,1.0,7.0,0.0,0,0
6,9,105,17.5,1,37,0,0,0.0,0,0,0,0,0,0,17,2024-01-01T01:20:00.000+00:00,10,33,W,401547637,2023 Regular Season,Bo Melton,2023,Regular Season,4,51.0,5.0,0.0,8.0,17.0,1.6666666666666667,0.0,2.6666666666666665,17.0,1.6666666666666667,0.0,2.6666666666666665,11.0,0.0,0,1
5,7,62,12.4,0,24,2,14,7.0,12,0,0,0,0,0,18,2024-01-07T21:25:00.000+00:00,17,9,W,401547643,2023 Regular Season,Bo Melton,2023,Regular Season,5,156.0,11.0,1.0,17.0,39.0,2.75,0.25,4.25,52.0,3.6666666666666665,0.3333333333333333,5.666666666666667,17.5,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2024-09-07T00:15:00.000+00:00,34,29,L,401671805,2024 Regular Season,Bo Melton,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,2,8,4.0,16,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,16,10,W,401671723,2024 Regular Season,Bo Melton,2024,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T17:00:00.000+00:00,14,30,W,401671823,2024 Regular Season,Bo Melton,2024,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,3,28,28.0,0,28,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T17:00:00.000+00:00,29,31,L,401671643,2024 Regular Season,Bo Melton,2024,Regular Season,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,2,12,12.0,0,12,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T20:25:00.000+00:00,19,24,W,401671679,2024 Regular Season,Bo Melton,2024,Regular Season,5,28.0,1.0,0.0,3.0,7.0,0.25,0.0,0.75,9.333333333333334,0.3333333333333333,0.0,1.0,28.0,0.0,0,0
1,2,6,6.0,0,6,2,27,13.5,16,0,0,0,0,0,6,2024-10-13T17:00:00.000+00:00,34,13,W,401671722,2024 Regular Season,Bo Melton,2024,Regular Season,6,40.0,2.0,0.0,5.0,8.0,0.4,0.0,1.0,13.333333333333334,0.6666666666666666,0.0,1.6666666666666667,12.0,0.0,0,0
1,1,8,8.0,0,8,1,-1,-1.0,-1,0,0,0,0,0,7,2024-10-20T17:00:00.000+00:00,24,22,W,401671644,2024 Regular Season,Bo Melton,2024,Regular Season,7,46.0,3.0,0.0,7.0,7.666666666666667,0.5,0.0,1.1666666666666667,15.333333333333334,1.0,0.0,2.3333333333333335,6.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T17:00:00.000+00:00,27,30,W,401671707,2024 Regular Season,Bo Melton,2024,Regular Season,8,54.0,4.0,0.0,8.0,7.714285714285714,0.5714285714285714,0.0,1.1428571428571428,8.666666666666666,1.0,0.0,1.6666666666666667,8.0,0.0,0,0
1,2,19,19.0,0,19,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T21:25:00.000+00:00,14,24,L,401671767,2024 Regular Season,Bo Melton,2024,Regular Season,9,54.0,4.0,0.0,9.0,6.75,0.5,0.0,1.125,4.666666666666667,0.6666666666666666,0.0,1.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2024-11-17T18:00:00.000+00:00,19,20,W,401671869,2024 Regular Season,Bo Melton,2024,Regular Season,10,73.0,5.0,0.0,11.0,8.11111111111111,0.5555555555555556,0.0,1.2222222222222223,9.0,0.6666666666666666,0.0,1.3333333333333333,19.0,0.0,0,0
0,1,0,0.0,0,0,1,5,5.0,5,0,0,0,-,-,12,2024-11-24T21:25:00.000+00:00,38,10,W,401671768,2024 Regular Season,Bo Melton,2024,Regular Season,11,73.0,5.0,0.0,11.0,7.3,0.5,0.0,1.1,6.333333333333333,0.3333333333333333,0.0,1.0,0.0,0.0,0,0
