receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
7,12,82,11.7,0,42,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,20,20,T,401437637,2022 Regular Season,Brandin Cooks,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
4,10,54,13.5,0,25,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T20:25:00.000+00:00,16,9,L,401437641,2022 Regular Season,Brandin Cooks,2022,Regular Season,2,82.0,7.0,0.0,12.0,82.0,7.0,0.0,12.0,82.0,7.0,0.0,12.0,11.714285714285714,0.0,0,0
2,7,22,11.0,0,17,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,23,20,L,401437737,2022 Regular Season,Brandin Cooks,2022,Regular Season,3,136.0,11.0,0.0,22.0,68.0,5.5,0.0,11.0,68.0,5.5,0.0,11.0,13.5,0.0,0,0
7,7,57,8.1,1,20,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,24,34,L,401437753,2022 Regular Season,Brandin Cooks,2022,Regular Season,4,158.0,13.0,0.0,29.0,52.666666666666664,4.333333333333333,0.0,9.666666666666666,52.666666666666664,4.333333333333333,0.0,9.666666666666666,11.0,0.0,0,1
4,6,20,5.0,0,7,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,6,13,W,401437765,2022 Regular Season,Brandin Cooks,2022,Regular Season,5,215.0,20.0,1.0,36.0,53.75,5.0,0.25,9.0,44.333333333333336,4.333333333333333,0.3333333333333333,8.0,8.142857142857142,0.0,0,0
4,5,46,11.5,0,24,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T20:05:00.000+00:00,38,20,L,401437800,2022 Regular Season,Brandin Cooks,2022,Regular Season,6,235.0,24.0,1.0,42.0,47.0,4.8,0.2,8.4,33.0,4.333333333333333,0.3333333333333333,6.666666666666667,5.0,0.027777777777777776,0,0
4,6,73,18.3,0,44,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T20:05:00.000+00:00,10,17,L,401437813,2022 Regular Season,Brandin Cooks,2022,Regular Season,7,281.0,28.0,1.0,47.0,46.833333333333336,4.666666666666667,0.16666666666666666,7.833333333333333,41.0,5.0,0.3333333333333333,6.0,11.5,0.023809523809523808,0,0
4,7,37,9.3,0,25,1,5,5.0,5,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,24,16,L,401437837,2022 Regular Season,Brandin Cooks,2022,Regular Season,8,354.0,32.0,1.0,53.0,50.57142857142857,4.571428571428571,0.14285714285714285,7.571428571428571,46.333333333333336,4.0,0.0,5.666666666666667,18.25,0.02127659574468085,0,0
3,6,70,23.3,0,41,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,10,23,L,401437848,2022 Regular Season,Brandin Cooks,2022,Regular Season,9,391.0,36.0,1.0,60.0,48.875,4.5,0.125,7.5,52.0,4.0,0.0,6.0,9.25,0.018867924528301886,0,0
5,5,59,11.8,0,39,1,2,2.0,2,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,30,15,L,401437863,2022 Regular Season,Brandin Cooks,2022,Regular Season,10,461.0,39.0,1.0,66.0,51.22222222222222,4.333333333333333,0.1111111111111111,7.333333333333333,60.0,3.6666666666666665,0.0,6.333333333333333,23.333333333333332,0.016666666666666666,0,0
