receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,1,10,10.0,0,10,1,3,3.0,3,0,0,0,0,0,1,2022-09-09T00:20:00.000+00:00,10,31,L,401437654,2022 Regular Season,Brandon Powell,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,1,6,6.0,0,6,1,-26,-26.0,-26,0,0,0,0,0,2,2022-09-18T20:05:00.000+00:00,31,27,W,401437733,2022 Regular Season,Brandon Powell,2022,Regular Season,2,10.0,1.0,0.0,1.0,10.0,1.0,0.0,1.0,10.0,1.0,0.0,1.0,10.0,0.0,0,0
3,3,27,9.0,0,16,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T20:25:00.000+00:00,12,20,W,401437744,2022 Regular Season,Brandon Powell,2022,Regular Season,3,16.0,2.0,0.0,2.0,8.0,1.0,0.0,1.0,8.0,1.0,0.0,1.0,6.0,0.0,0,0
0,0,0,0.0,0,0,1,11,11.0,11,0,0,0,0,0,4,2022-10-04T00:15:00.000+00:00,24,9,L,401437761,2022 Regular Season,Brandon Powell,2022,Regular Season,4,43.0,5.0,0.0,5.0,14.333333333333334,1.6666666666666667,0.0,1.6666666666666667,14.333333333333334,1.6666666666666667,0.0,1.6666666666666667,9.0,0.0,0,0
0,0,0,0.0,0,0,1,1,1.0,1,0,0,0,0,0,5,2022-10-09T20:25:00.000+00:00,10,22,L,401437774,2022 Regular Season,Brandon Powell,2022,Regular Season,5,43.0,5.0,0.0,5.0,10.75,1.25,0.0,1.25,11.0,1.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0,0
4,5,27,6.8,0,16,3,13,4.3,5,0,0,0,0,0,6,2022-10-16T20:05:00.000+00:00,24,10,W,401437786,2022 Regular Season,Brandon Powell,2022,Regular Season,6,43.0,5.0,0.0,5.0,8.6,1.0,0.0,1.0,9.0,1.0,0.0,1.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T20:25:00.000+00:00,14,31,L,401437815,2022 Regular Season,Brandon Powell,2022,Regular Season,7,70.0,9.0,0.0,10.0,11.666666666666666,1.5,0.0,1.6666666666666667,9.0,1.3333333333333333,0.0,1.6666666666666667,6.75,0.0,0,0
1,1,4,4.0,0,4,0,0,0.0,0,0,1,0,0,0,9,2022-11-06T21:25:00.000+00:00,16,13,L,401437829,2022 Regular Season,Brandon Powell,2022,Regular Season,8,70.0,9.0,0.0,10.0,10.0,1.2857142857142858,0.0,1.4285714285714286,9.0,1.3333333333333333,0.0,1.6666666666666667,0.0,0.0,0,0
0,1,0,0.0,0,0,1,7,7.0,7,0,0,0,0,0,10,2022-11-13T21:25:00.000+00:00,17,27,L,401437841,2022 Regular Season,Brandon Powell,2022,Regular Season,9,74.0,10.0,0.0,11.0,9.25,1.25,0.0,1.375,10.333333333333334,1.6666666666666667,0.0,2.0,4.0,0.0,0,0
2,2,16,8.0,0,8,1,-1,-1.0,-1,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,27,20,L,401437851,2022 Regular Season,Brandon Powell,2022,Regular Season,10,74.0,10.0,0.0,12.0,8.222222222222221,1.1111111111111112,0.0,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0,0
2,2,6,3.0,0,5,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T21:25:00.000+00:00,26,10,L,401437869,2022 Regular Season,Brandon Powell,2022,Regular Season,11,90.0,12.0,0.0,14.0,9.0,1.2,0.0,1.4,6.666666666666667,1.0,0.0,1.3333333333333333,8.0,0.0,0,0
