receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,21,31,W,401547404,2023 Regular Season,Brenton Strange,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,9,17,L,401547413,2023 Regular Season,Brenton Strange,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,2,7,3.5,0,4,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,17,37,L,401547435,2023 Regular Season,Brenton Strange,2023,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T13:30:00.000+00:00,23,7,W,401547227,2023 Regular Season,Brenton Strange,2023,Regular Season,4,7.0,2.0,0.0,2.0,2.3333333333333335,0.6666666666666666,0.0,0.6666666666666666,2.3333333333333335,0.6666666666666666,0.0,0.6666666666666666,3.5,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T13:30:00.000+00:00,20,25,W,401547228,2023 Regular Season,Brenton Strange,2023,Regular Season,5,7.0,2.0,0.0,2.0,1.75,0.5,0.0,0.5,2.3333333333333335,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0,0
2,3,27,13.5,1,17,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T17:00:00.000+00:00,37,20,W,401547472,2023 Regular Season,Brenton Strange,2023,Regular Season,6,7.0,2.0,0.0,3.0,1.4,0.4,0.0,0.6,2.3333333333333335,0.6666666666666666,0.0,1.0,0.0,0.0,0,1
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2023-10-20T00:15:00.000+00:00,24,31,W,401547483,2023 Regular Season,Brenton Strange,2023,Regular Season,7,34.0,4.0,1.0,6.0,5.666666666666667,0.6666666666666666,0.16666666666666666,1.0,9.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,13.5,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,10,20,W,401547499,2023 Regular Season,Brenton Strange,2023,Regular Season,8,34.0,4.0,1.0,6.0,4.857142857142857,0.5714285714285714,0.14285714285714285,0.8571428571428571,9.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.0,0.16666666666666666,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T18:00:00.000+00:00,3,34,L,401547532,2023 Regular Season,Brenton Strange,2023,Regular Season,9,34.0,4.0,1.0,6.0,4.25,0.5,0.125,0.75,9.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.16666666666666666,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T18:00:00.000+00:00,34,14,W,401547541,2023 Regular Season,Brenton Strange,2023,Regular Season,10,34.0,4.0,1.0,7.0,3.7777777777777777,0.4444444444444444,0.1111111111111111,0.7777777777777778,0.0,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T18:00:00.000+00:00,21,24,W,401547555,2023 Regular Season,Brenton Strange,2023,Regular Season,11,34.0,4.0,1.0,7.0,3.4,0.4,0.1,0.7,0.0,0.0,0.0,0.3333333333333333,0.0,0.14285714285714285,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,16,2023-12-24T21:05:00.000+00:00,30,12,L,401547615,2023 Regular Season,Brenton Strange,2023,Regular Season,12,34.0,4.0,1.0,7.0,3.090909090909091,0.36363636363636365,0.09090909090909091,0.6363636363636364,0.0,0.0,0.0,0.3333333333333333,0.0,0.14285714285714285,0,0
1,2,1,1.0,0,1,0,0,0.0,0,0,0,0,0,0,17,2023-12-31T18:00:00.000+00:00,26,0,W,401547629,2023 Regular Season,Brenton Strange,2023,Regular Season,13,34.0,4.0,1.0,7.0,2.8333333333333335,0.3333333333333333,0.08333333333333333,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,18,2024-01-07T18:00:00.000+00:00,28,20,L,401547652,2023 Regular Season,Brenton Strange,2023,Regular Season,14,35.0,5.0,1.0,9.0,2.6923076923076925,0.38461538461538464,0.07692307692307693,0.6923076923076923,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,1.0,0.14285714285714285,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T17:00:00.000+00:00,20,17,L,401671849,2024 Regular Season,Brenton Strange,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3,6,65,21.7,0,30,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,13,18,L,401671635,2024 Regular Season,Brenton Strange,2024,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,5,12,6.0,1,6,0,0,0.0,0,0,0,0,0,0,3,2024-09-23T23:30:00.000+00:00,47,10,L,401671682,2024 Regular Season,Brenton Strange,2024,Regular Season,3,65.0,3.0,0.0,6.0,32.5,1.5,0.0,3.0,32.5,1.5,0.0,3.0,21.666666666666668,0.0,0,1
3,3,19,6.3,0,11,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T17:00:00.000+00:00,24,20,L,401671857,2024 Regular Season,Brenton Strange,2024,Regular Season,4,77.0,5.0,1.0,11.0,25.666666666666668,1.6666666666666667,0.3333333333333333,3.6666666666666665,25.666666666666668,1.6666666666666667,0.3333333333333333,3.6666666666666665,6.0,0.0,0,0
4,4,24,6.0,1,12,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T17:00:00.000+00:00,37,34,W,401671633,2024 Regular Season,Brenton Strange,2024,Regular Season,5,96.0,8.0,1.0,14.0,24.0,2.0,0.25,3.5,32.0,2.6666666666666665,0.3333333333333333,4.666666666666667,6.333333333333333,0.09090909090909091,0,1
1,2,11,11.0,0,11,0,0,0.0,0,0,0,0,0,0,6,2024-10-13T13:30:00.000+00:00,35,16,L,401671802,2024 Regular Season,Brenton Strange,2024,Regular Season,6,120.0,12.0,2.0,18.0,24.0,2.4,0.4,3.6,18.333333333333332,3.0,0.6666666666666666,4.0,6.0,0.07142857142857142,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T13:30:00.000+00:00,32,16,W,401671801,2024 Regular Season,Brenton Strange,2024,Regular Season,7,131.0,13.0,2.0,20.0,21.833333333333332,2.1666666666666665,0.3333333333333333,3.3333333333333335,18.0,2.6666666666666665,0.3333333333333333,3.0,11.0,0.1111111111111111,0,0
5,5,59,11.8,0,21,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T17:00:00.000+00:00,27,30,L,401671707,2024 Regular Season,Brenton Strange,2024,Regular Season,8,131.0,13.0,2.0,20.0,18.714285714285715,1.8571428571428572,0.2857142857142857,2.857142857142857,11.666666666666666,1.6666666666666667,0.3333333333333333,2.0,0.0,0.1,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T21:05:00.000+00:00,28,23,L,401671797,2024 Regular Season,Brenton Strange,2024,Regular Season,9,190.0,18.0,2.0,25.0,23.75,2.25,0.25,3.125,23.333333333333332,2.0,0.0,2.3333333333333335,11.8,0.1,0,0
2,3,25,12.5,0,23,0,0,0.0,0,0,0,0,0,0,10,2024-11-10T18:00:00.000+00:00,7,12,L,401671708,2024 Regular Season,Brenton Strange,2024,Regular Season,10,190.0,18.0,2.0,25.0,21.11111111111111,2.0,0.2222222222222222,2.7777777777777777,19.666666666666668,1.6666666666666667,0.0,1.6666666666666667,0.0,0.08,0,0
1,1,6,6.0,0,6,0,0,0.0,0,0,0,0,-,-,11,2024-11-17T18:00:00.000+00:00,52,6,L,401671642,2024 Regular Season,Brenton Strange,2024,Regular Season,11,215.0,20.0,2.0,28.0,21.5,2.0,0.2,2.8,28.0,2.3333333333333335,0.0,2.6666666666666665,12.5,0.08,0,0
1,2,14,14.0,0,14,0,0,0.0,0,0,0,0,-,-,13,2024-12-01T18:00:00.000+00:00,20,23,L,401671705,2024 Regular Season,Brenton Strange,2024,Regular Season,12,221.0,21.0,2.0,29.0,20.09090909090909,1.9090909090909092,0.18181818181818182,2.6363636363636362,10.333333333333334,1.0,0.0,1.3333333333333333,6.0,0.07142857142857142,0,0
