receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T20:25:00.000+00:00,17,33,W,401671761,2024 Regular Season,Brevyn Spann-Ford,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,19,44,L,401671709,2024 Regular Season,Brevyn Spann-Ford,2024,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T20:25:00.000+00:00,25,28,L,401671763,2024 Regular Season,Brevyn Spann-Ford,2024,Regular Season,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2024-09-27T00:15:00.000+00:00,15,20,W,401671812,2024 Regular Season,Brevyn Spann-Ford,2024,Regular Season,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0
2,3,20,10.0,0,13,0,0,0.0,0,0,0,0,0,0,5,2024-10-07T01:45:00.000+00:00,17,20,W,401671784,2024 Regular Season,Brevyn Spann-Ford,2024,Regular Season,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2024-10-13T20:25:00.000+00:00,9,47,L,401671764,2024 Regular Season,Brevyn Spann-Ford,2024,Regular Season,6,20.0,2.0,0.0,4.0,4.0,0.4,0.0,0.8,6.666666666666667,0.6666666666666666,0.0,1.0,10.0,0.0,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2024-10-28T00:20:00.000+00:00,30,24,L,401671795,2024 Regular Season,Brevyn Spann-Ford,2024,Regular Season,7,20.0,2.0,0.0,4.0,3.3333333333333335,0.3333333333333333,0.0,0.6666666666666666,6.666666666666667,0.6666666666666666,0.0,1.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T18:00:00.000+00:00,27,21,L,401671728,2024 Regular Season,Brevyn Spann-Ford,2024,Regular Season,8,20.0,2.0,0.0,6.0,2.857142857142857,0.2857142857142857,0.0,0.8571428571428571,6.666666666666667,0.6666666666666666,0.0,1.6666666666666667,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2024-11-10T21:25:00.000+00:00,6,34,L,401671676,2024 Regular Season,Brevyn Spann-Ford,2024,Regular Season,9,20.0,2.0,0.0,6.0,2.5,0.25,0.0,0.75,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0,0
4,5,42,10.5,0,17,0,0,0.0,0,0,0,0,-,-,11,2024-11-19T01:15:00.000+00:00,10,34,L,401671694,2024 Regular Season,Brevyn Spann-Ford,2024,Regular Season,10,20.0,2.0,0.0,6.0,2.2222222222222223,0.2222222222222222,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0,0
2,2,24,12.0,0,18,0,0,0.0,0,0,0,0,-,-,12,2024-11-24T18:00:00.000+00:00,26,34,W,401671715,2024 Regular Season,Brevyn Spann-Ford,2024,Regular Season,11,62.0,6.0,0.0,11.0,6.2,0.6,0.0,1.1,14.0,1.3333333333333333,0.0,1.6666666666666667,10.5,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,13,2024-11-28T21:30:00.000+00:00,27,20,W,401671779,2024 Regular Season,Brevyn Spann-Ford,2024,Regular Season,12,86.0,8.0,0.0,13.0,7.818181818181818,0.7272727272727273,0.0,1.1818181818181819,22.0,2.0,0.0,2.3333333333333335,12.0,0.0,0,0
