receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
4,4,47,11.8,1,18,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T17:00:00.000+00:00,20,17,L,401671849,2024 Regular Season,Brian Thomas Jr.,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2,4,94,47.0,0,66,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,13,18,L,401671635,2024 Regular Season,Brian Thomas Jr.,2024,Regular Season,2,47.0,4.0,1.0,4.0,47.0,4.0,1.0,4.0,47.0,4.0,1.0,4.0,11.75,0.0,0,0
5,9,48,9.6,0,16,0,0,0.0,0,0,0,0,0,0,3,2024-09-23T23:30:00.000+00:00,47,10,L,401671682,2024 Regular Season,Brian Thomas Jr.,2024,Regular Season,3,141.0,6.0,1.0,8.0,70.5,3.0,0.5,4.0,70.5,3.0,0.5,4.0,47.0,0.25,0,0
6,9,86,14.3,1,32,1,13,13.0,13,0,0,0,0,0,4,2024-09-29T17:00:00.000+00:00,24,20,L,401671857,2024 Regular Season,Brian Thomas Jr.,2024,Regular Season,4,189.0,11.0,1.0,17.0,63.0,3.6666666666666665,0.3333333333333333,5.666666666666667,63.0,3.6666666666666665,0.3333333333333333,5.666666666666667,9.6,0.125,0,1
5,8,122,24.4,1,85,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T17:00:00.000+00:00,37,34,W,401671633,2024 Regular Season,Brian Thomas Jr.,2024,Regular Season,5,275.0,17.0,2.0,26.0,68.75,4.25,0.5,6.5,76.0,4.333333333333333,0.3333333333333333,7.333333333333333,14.333333333333334,0.058823529411764705,0,1
3,6,27,9.0,0,13,0,0,0.0,0,0,0,0,0,0,6,2024-10-13T13:30:00.000+00:00,35,16,L,401671802,2024 Regular Season,Brian Thomas Jr.,2024,Regular Season,6,397.0,22.0,3.0,34.0,79.4,4.4,0.6,6.8,85.33333333333333,5.333333333333333,0.6666666666666666,8.666666666666666,24.4,0.07692307692307693,0,0
5,5,89,17.8,1,58,2,2,1.0,1,0,0,0,0,0,7,2024-10-20T13:30:00.000+00:00,32,16,W,401671801,2024 Regular Season,Brian Thomas Jr.,2024,Regular Season,7,424.0,25.0,3.0,40.0,70.66666666666667,4.166666666666667,0.5,6.666666666666667,78.33333333333333,4.666666666666667,0.6666666666666666,7.666666666666667,9.0,0.08823529411764706,0,1
3,4,60,20.0,1,28,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T17:00:00.000+00:00,27,30,L,401671707,2024 Regular Season,Brian Thomas Jr.,2024,Regular Season,8,513.0,30.0,4.0,45.0,73.28571428571429,4.285714285714286,0.5714285714285714,6.428571428571429,79.33333333333333,4.333333333333333,0.6666666666666666,6.333333333333333,17.8,0.075,0,1
2,4,22,11.0,0,16,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T21:05:00.000+00:00,28,23,L,401671797,2024 Regular Season,Brian Thomas Jr.,2024,Regular Season,9,573.0,33.0,5.0,49.0,71.625,4.125,0.625,6.125,58.666666666666664,3.6666666666666665,0.6666666666666666,5.0,20.0,0.08888888888888889,0,0
2,3,12,6.0,0,10,0,0,0.0,0,0,0,0,0,0,10,2024-11-10T18:00:00.000+00:00,7,12,L,401671708,2024 Regular Season,Brian Thomas Jr.,2024,Regular Season,10,595.0,35.0,5.0,53.0,66.11111111111111,3.888888888888889,0.5555555555555556,5.888888888888889,57.0,3.3333333333333335,0.6666666666666666,4.333333333333333,11.0,0.10204081632653061,0,0
5,7,82,16.4,0,24,1,4,4.0,4,0,0,0,-,-,11,2024-11-17T18:00:00.000+00:00,52,6,L,401671642,2024 Regular Season,Brian Thomas Jr.,2024,Regular Season,11,607.0,37.0,5.0,56.0,60.7,3.7,0.5,5.6,31.333333333333332,2.3333333333333335,0.3333333333333333,3.6666666666666665,6.0,0.09433962264150944,0,0
4,10,76,19.0,1,56,1,11,11.0,11,0,0,0,-,-,13,2024-12-01T18:00:00.000+00:00,20,23,L,401671705,2024 Regular Season,Brian Thomas Jr.,2024,Regular Season,12,689.0,42.0,5.0,63.0,62.63636363636363,3.8181818181818183,0.45454545454545453,5.7272727272727275,38.666666666666664,3.0,0.0,4.666666666666667,16.4,0.08928571428571429,0,1
