receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
6,8,58,9.7,0,26,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T20:05:00.000+00:00,22,10,L,401671659,2024 Regular Season,Brock Bowers,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
9,9,98,10.9,0,27,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,23,26,W,401671624,2024 Regular Season,Brock Bowers,2024,Regular Season,2,58.0,6.0,0.0,8.0,58.0,6.0,0.0,8.0,58.0,6.0,0.0,8.0,9.666666666666666,0.0,0,0
3,4,41,13.7,0,21,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T20:05:00.000+00:00,22,36,L,401671658,2024 Regular Season,Brock Bowers,2024,Regular Season,3,156.0,15.0,0.0,17.0,78.0,7.5,0.0,8.5,78.0,7.5,0.0,8.5,10.88888888888889,0.0,0,0
2,3,19,9.5,0,13,1,12,12.0,12,0,0,0,0,0,4,2024-09-29T20:25:00.000+00:00,20,16,W,401671672,2024 Regular Season,Brock Bowers,2024,Regular Season,4,197.0,18.0,0.0,21.0,65.66666666666667,6.0,0.0,7.0,65.66666666666667,6.0,0.0,7.0,13.666666666666666,0.0,0,0
8,12,97,12.1,1,57,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T20:05:00.000+00:00,34,18,L,401671747,2024 Regular Season,Brock Bowers,2024,Regular Season,5,216.0,20.0,0.0,24.0,54.0,5.0,0.0,6.0,52.666666666666664,4.666666666666667,0.0,5.333333333333333,9.5,0.0,0,1
9,10,71,7.9,0,18,0,0,0.0,0,0,0,0,0,0,6,2024-10-13T20:05:00.000+00:00,13,32,L,401671657,2024 Regular Season,Brock Bowers,2024,Regular Season,6,313.0,28.0,1.0,36.0,62.6,5.6,0.2,7.2,52.333333333333336,4.333333333333333,0.3333333333333333,6.333333333333333,12.125,0.0,0,0
10,14,93,9.3,0,25,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T20:05:00.000+00:00,20,15,L,401671663,2024 Regular Season,Brock Bowers,2024,Regular Season,7,384.0,37.0,1.0,46.0,64.0,6.166666666666667,0.16666666666666666,7.666666666666667,62.333333333333336,6.333333333333333,0.3333333333333333,8.333333333333334,7.888888888888889,0.027777777777777776,0,0
5,5,58,11.6,0,19,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T20:25:00.000+00:00,20,27,L,401671671,2024 Regular Season,Brock Bowers,2024,Regular Season,8,477.0,47.0,1.0,60.0,68.14285714285714,6.714285714285714,0.14285714285714285,8.571428571428571,87.0,9.0,0.3333333333333333,12.0,9.3,0.021739130434782608,0,0
5,8,45,9.0,1,22,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T18:00:00.000+00:00,41,24,L,401671704,2024 Regular Season,Brock Bowers,2024,Regular Season,9,535.0,52.0,1.0,65.0,66.875,6.5,0.125,8.125,74.0,8.0,0.0,9.666666666666666,11.6,0.016666666666666666,0,1
13,16,126,9.7,1,23,1,-3,-3.0,-3,0,0,0,-,-,11,2024-11-17T18:00:00.000+00:00,34,19,L,401671851,2024 Regular Season,Brock Bowers,2024,Regular Season,10,580.0,57.0,2.0,73.0,64.44444444444444,6.333333333333333,0.2222222222222222,8.11111111111111,65.33333333333333,6.666666666666667,0.3333333333333333,9.0,9.0,0.015384615384615385,0,1
4,10,38,9.5,0,13,0,0,0.0,0,0,0,0,-,-,12,2024-11-24T21:05:00.000+00:00,19,29,L,401671656,2024 Regular Season,Brock Bowers,2024,Regular Season,11,706.0,70.0,3.0,89.0,70.6,7.0,0.3,8.9,76.33333333333333,7.666666666666667,0.6666666666666666,9.666666666666666,9.692307692307692,0.0273972602739726,0,0
10,14,140,14.0,1,33,1,2,2.0,2,0,0,0,-,-,13,2024-11-29T20:00:00.000+00:00,19,17,L,401671806,2024 Regular Season,Brock Bowers,2024,Regular Season,12,744.0,74.0,3.0,99.0,67.63636363636364,6.7272727272727275,0.2727272727272727,9.0,69.66666666666667,7.333333333333333,0.6666666666666666,11.333333333333334,9.5,0.033707865168539325,0,1
