receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,35,38,L,401437648,2022 Regular Season,Brock Wright,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,1,25,25.0,0,25,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,36,27,W,401437732,2022 Regular Season,Brock Wright,2022,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,28,24,L,401437739,2022 Regular Season,Brock Wright,2022,Regular Season,3,25.0,1.0,0.0,1.0,12.5,0.5,0.0,0.5,12.5,0.5,0.0,0.5,25.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,45,48,L,401437752,2022 Regular Season,Brock Wright,2022,Regular Season,4,25.0,1.0,0.0,1.0,8.333333333333334,0.3333333333333333,0.0,0.3333333333333333,8.333333333333334,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,29,0,L,401437767,2022 Regular Season,Brock Wright,2022,Regular Season,5,25.0,1.0,0.0,1.0,6.25,0.25,0.0,0.25,8.333333333333334,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
4,4,57,14.3,0,23,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,24,6,L,401437795,2022 Regular Season,Brock Wright,2022,Regular Season,6,25.0,1.0,0.0,1.0,5.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,27,31,L,401437808,2022 Regular Season,Brock Wright,2022,Regular Season,7,82.0,5.0,0.0,5.0,13.666666666666666,0.8333333333333334,0.0,0.8333333333333334,19.0,1.3333333333333333,0.0,1.3333333333333333,14.25,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,15,9,W,401437823,2022 Regular Season,Brock Wright,2022,Regular Season,8,88.0,6.0,0.0,6.0,12.571428571428571,0.8571428571428571,0.0,0.8571428571428571,21.0,1.6666666666666667,0.0,1.6666666666666667,6.0,0.0,0,0
1,1,2,2.0,1,2,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,30,31,W,401437834,2022 Regular Season,Brock Wright,2022,Regular Season,9,88.0,6.0,0.0,7.0,11.0,0.75,0.0,0.875,21.0,1.6666666666666667,0.0,2.0,0.0,0.0,0,1
2,2,20,10.0,0,16,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,18,31,W,401437852,2022 Regular Season,Brock Wright,2022,Regular Season,10,90.0,7.0,1.0,8.0,10.0,0.7777777777777778,0.1111111111111111,0.8888888888888888,2.6666666666666665,0.6666666666666666,0.3333333333333333,1.0,2.0,0.0,0,0
2,3,6,3.0,0,5,0,0,0.0,0,0,0,0,0,0,12,2022-11-24T17:30:00.000+00:00,25,28,L,401437857,2022 Regular Season,Brock Wright,2022,Regular Season,11,110.0,9.0,1.0,10.0,11.0,0.9,0.1,1.0,7.333333333333333,1.0,0.3333333333333333,1.3333333333333333,10.0,0.125,0,0
2,2,25,12.5,0,14,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,40,14,W,401437877,2022 Regular Season,Brock Wright,2022,Regular Season,12,116.0,11.0,1.0,13.0,10.545454545454545,1.0,0.09090909090909091,1.1818181818181819,9.333333333333334,1.6666666666666667,0.3333333333333333,2.0,3.0,0.1,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,34,23,W,401437892,2022 Regular Season,Brock Wright,2022,Regular Season,13,141.0,13.0,1.0,15.0,11.75,1.0833333333333333,0.08333333333333333,1.25,17.0,2.0,0.0,2.3333333333333335,12.5,0.07692307692307693,0,0
1,2,51,51.0,1,51,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T18:00:00.000+00:00,17,20,W,401437911,2022 Regular Season,Brock Wright,2022,Regular Season,14,141.0,13.0,1.0,16.0,10.846153846153847,1.0,0.07692307692307693,1.2307692307692308,10.333333333333334,1.3333333333333333,0.0,2.0,0.0,0.06666666666666667,0,1
1,1,11,11.0,0,11,0,0,0.0,0,0,0,0,0,0,16,2022-12-24T18:00:00.000+00:00,37,23,L,401437919,2022 Regular Season,Brock Wright,2022,Regular Season,15,192.0,14.0,2.0,18.0,13.714285714285714,1.0,0.14285714285714285,1.2857142857142858,25.333333333333332,1.0,0.3333333333333333,1.6666666666666667,51.0,0.0625,0,0
3,4,13,4.3,2,9,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,41,10,W,401437935,2022 Regular Season,Brock Wright,2022,Regular Season,16,203.0,15.0,2.0,19.0,13.533333333333333,1.0,0.13333333333333333,1.2666666666666666,20.666666666666668,0.6666666666666666,0.3333333333333333,1.3333333333333333,11.0,0.1111111111111111,0,1
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,18,2023-01-09T01:20:00.000+00:00,16,20,W,401437952,2022 Regular Season,Brock Wright,2022,Regular Season,17,216.0,18.0,4.0,23.0,13.5,1.125,0.25,1.4375,25.0,1.6666666666666667,1.0,2.3333333333333335,4.333333333333333,0.10526315789473684,0,0
2,2,17,8.5,0,9,0,0,0.0,0,0,0,0,0,0,1,2023-09-08T00:20:00.000+00:00,20,21,W,401547353,2023 Regular Season,Brock Wright,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,31,37,L,401547418,2023 Regular Season,Brock Wright,2023,Regular Season,2,17.0,2.0,0.0,2.0,17.0,2.0,0.0,2.0,17.0,2.0,0.0,2.0,8.5,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,20,6,W,401547433,2023 Regular Season,Brock Wright,2023,Regular Season,3,17.0,2.0,0.0,2.0,8.5,1.0,0.0,1.0,8.5,1.0,0.0,1.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2023-09-29T00:15:00.000+00:00,20,34,W,401547442,2023 Regular Season,Brock Wright,2023,Regular Season,4,17.0,2.0,0.0,2.0,5.666666666666667,0.6666666666666666,0.0,0.6666666666666666,5.666666666666667,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0,0
3,3,16,5.3,0,9,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,42,24,W,401547464,2023 Regular Season,Brock Wright,2023,Regular Season,5,17.0,2.0,0.0,2.0,4.25,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T20:25:00.000+00:00,6,20,W,401547478,2023 Regular Season,Brock Wright,2023,Regular Season,6,33.0,5.0,0.0,5.0,6.6,1.0,0.0,1.0,5.333333333333333,1.0,0.0,1.0,5.333333333333333,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T17:00:00.000+00:00,38,6,L,401547489,2023 Regular Season,Brock Wright,2023,Regular Season,7,40.0,6.0,0.0,6.0,6.666666666666667,1.0,0.0,1.0,7.666666666666667,1.3333333333333333,0.0,1.3333333333333333,7.0,0.0,0,0
1,1,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,8,2023-10-31T00:15:00.000+00:00,26,14,W,401547511,2023 Regular Season,Brock Wright,2023,Regular Season,8,40.0,6.0,0.0,6.0,5.714285714285714,0.8571428571428571,0.0,0.8571428571428571,7.666666666666667,1.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0,0
2,3,23,11.5,1,25,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T21:05:00.000+00:00,38,41,W,401547530,2023 Regular Season,Brock Wright,2023,Regular Season,9,45.0,7.0,0.0,7.0,5.625,0.875,0.0,0.875,4.0,0.6666666666666666,0.0,0.6666666666666666,5.0,0.0,0,1
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T18:00:00.000+00:00,31,26,W,401547546,2023 Regular Season,Brock Wright,2023,Regular Season,10,68.0,9.0,1.0,10.0,7.555555555555555,1.0,0.1111111111111111,1.1111111111111112,9.333333333333334,1.0,0.3333333333333333,1.3333333333333333,11.5,0.0,0,0
1,1,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,12,2023-11-23T17:30:00.000+00:00,22,29,L,401547552,2023 Regular Season,Brock Wright,2023,Regular Season,11,68.0,9.0,1.0,10.0,6.8,0.9,0.1,1.0,9.333333333333334,1.0,0.3333333333333333,1.3333333333333333,0.0,0.1,0,0
1,1,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,13,2023-12-03T18:00:00.000+00:00,28,33,W,401547572,2023 Regular Season,Brock Wright,2023,Regular Season,12,77.0,10.0,1.0,11.0,7.0,0.9090909090909091,0.09090909090909091,1.0,10.666666666666666,1.0,0.3333333333333333,1.3333333333333333,9.0,0.1,0,0
