receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,9,24,L,401437632,2022 Regular Season,C.J. Uzomah,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,1,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,12,27,L,401437740,2022 Regular Season,C.J. Uzomah,2022,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,20,24,W,401437757,2022 Regular Season,C.J. Uzomah,2022,Regular Season,3,5.0,1.0,0.0,1.0,2.5,0.5,0.0,0.5,2.5,0.5,0.0,0.5,5.0,0.0,0,0
2,2,12,6.0,0,9,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,40,17,W,401437769,2022 Regular Season,C.J. Uzomah,2022,Regular Season,4,5.0,1.0,0.0,1.0,1.6666666666666667,0.3333333333333333,0.0,0.3333333333333333,1.6666666666666667,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
2,2,17,8.5,0,14,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,10,27,W,401437780,2022 Regular Season,C.J. Uzomah,2022,Regular Season,5,17.0,3.0,0.0,3.0,4.25,0.75,0.0,0.75,5.666666666666667,1.0,0.0,1.0,6.0,0.0,0,0
1,2,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T20:05:00.000+00:00,9,16,W,401437799,2022 Regular Season,C.J. Uzomah,2022,Regular Season,6,34.0,5.0,0.0,5.0,6.8,1.0,0.0,1.0,9.666666666666666,1.3333333333333333,0.0,1.3333333333333333,8.5,0.0,0,0
1,1,27,27.0,0,27,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,17,22,L,401437811,2022 Regular Season,C.J. Uzomah,2022,Regular Season,7,39.0,6.0,0.0,7.0,6.5,1.0,0.0,1.1666666666666667,11.333333333333334,1.6666666666666667,0.0,2.0,5.0,0.0,0,0
3,3,16,5.3,0,6,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,20,17,W,401437826,2022 Regular Season,C.J. Uzomah,2022,Regular Season,8,66.0,7.0,0.0,8.0,9.428571428571429,1.0,0.0,1.1428571428571428,16.333333333333332,1.3333333333333333,0.0,1.6666666666666667,27.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,10,3,L,401437850,2022 Regular Season,C.J. Uzomah,2022,Regular Season,9,82.0,10.0,0.0,11.0,10.25,1.25,0.0,1.375,16.0,1.6666666666666667,0.0,2.0,5.333333333333333,0.0,0,0
3,3,17,5.7,0,8,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,31,10,W,401437864,2022 Regular Season,C.J. Uzomah,2022,Regular Season,10,82.0,10.0,0.0,11.0,9.11111111111111,1.1111111111111112,0.0,1.2222222222222223,14.333333333333334,1.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0,0
1,1,31,31.0,0,31,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,27,22,L,401437879,2022 Regular Season,C.J. Uzomah,2022,Regular Season,11,99.0,13.0,0.0,14.0,9.9,1.3,0.0,1.4,11.0,2.0,0.0,2.0,5.666666666666667,0.0,0,0
1,2,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,20,12,L,401437889,2022 Regular Season,C.J. Uzomah,2022,Regular Season,12,130.0,14.0,0.0,15.0,11.818181818181818,1.2727272727272727,0.0,1.3636363636363635,16.0,1.3333333333333333,0.0,1.3333333333333333,31.0,0.0,0,0
2,2,41,20.5,2,40,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T18:00:00.000+00:00,17,20,L,401437911,2022 Regular Season,C.J. Uzomah,2022,Regular Season,13,137.0,15.0,0.0,17.0,11.416666666666666,1.25,0.0,1.4166666666666667,18.333333333333332,1.6666666666666667,0.0,2.0,7.0,0.0,0,1
1,1,30,30.0,0,30,0,0,0.0,0,0,0,0,0,0,16,2022-12-23T01:15:00.000+00:00,3,19,L,401437917,2022 Regular Season,C.J. Uzomah,2022,Regular Season,14,178.0,17.0,2.0,19.0,13.692307692307692,1.3076923076923077,0.15384615384615385,1.4615384615384615,26.333333333333332,1.3333333333333333,0.6666666666666666,1.6666666666666667,20.5,0.0,0,0
3,7,24,8.0,0,12,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T21:05:00.000+00:00,23,6,L,401437944,2022 Regular Season,C.J. Uzomah,2022,Regular Season,15,208.0,18.0,2.0,20.0,14.857142857142858,1.2857142857142858,0.14285714285714285,1.4285714285714286,26.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,30.0,0.10526315789473684,0,0
