receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2022-09-12T00:20:00.000+00:00,3,19,W,401437644,2022 Regular Season,Cade Otton,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,2,4,4.0,0,4,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,10,20,W,401437652,2022 Regular Season,Cade Otton,2022,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,4,29,9.7,0,12,0,0,0.0,0,0,0,0,0,0,4,2022-10-03T00:20:00.000+00:00,31,41,L,401437470,2022 Regular Season,Cade Otton,2022,Regular Season,3,4.0,1.0,0.0,2.0,2.0,0.5,0.0,1.0,2.0,0.5,0.0,1.0,4.0,0.0,0,0
6,7,43,7.2,0,12,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,21,15,W,401437770,2022 Regular Season,Cade Otton,2022,Regular Season,4,33.0,4.0,0.0,6.0,11.0,1.3333333333333333,0.0,2.0,11.0,1.3333333333333333,0.0,2.0,9.666666666666666,0.0,0,0
2,3,23,11.5,0,17,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,20,18,L,401437785,2022 Regular Season,Cade Otton,2022,Regular Season,5,76.0,10.0,0.0,13.0,19.0,2.5,0.0,3.25,25.333333333333332,3.3333333333333335,0.0,4.333333333333333,7.166666666666667,0.0,0,0
4,5,64,16.0,0,35,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,21,3,L,401437793,2022 Regular Season,Cade Otton,2022,Regular Season,6,99.0,12.0,0.0,16.0,19.8,2.4,0.0,3.2,31.666666666666668,3.6666666666666665,0.0,4.666666666666667,11.5,0.0,0,0
2,5,15,7.5,0,10,0,0,0.0,0,0,0,0,0,0,8,2022-10-28T00:15:00.000+00:00,22,27,L,401437805,2022 Regular Season,Cade Otton,2022,Regular Season,7,163.0,16.0,0.0,21.0,27.166666666666668,2.6666666666666665,0.0,3.5,43.333333333333336,4.0,0.0,5.0,16.0,0.0,0,0
5,6,68,13.6,1,28,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T21:25:00.000+00:00,16,13,W,401437829,2022 Regular Season,Cade Otton,2022,Regular Season,8,178.0,18.0,0.0,26.0,25.428571428571427,2.5714285714285716,0.0,3.7142857142857144,34.0,2.6666666666666665,0.0,4.333333333333333,7.5,0.0,0,1
3,3,35,11.7,0,25,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T14:30:00.000+00:00,21,16,W,401435638,2022 Regular Season,Cade Otton,2022,Regular Season,9,246.0,23.0,1.0,32.0,30.75,2.875,0.125,4.0,49.0,3.6666666666666665,0.3333333333333333,5.333333333333333,13.6,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,23,17,L,401437861,2022 Regular Season,Cade Otton,2022,Regular Season,10,281.0,26.0,1.0,35.0,31.22222222222222,2.888888888888889,0.1111111111111111,3.888888888888889,39.333333333333336,3.3333333333333335,0.3333333333333333,4.666666666666667,11.666666666666666,0.03125,0,0
