receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T17:00:00.000+00:00,27,29,W,401671861,2024 Regular Season,Cade Stover,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,1,18,18.0,0,18,0,0,0.0,0,0,0,0,0,0,2,2024-09-16T00:20:00.000+00:00,19,13,W,401671786,2024 Regular Season,Cade Stover,2024,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T17:00:00.000+00:00,34,7,L,401671646,2024 Regular Season,Cade Stover,2024,Regular Season,3,18.0,1.0,0.0,1.0,9.0,0.5,0.0,0.5,9.0,0.5,0.0,0.5,18.0,0.0,0,0
1,1,27,27.0,0,27,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T17:00:00.000+00:00,24,20,W,401671857,2024 Regular Season,Cade Stover,2024,Regular Season,4,18.0,1.0,0.0,1.0,6.0,0.3333333333333333,0.0,0.3333333333333333,6.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
2,2,6,3.0,0,5,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T17:00:00.000+00:00,23,20,W,401671859,2024 Regular Season,Cade Stover,2024,Regular Season,5,45.0,2.0,0.0,2.0,11.25,0.5,0.0,0.5,15.0,0.6666666666666666,0.0,0.6666666666666666,27.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2024-10-13T17:00:00.000+00:00,21,41,W,401671619,2024 Regular Season,Cade Stover,2024,Regular Season,6,51.0,4.0,0.0,4.0,10.2,0.8,0.0,0.8,11.0,1.0,0.0,1.0,3.0,0.0,0,0
1,1,15,15.0,0,15,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T17:00:00.000+00:00,24,22,L,401671644,2024 Regular Season,Cade Stover,2024,Regular Season,7,51.0,4.0,0.0,5.0,8.5,0.6666666666666666,0.0,0.8333333333333334,11.0,1.0,0.0,1.3333333333333333,0.0,0.0,0,0
2,3,19,9.5,0,14,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T17:00:00.000+00:00,23,20,W,401671856,2024 Regular Season,Cade Stover,2024,Regular Season,8,66.0,5.0,0.0,6.0,9.428571428571429,0.7142857142857143,0.0,0.8571428571428571,7.0,1.0,0.0,1.3333333333333333,15.0,0.0,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2024-11-01T00:15:00.000+00:00,21,13,L,401671809,2024 Regular Season,Cade Stover,2024,Regular Season,9,85.0,7.0,0.0,9.0,10.625,0.875,0.0,1.125,11.333333333333334,1.0,0.0,1.6666666666666667,9.5,0.0,0,0
1,2,2,2.0,0,2,0,0,0.0,0,0,0,0,0,0,10,2024-11-11T01:20:00.000+00:00,23,26,L,401671787,2024 Regular Season,Cade Stover,2024,Regular Season,10,85.0,7.0,0.0,11.0,9.444444444444445,0.7777777777777778,0.0,1.2222222222222223,11.333333333333334,1.0,0.0,2.0,0.0,0.0,0,0
2,2,15,7.5,0,12,0,0,0.0,0,0,0,0,-,-,11,2024-11-19T01:15:00.000+00:00,10,34,W,401671694,2024 Regular Season,Cade Stover,2024,Regular Season,11,87.0,8.0,0.0,13.0,8.7,0.8,0.0,1.3,7.0,1.0,0.0,2.3333333333333335,2.0,0.0,0,0
3,4,26,8.7,1,19,0,0,0.0,0,0,0,0,0,0,12,2024-11-24T18:00:00.000+00:00,27,32,L,401671858,2024 Regular Season,Cade Stover,2024,Regular Season,12,102.0,10.0,0.0,15.0,9.272727272727273,0.9090909090909091,0.0,1.3636363636363635,5.666666666666667,1.0,0.0,2.0,7.5,0.0,0,1
1,1,4,4.0,0,4,0,0,0.0,0,0,0,0,0,0,13,2024-12-01T18:00:00.000+00:00,20,23,W,401671705,2024 Regular Season,Cade Stover,2024,Regular Season,13,128.0,13.0,1.0,19.0,10.666666666666666,1.0833333333333333,0.08333333333333333,1.5833333333333333,14.333333333333334,2.0,0.3333333333333333,2.6666666666666665,8.666666666666666,0.0,0,0
