receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
6,6,37,6.2,0,13,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,7,30,L,401547405,2023 Regular Season,Calvin Austin III,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,4,10,10.0,0,10,1,-2,-2.0,-2,0,0,0,0,0,2,2023-09-19T00:15:00.000+00:00,26,22,W,401547424,2023 Regular Season,Calvin Austin III,2023,Regular Season,2,37.0,6.0,0.0,6.0,37.0,6.0,0.0,6.0,37.0,6.0,0.0,6.0,6.166666666666667,0.0,0,0
2,6,72,36.0,1,72,0,0,0.0,0,0,0,0,0,0,3,2023-09-25T00:20:00.000+00:00,18,23,W,401547439,2023 Regular Season,Calvin Austin III,2023,Regular Season,3,47.0,7.0,0.0,10.0,23.5,3.5,0.0,5.0,23.5,3.5,0.0,5.0,10.0,0.0,0,1
3,5,24,8.0,0,12,1,5,5.0,5,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,30,6,L,401547446,2023 Regular Season,Calvin Austin III,2023,Regular Season,4,119.0,9.0,1.0,16.0,39.666666666666664,3.0,0.3333333333333333,5.333333333333333,39.666666666666664,3.0,0.3333333333333333,5.333333333333333,36.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,17,10,W,401547460,2023 Regular Season,Calvin Austin III,2023,Regular Season,5,143.0,12.0,1.0,21.0,35.75,3.0,0.25,5.25,35.333333333333336,2.0,0.3333333333333333,5.0,8.0,0.0625,0,0
0,0,0,0.0,0,0,1,1,1.0,1,0,0,0,0,0,7,2023-10-22T20:05:00.000+00:00,17,24,W,401547492,2023 Regular Season,Calvin Austin III,2023,Regular Season,6,143.0,12.0,1.0,22.0,28.6,2.4,0.2,4.4,32.0,1.6666666666666667,0.3333333333333333,4.0,0.0,0.047619047619047616,0,0
2,2,19,9.5,0,12,2,10,5.0,10,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,10,20,L,401547499,2023 Regular Season,Calvin Austin III,2023,Regular Season,7,143.0,12.0,1.0,22.0,23.833333333333332,2.0,0.16666666666666666,3.6666666666666665,8.0,1.0,0.0,2.0,0.0,0.045454545454545456,0,0
0,1,0,0.0,0,0,2,10,5.0,8,0,0,0,0,0,9,2023-11-03T00:15:00.000+00:00,20,16,W,401547512,2023 Regular Season,Calvin Austin III,2023,Regular Season,8,162.0,14.0,1.0,24.0,23.142857142857142,2.0,0.14285714285714285,3.4285714285714284,6.333333333333333,0.6666666666666666,0.0,1.0,9.5,0.045454545454545456,0,0
1,1,3,3.0,0,3,1,6,6.0,6,0,0,0,0,0,10,2023-11-12T18:00:00.000+00:00,23,19,W,401547527,2023 Regular Season,Calvin Austin III,2023,Regular Season,9,162.0,14.0,1.0,25.0,20.25,1.75,0.125,3.125,6.333333333333333,0.6666666666666666,0.0,1.0,0.0,0.041666666666666664,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T18:00:00.000+00:00,13,10,L,401547539,2023 Regular Season,Calvin Austin III,2023,Regular Season,10,165.0,15.0,1.0,26.0,18.333333333333332,1.6666666666666667,0.1111111111111111,2.888888888888889,7.333333333333333,1.0,0.0,1.3333333333333333,3.0,0.04,0,0
1,1,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T18:00:00.000+00:00,10,16,W,401547554,2023 Regular Season,Calvin Austin III,2023,Regular Season,11,165.0,15.0,1.0,26.0,16.5,1.5,0.1,2.6,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.038461538461538464,0,0
1,1,10,10.0,0,10,0,0,0.0,0,0,0,0,0,0,13,2023-12-03T18:00:00.000+00:00,10,24,L,401547568,2023 Regular Season,Calvin Austin III,2023,Regular Season,12,170.0,16.0,1.0,27.0,15.454545454545455,1.4545454545454546,0.09090909090909091,2.4545454545454546,2.6666666666666665,0.6666666666666666,0.0,0.6666666666666666,5.0,0.038461538461538464,0,0
0,0,0,0.0,0,0,1,12,12.0,12,0,1,0,0,0,14,2023-12-08T01:15:00.000+00:00,18,21,L,401547578,2023 Regular Season,Calvin Austin III,2023,Regular Season,13,180.0,17.0,1.0,28.0,15.0,1.4166666666666667,0.08333333333333333,2.3333333333333335,5.0,0.6666666666666666,0.0,0.6666666666666666,10.0,0.037037037037037035,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,15,2023-12-16T21:30:00.000+00:00,30,13,L,401547607,2023 Regular Season,Calvin Austin III,2023,Regular Season,14,180.0,17.0,1.0,28.0,13.846153846153847,1.3076923076923077,0.07692307692307693,2.1538461538461537,5.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.03571428571428571,0,0
0,2,0,0.0,0,0,1,7,7.0,7,1,0,0,0,0,16,2023-12-23T21:30:00.000+00:00,34,11,W,401547610,2023 Regular Season,Calvin Austin III,2023,Regular Season,15,180.0,17.0,1.0,28.0,12.857142857142858,1.2142857142857142,0.07142857142857142,2.0,3.3333333333333335,0.3333333333333333,0.0,0.3333333333333333,0.0,0.03571428571428571,0,0
