receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
8,11,101,12.6,1,29,0,0,0.0,0,0,1,0,0,0,1,2023-09-10T17:00:00.000+00:00,21,31,W,401547404,2023 Regular Season,Calvin Ridley,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2,8,32,16.0,0,26,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,9,17,L,401547413,2023 Regular Season,Calvin Ridley,2023,Regular Season,2,101.0,8.0,1.0,11.0,101.0,8.0,1.0,11.0,101.0,8.0,1.0,11.0,12.625,0.0,0,0
3,7,40,13.3,0,21,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,17,37,L,401547435,2023 Regular Season,Calvin Ridley,2023,Regular Season,3,133.0,10.0,1.0,19.0,66.5,5.0,0.5,9.5,66.5,5.0,0.5,9.5,16.0,0.09090909090909091,0,0
2,2,38,19.0,1,30,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T13:30:00.000+00:00,23,7,W,401547227,2023 Regular Season,Calvin Ridley,2023,Regular Season,4,173.0,13.0,1.0,26.0,57.666666666666664,4.333333333333333,0.3333333333333333,8.666666666666666,57.666666666666664,4.333333333333333,0.3333333333333333,8.666666666666666,13.333333333333334,0.05263157894736842,0,1
7,8,122,17.4,0,32,2,14,7.0,11,0,0,0,0,0,5,2023-10-08T13:30:00.000+00:00,20,25,W,401547228,2023 Regular Season,Calvin Ridley,2023,Regular Season,5,211.0,15.0,2.0,28.0,52.75,3.75,0.5,7.0,36.666666666666664,2.3333333333333335,0.3333333333333333,5.666666666666667,19.0,0.038461538461538464,0,0
4,8,30,7.5,0,10,1,-4,-4.0,-4,0,0,0,0,0,6,2023-10-15T17:00:00.000+00:00,37,20,W,401547472,2023 Regular Season,Calvin Ridley,2023,Regular Season,6,333.0,22.0,2.0,36.0,66.6,4.4,0.4,7.2,66.66666666666667,4.0,0.3333333333333333,5.666666666666667,17.428571428571427,0.07142857142857142,0,0
1,4,5,5.0,0,5,1,0,0.0,0,0,0,0,0,0,7,2023-10-20T00:15:00.000+00:00,24,31,W,401547483,2023 Regular Season,Calvin Ridley,2023,Regular Season,7,363.0,26.0,2.0,44.0,60.5,4.333333333333333,0.3333333333333333,7.333333333333333,63.333333333333336,4.333333333333333,0.3333333333333333,6.0,7.5,0.05555555555555555,0,0
6,10,83,13.8,0,27,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,10,20,W,401547499,2023 Regular Season,Calvin Ridley,2023,Regular Season,8,368.0,27.0,2.0,48.0,52.57142857142857,3.857142857142857,0.2857142857142857,6.857142857142857,52.333333333333336,4.0,0.0,6.666666666666667,5.0,0.045454545454545456,0,0
2,3,20,10.0,0,11,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T18:00:00.000+00:00,3,34,L,401547532,2023 Regular Season,Calvin Ridley,2023,Regular Season,9,451.0,33.0,2.0,58.0,56.375,4.125,0.25,7.25,39.333333333333336,3.6666666666666665,0.0,7.333333333333333,13.833333333333334,0.041666666666666664,0,0
7,9,103,14.7,2,34,1,18,18.0,18,0,0,0,0,0,11,2023-11-19T18:00:00.000+00:00,34,14,W,401547541,2023 Regular Season,Calvin Ridley,2023,Regular Season,10,471.0,35.0,2.0,61.0,52.333333333333336,3.888888888888889,0.2222222222222222,6.777777777777778,36.0,3.0,0.0,5.666666666666667,10.0,0.034482758620689655,0,1
5,6,89,17.8,1,45,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T18:00:00.000+00:00,21,24,W,401547555,2023 Regular Season,Calvin Ridley,2023,Regular Season,11,574.0,42.0,4.0,70.0,57.4,4.2,0.4,7.0,68.66666666666667,5.0,0.6666666666666666,7.333333333333333,14.714285714285714,0.03278688524590164,0,1
4,8,26,6.5,0,21,3,7,2.3,10,0,0,0,0,0,13,2023-12-05T01:15:00.000+00:00,31,34,L,401547577,2023 Regular Season,Calvin Ridley,2023,Regular Season,12,663.0,47.0,5.0,76.0,60.27272727272727,4.2727272727272725,0.45454545454545453,6.909090909090909,70.66666666666667,4.666666666666667,1.0,6.0,17.8,0.05714285714285714,0,0
4,13,53,13.3,0,16,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T18:00:00.000+00:00,31,27,L,401547581,2023 Regular Season,Calvin Ridley,2023,Regular Season,13,689.0,51.0,5.0,84.0,57.416666666666664,4.25,0.4166666666666667,7.0,72.66666666666667,5.333333333333333,1.0,7.666666666666667,6.5,0.06578947368421052,0,0
5,12,39,7.8,0,13,0,0,0.0,0,0,0,0,0,0,15,2023-12-18T01:20:00.000+00:00,7,23,L,401547602,2023 Regular Season,Calvin Ridley,2023,Regular Season,14,742.0,55.0,5.0,97.0,57.07692307692308,4.230769230769231,0.38461538461538464,7.461538461538462,56.0,4.333333333333333,0.3333333333333333,9.0,13.25,0.05952380952380952,0,0
6,9,90,15.0,2,25,1,-12,-12.0,-12,0,0,0,0,0,16,2023-12-24T21:05:00.000+00:00,30,12,L,401547615,2023 Regular Season,Calvin Ridley,2023,Regular Season,15,781.0,60.0,5.0,109.0,55.785714285714285,4.285714285714286,0.35714285714285715,7.785714285714286,39.333333333333336,4.333333333333333,0.0,11.0,7.8,0.05154639175257732,0,1
4,8,39,9.8,0,14,0,0,0.0,0,0,0,0,0,0,17,2023-12-31T18:00:00.000+00:00,26,0,W,401547629,2023 Regular Season,Calvin Ridley,2023,Regular Season,16,871.0,66.0,7.0,118.0,58.06666666666667,4.4,0.4666666666666667,7.866666666666666,60.666666666666664,5.0,0.6666666666666666,11.333333333333334,15.0,0.045871559633027525,0,0
6,10,106,17.7,1,59,0,0,0.0,0,0,0,0,0,0,18,2024-01-07T18:00:00.000+00:00,28,20,L,401547652,2023 Regular Season,Calvin Ridley,2023,Regular Season,17,910.0,70.0,7.0,126.0,56.875,4.375,0.4375,7.875,56.0,5.0,0.6666666666666666,9.666666666666666,9.75,0.059322033898305086,0,1
3,7,50,16.7,0,22,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T17:00:00.000+00:00,24,17,L,401671719,2024 Regular Season,Calvin Ridley,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
4,6,77,19.3,1,40,1,10,10.0,10,1,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,17,24,L,401671636,2024 Regular Season,Calvin Ridley,2024,Regular Season,2,50.0,3.0,0.0,7.0,50.0,3.0,0.0,7.0,50.0,3.0,0.0,7.0,16.666666666666668,0.0,0,1
1,3,9,9.0,0,9,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T17:00:00.000+00:00,14,30,L,401671823,2024 Regular Season,Calvin Ridley,2024,Regular Season,3,127.0,7.0,1.0,13.0,63.5,3.5,0.5,6.5,63.5,3.5,0.5,6.5,19.25,0.0,0,0
1,3,5,5.0,0,5,1,10,10.0,10,0,0,0,0,0,4,2024-09-30T23:30:00.000+00:00,12,31,W,401671683,2024 Regular Season,Calvin Ridley,2024,Regular Season,4,136.0,8.0,1.0,16.0,45.333333333333336,2.6666666666666665,0.3333333333333333,5.333333333333333,45.333333333333336,2.6666666666666665,0.3333333333333333,5.333333333333333,9.0,0.07692307692307693,0,0
0,8,0,0.0,0,0,1,9,9.0,9,0,0,0,0,0,6,2024-10-13T17:00:00.000+00:00,17,20,L,401671820,2024 Regular Season,Calvin Ridley,2024,Regular Season,5,141.0,9.0,1.0,19.0,35.25,2.25,0.25,4.75,30.333333333333332,2.0,0.3333333333333333,4.0,5.0,0.0625,0,0
