receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,24,3,W,401547397,2023 Regular Season,Cedric Tillman,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2023-09-19T00:15:00.000+00:00,26,22,L,401547424,2023 Regular Season,Cedric Tillman,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,27,3,W,401547428,2023 Regular Season,Cedric Tillman,2023,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,3,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,3,28,L,401547445,2023 Regular Season,Cedric Tillman,2023,Regular Season,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,3,3.0,0,3,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,27,0,W,401547514,2023 Regular Season,Cedric Tillman,2023,Regular Season,5,5.0,1.0,0.0,3.0,1.25,0.25,0.0,0.75,1.6666666666666667,0.3333333333333333,0.0,1.0,5.0,0.0,0,0
0,3,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T18:00:00.000+00:00,31,33,W,401547531,2023 Regular Season,Cedric Tillman,2023,Regular Season,6,8.0,2.0,0.0,4.0,1.6,0.4,0.0,0.8,2.6666666666666665,0.6666666666666666,0.0,1.3333333333333333,3.0,0.0,0,0
1,2,2,2.0,0,2,1,8,8.0,8,0,0,0,0,0,11,2023-11-19T18:00:00.000+00:00,13,10,W,401547539,2023 Regular Season,Cedric Tillman,2023,Regular Season,7,8.0,2.0,0.0,7.0,1.3333333333333333,0.3333333333333333,0.0,1.1666666666666667,2.6666666666666665,0.6666666666666666,0.0,2.3333333333333335,0.0,0.0,0,0
4,5,55,13.8,0,23,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T21:05:00.000+00:00,29,12,L,401547563,2023 Regular Season,Cedric Tillman,2023,Regular Season,8,10.0,3.0,0.0,9.0,1.4285714285714286,0.42857142857142855,0.0,1.2857142857142858,1.6666666666666667,0.6666666666666666,0.0,2.0,2.0,0.0,0,0
2,6,20,10.0,0,13,0,0,0.0,0,0,0,0,0,0,13,2023-12-03T21:25:00.000+00:00,36,19,L,401547575,2023 Regular Season,Cedric Tillman,2023,Regular Season,9,65.0,7.0,0.0,14.0,8.125,0.875,0.0,1.75,19.0,1.6666666666666667,0.0,3.3333333333333335,13.75,0.0,0,0
2,4,23,11.5,0,14,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T18:00:00.000+00:00,31,27,W,401547581,2023 Regular Season,Cedric Tillman,2023,Regular Season,10,85.0,9.0,0.0,20.0,9.444444444444445,1.0,0.0,2.2222222222222223,25.666666666666668,2.3333333333333335,0.0,4.333333333333333,10.0,0.0,0,0
