receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
2,2,20,10.0,0,12,1,8,8.0,8,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,20,7,W,401437630,2022 Regular Season,Cedrick Wilson Jr.,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,38,42,W,401437633,2022 Regular Season,Cedrick Wilson Jr.,2022,Regular Season,2,20.0,2.0,0.0,2.0,20.0,2.0,0.0,2.0,20.0,2.0,0.0,2.0,10.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,21,19,W,401437738,2022 Regular Season,Cedrick Wilson Jr.,2022,Regular Season,3,20.0,2.0,0.0,3.0,10.0,1.0,0.0,1.5,10.0,1.0,0.0,1.5,0.0,0.0,0,0
2,4,20,10.0,0,11,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,40,17,L,401437769,2022 Regular Season,Cedrick Wilson Jr.,2022,Regular Season,4,20.0,2.0,0.0,3.0,6.666666666666667,0.6666666666666666,0.0,1.0,6.666666666666667,0.6666666666666666,0.0,1.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,16,24,L,401437782,2022 Regular Season,Cedrick Wilson Jr.,2022,Regular Season,5,40.0,4.0,0.0,7.0,10.0,1.0,0.0,1.75,6.666666666666667,0.6666666666666666,0.0,1.6666666666666667,10.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2022-10-24T00:20:00.000+00:00,16,10,W,401437803,2022 Regular Season,Cedrick Wilson Jr.,2022,Regular Season,6,40.0,4.0,0.0,7.0,8.0,0.8,0.0,1.4,6.666666666666667,0.6666666666666666,0.0,1.3333333333333333,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,27,31,W,401437808,2022 Regular Season,Cedrick Wilson Jr.,2022,Regular Season,7,40.0,4.0,0.0,7.0,6.666666666666667,0.6666666666666666,0.0,1.1666666666666667,6.666666666666667,0.6666666666666666,0.0,1.3333333333333333,0.0,0.0,0,0
2,2,23,11.5,0,14,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,32,35,W,401437821,2022 Regular Season,Cedrick Wilson Jr.,2022,Regular Season,8,40.0,4.0,0.0,8.0,5.714285714285714,0.5714285714285714,0.0,1.1428571428571428,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0
1,1,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,39,17,W,401437836,2022 Regular Season,Cedrick Wilson Jr.,2022,Regular Season,9,63.0,6.0,0.0,10.0,7.875,0.75,0.0,1.25,7.666666666666667,0.6666666666666666,0.0,1.0,11.5,0.0,0,0
2,3,26,13.0,0,20,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,30,15,W,401437863,2022 Regular Season,Cedrick Wilson Jr.,2022,Regular Season,10,70.0,7.0,0.0,11.0,7.777777777777778,0.7777777777777778,0.0,1.2222222222222223,10.0,1.0,0.0,1.3333333333333333,7.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T21:05:00.000+00:00,33,17,L,401437883,2022 Regular Season,Cedrick Wilson Jr.,2022,Regular Season,11,96.0,9.0,0.0,14.0,9.6,0.9,0.0,1.4,18.666666666666668,1.6666666666666667,0.0,2.0,13.0,0.0,0,0
2,2,19,9.5,0,12,0,0,0.0,0,0,0,0,0,0,14,2022-12-12T01:20:00.000+00:00,23,17,L,401437896,2022 Regular Season,Cedrick Wilson Jr.,2022,Regular Season,12,96.0,9.0,0.0,14.0,8.727272727272727,0.8181818181818182,0.0,1.2727272727272727,11.0,1.0,0.0,1.3333333333333333,0.0,0.0,0,0
1,2,21,21.0,0,21,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T01:15:00.000+00:00,32,29,L,401437902,2022 Regular Season,Cedrick Wilson Jr.,2022,Regular Season,13,115.0,11.0,0.0,16.0,9.583333333333334,0.9166666666666666,0.0,1.3333333333333333,15.0,1.3333333333333333,0.0,1.6666666666666667,9.5,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,16,2022-12-25T18:00:00.000+00:00,20,26,L,401437929,2022 Regular Season,Cedrick Wilson Jr.,2022,Regular Season,14,136.0,12.0,0.0,18.0,10.461538461538462,0.9230769230769231,0.0,1.3846153846153846,13.333333333333334,1.0,0.0,1.3333333333333333,21.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,23,21,L,401437938,2022 Regular Season,Cedrick Wilson Jr.,2022,Regular Season,15,136.0,12.0,0.0,18.0,9.714285714285714,0.8571428571428571,0.0,1.2857142857142858,13.333333333333334,1.0,0.0,1.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,70,20,W,401547429,2023 Regular Season,Cedrick Wilson Jr.,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,2,16,16.0,0,16,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,48,20,L,401547443,2023 Regular Season,Cedrick Wilson Jr.,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,4,52,13.0,0,23,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,31,16,W,401547465,2023 Regular Season,Cedrick Wilson Jr.,2023,Regular Season,3,16.0,1.0,0.0,2.0,8.0,0.5,0.0,1.0,8.0,0.5,0.0,1.0,16.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T17:00:00.000+00:00,42,21,W,401547473,2023 Regular Season,Cedrick Wilson Jr.,2023,Regular Season,4,68.0,5.0,0.0,6.0,22.666666666666668,1.6666666666666667,0.0,2.0,22.666666666666668,1.6666666666666667,0.0,2.0,13.0,0.0,0,0
2,3,48,24.0,0,29,0,0,0.0,0,0,0,0,0,0,7,2023-10-23T00:20:00.000+00:00,31,17,L,401547494,2023 Regular Season,Cedrick Wilson Jr.,2023,Regular Season,5,68.0,5.0,0.0,6.0,17.0,1.25,0.0,1.5,22.666666666666668,1.6666666666666667,0.0,2.0,0.0,0.0,0,0
