receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
2,11,29,14.5,0,16,0,0,0.0,0,0,0,0,0,0,1,2022-09-12T00:20:00.000+00:00,3,19,L,401437644,2022 Regular Season,CeeDee Lamb,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
7,11,75,10.7,0,24,1,6,6.0,6,0,0,0,0,0,2,2022-09-18T20:25:00.000+00:00,20,17,W,401437734,2022 Regular Season,CeeDee Lamb,2022,Regular Season,2,29.0,2.0,0.0,11.0,29.0,2.0,0.0,11.0,29.0,2.0,0.0,11.0,14.5,0.0,0,0
8,12,87,10.9,1,26,0,0,0.0,0,0,0,0,0,0,3,2022-09-27T00:15:00.000+00:00,16,23,W,401437747,2022 Regular Season,CeeDee Lamb,2022,Regular Season,3,104.0,9.0,0.0,22.0,52.0,4.5,0.0,11.0,52.0,4.5,0.0,11.0,10.714285714285714,0.0,0,1
6,8,97,16.2,1,30,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,25,10,W,401437751,2022 Regular Season,CeeDee Lamb,2022,Regular Season,4,191.0,17.0,1.0,34.0,63.666666666666664,5.666666666666667,0.3333333333333333,11.333333333333334,63.666666666666664,5.666666666666667,0.3333333333333333,11.333333333333334,10.875,0.0,0,1
5,8,53,10.6,0,16,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T20:25:00.000+00:00,10,22,W,401437774,2022 Regular Season,CeeDee Lamb,2022,Regular Season,5,288.0,23.0,2.0,42.0,72.0,5.75,0.5,10.5,86.33333333333333,7.0,0.6666666666666666,10.333333333333334,16.166666666666668,0.029411764705882353,0,0
5,10,68,13.6,0,24,2,9,4.5,8,0,0,0,0,0,6,2022-10-17T00:20:00.000+00:00,26,17,L,401437789,2022 Regular Season,CeeDee Lamb,2022,Regular Season,6,341.0,28.0,2.0,50.0,68.2,5.6,0.4,10.0,79.0,6.333333333333333,0.6666666666666666,9.333333333333334,10.6,0.047619047619047616,0,0
4,6,70,17.5,0,24,1,-4,-4.0,-4,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,24,6,W,401437795,2022 Regular Season,CeeDee Lamb,2022,Regular Season,7,409.0,33.0,2.0,60.0,68.16666666666667,5.5,0.3333333333333333,10.0,72.66666666666667,5.333333333333333,0.3333333333333333,8.666666666666666,13.6,0.04,0,0
5,7,77,15.4,1,22,1,1,1.0,1,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,49,29,W,401437807,2022 Regular Season,CeeDee Lamb,2022,Regular Season,8,479.0,37.0,2.0,66.0,68.42857142857143,5.285714285714286,0.2857142857142857,9.428571428571429,63.666666666666664,4.666666666666667,0.0,8.0,17.5,0.03333333333333333,0,1
11,15,150,13.6,2,35,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T21:25:00.000+00:00,31,28,L,401437131,2022 Regular Season,CeeDee Lamb,2022,Regular Season,9,556.0,42.0,3.0,73.0,69.5,5.25,0.375,9.125,71.66666666666667,4.666666666666667,0.3333333333333333,7.666666666666667,15.4,0.030303030303030304,0,1
5,5,45,9.0,0,27,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T21:25:00.000+00:00,3,40,W,401437855,2022 Regular Season,CeeDee Lamb,2022,Regular Season,10,706.0,53.0,5.0,88.0,78.44444444444444,5.888888888888889,0.5555555555555556,9.777777777777779,99.0,6.666666666666667,1.0,9.333333333333334,13.636363636363637,0.0410958904109589,0,0
6,11,106,17.7,0,25,2,11,5.5,12,0,0,0,0,0,12,2022-11-24T21:30:00.000+00:00,28,20,W,401437858,2022 Regular Season,CeeDee Lamb,2022,Regular Season,11,751.0,58.0,5.0,93.0,75.1,5.8,0.5,9.3,90.66666666666667,7.0,1.0,9.0,9.0,0.056818181818181816,0,0
5,7,71,14.2,1,22,2,23,11.5,14,0,0,0,0,0,13,2022-12-05T01:20:00.000+00:00,54,19,W,401437886,2022 Regular Season,CeeDee Lamb,2022,Regular Season,12,857.0,64.0,5.0,104.0,77.9090909090909,5.818181818181818,0.45454545454545453,9.454545454545455,100.33333333333333,7.333333333333333,0.6666666666666666,10.333333333333334,17.666666666666668,0.053763440860215055,0,1
5,6,33,6.6,0,13,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,27,23,W,401437891,2022 Regular Season,CeeDee Lamb,2022,Regular Season,13,928.0,69.0,6.0,111.0,77.33333333333333,5.75,0.5,9.25,74.0,5.333333333333333,0.3333333333333333,7.666666666666667,14.2,0.04807692307692308,0,0
