receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,24,3,L,401547397,2023 Regular Season,Charlie Jones,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,24,27,L,401547412,2023 Regular Season,Charlie Jones,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,2,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,3,2023-09-26T00:15:00.000+00:00,19,16,W,401547441,2023 Regular Season,Charlie Jones,2023,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2023-11-17T01:15:00.000+00:00,34,20,L,401547538,2023 Regular Season,Charlie Jones,2023,Regular Season,4,6.0,1.0,0.0,2.0,2.0,0.3333333333333333,0.0,0.6666666666666666,2.0,0.3333333333333333,0.0,0.6666666666666666,6.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T18:00:00.000+00:00,10,16,L,401547554,2023 Regular Season,Charlie Jones,2023,Regular Season,5,6.0,1.0,0.0,2.0,1.5,0.25,0.0,0.5,2.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,13,2023-12-05T01:15:00.000+00:00,31,34,W,401547577,2023 Regular Season,Charlie Jones,2023,Regular Season,6,6.0,1.0,0.0,2.0,1.2,0.2,0.0,0.4,2.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T18:00:00.000+00:00,34,14,W,401547580,2023 Regular Season,Charlie Jones,2023,Regular Season,7,6.0,1.0,0.0,2.0,1.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,3,10,5.0,0,7,0,0,0.0,0,0,0,0,0,0,15,2023-12-16T18:00:00.000+00:00,27,24,W,401547604,2023 Regular Season,Charlie Jones,2023,Regular Season,8,6.0,1.0,0.0,2.0,0.8571428571428571,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,-1,-1.0,0,-1,0,0,0.0,0,0,0,0,0,0,16,2023-12-23T21:30:00.000+00:00,34,11,L,401547610,2023 Regular Season,Charlie Jones,2023,Regular Season,9,16.0,3.0,0.0,5.0,2.0,0.375,0.0,0.625,3.3333333333333335,0.6666666666666666,0.0,1.0,5.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,17,2023-12-31T21:25:00.000+00:00,25,17,L,401547235,2023 Regular Season,Charlie Jones,2023,Regular Season,10,15.0,4.0,0.0,6.0,1.6666666666666667,0.4444444444444444,0.0,0.6666666666666666,3.0,1.0,0.0,1.3333333333333333,-1.0,0.0,0,0
3,3,49,16.3,0,35,2,13,6.5,7,0,0,0,0,0,18,2024-01-07T18:00:00.000+00:00,31,14,W,401547641,2023 Regular Season,Charlie Jones,2023,Regular Season,11,15.0,4.0,0.0,6.0,1.5,0.4,0.0,0.6,3.0,1.0,0.0,1.3333333333333333,0.0,0.0,0,0
1,1,5,5.0,0,5,0,0,0.0,0,0,1,1,0,0,1,2024-09-08T17:00:00.000+00:00,10,16,L,401671628,2024 Regular Season,Charlie Jones,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T20:25:00.000+00:00,26,25,L,401671670,2024 Regular Season,Charlie Jones,2024,Regular Season,2,5.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,5.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2024-09-24T00:15:00.000+00:00,33,38,L,401671490,2024 Regular Season,Charlie Jones,2024,Regular Season,3,5.0,1.0,0.0,1.0,2.5,0.5,0.0,0.5,2.5,0.5,0.0,0.5,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T17:00:00.000+00:00,24,34,W,401671745,2024 Regular Season,Charlie Jones,2024,Regular Season,4,5.0,1.0,0.0,1.0,1.6666666666666667,0.3333333333333333,0.0,0.3333333333333333,1.6666666666666667,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T17:00:00.000+00:00,38,41,L,401671626,2024 Regular Season,Charlie Jones,2024,Regular Season,5,5.0,1.0,0.0,1.0,1.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2024-10-14T00:20:00.000+00:00,7,17,W,401671791,2024 Regular Season,Charlie Jones,2024,Regular Season,6,5.0,1.0,0.0,1.0,1.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T17:00:00.000+00:00,14,21,W,401671853,2024 Regular Season,Charlie Jones,2024,Regular Season,7,5.0,1.0,0.0,1.0,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,1,0,0,0,8,2024-10-27T17:00:00.000+00:00,17,37,L,401671667,2024 Regular Season,Charlie Jones,2024,Regular Season,8,5.0,1.0,0.0,1.0,0.7142857142857143,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0,0
