receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,1,11,11.0,0,11,1,-4,-4.0,-4,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,20,21,L,401437640,2022 Regular Season,Chig Okonkwo,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2022-09-19T23:15:00.000+00:00,41,7,L,401436831,2022 Regular Season,Chig Okonkwo,2022,Regular Season,2,11.0,1.0,0.0,1.0,11.0,1.0,0.0,1.0,11.0,1.0,0.0,1.0,11.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,24,22,W,401437741,2022 Regular Season,Chig Okonkwo,2022,Regular Season,3,11.0,1.0,0.0,1.0,5.5,0.5,0.0,0.5,5.5,0.5,0.0,0.5,0.0,0.0,0,0
3,3,38,12.7,1,23,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,17,24,W,401437754,2022 Regular Season,Chig Okonkwo,2022,Regular Season,4,11.0,1.0,0.0,1.0,3.6666666666666665,0.3333333333333333,0.0,0.3333333333333333,3.6666666666666665,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,1
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,17,21,W,401437771,2022 Regular Season,Chig Okonkwo,2022,Regular Season,5,49.0,4.0,1.0,4.0,12.25,1.0,0.25,1.0,12.666666666666666,1.0,0.3333333333333333,1.0,12.666666666666666,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,19,10,W,401437797,2022 Regular Season,Chig Okonkwo,2022,Regular Season,6,49.0,4.0,1.0,5.0,9.8,0.8,0.2,1.0,12.666666666666666,1.0,0.3333333333333333,1.3333333333333333,0.0,0.25,0,0
1,2,3,3.0,0,3,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T20:05:00.000+00:00,10,17,W,401437813,2022 Regular Season,Chig Okonkwo,2022,Regular Season,7,49.0,4.0,1.0,6.0,8.166666666666666,0.6666666666666666,0.16666666666666666,1.0,12.666666666666666,1.0,0.3333333333333333,1.6666666666666667,0.0,0.2,0,0
1,3,48,48.0,0,48,0,0,0.0,0,0,0,0,0,0,9,2022-11-07T01:20:00.000+00:00,20,17,L,401437830,2022 Regular Season,Chig Okonkwo,2022,Regular Season,8,52.0,5.0,1.0,8.0,7.428571428571429,0.7142857142857143,0.14285714285714285,1.1428571428571428,1.0,0.3333333333333333,0.0,1.3333333333333333,3.0,0.16666666666666666,0,0
1,2,41,41.0,0,41,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,17,10,W,401437839,2022 Regular Season,Chig Okonkwo,2022,Regular Season,9,100.0,6.0,1.0,11.0,12.5,0.75,0.125,1.375,17.0,0.6666666666666666,0.0,2.0,48.0,0.125,0,0
1,2,31,31.0,0,31,0,0,0.0,0,0,0,0,0,0,11,2022-11-18T01:15:00.000+00:00,17,27,W,401437844,2022 Regular Season,Chig Okonkwo,2022,Regular Season,10,141.0,7.0,1.0,13.0,15.666666666666666,0.7777777777777778,0.1111111111111111,1.4444444444444444,30.666666666666668,1.0,0.0,2.3333333333333335,41.0,0.09090909090909091,0,0
3,5,35,11.7,0,17,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,16,20,L,401437865,2022 Regular Season,Chig Okonkwo,2022,Regular Season,11,172.0,8.0,1.0,15.0,17.2,0.8,0.1,1.5,40.0,1.0,0.0,2.3333333333333335,31.0,0.07692307692307693,0,0
4,5,68,17.0,0,41,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,35,10,L,401437881,2022 Regular Season,Chig Okonkwo,2022,Regular Season,12,207.0,11.0,1.0,20.0,18.818181818181817,1.0,0.09090909090909091,1.8181818181818181,35.666666666666664,1.6666666666666667,0.0,3.0,11.666666666666666,0.06666666666666667,0,0
6,6,45,7.5,1,15,1,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,22,36,L,401437895,2022 Regular Season,Chig Okonkwo,2022,Regular Season,13,275.0,15.0,1.0,25.0,22.916666666666668,1.25,0.08333333333333333,2.0833333333333335,44.666666666666664,2.6666666666666665,0.0,4.0,17.0,0.05,0,1
4,5,54,13.5,0,28,1,6,6.0,6,0,0,0,0,0,15,2022-12-18T21:25:00.000+00:00,17,14,L,401437913,2022 Regular Season,Chig Okonkwo,2022,Regular Season,14,320.0,21.0,2.0,31.0,24.615384615384617,1.6153846153846154,0.15384615384615385,2.3846153846153846,49.333333333333336,4.333333333333333,0.3333333333333333,5.333333333333333,7.5,0.04,0,0
1,2,10,10.0,0,10,0,0,0.0,0,0,0,0,0,0,16,2022-12-24T19:00:00.000+00:00,14,19,L,401437925,2022 Regular Season,Chig Okonkwo,2022,Regular Season,15,374.0,25.0,2.0,36.0,26.714285714285715,1.7857142857142858,0.14285714285714285,2.5714285714285716,55.666666666666664,4.666666666666667,0.3333333333333333,5.333333333333333,13.5,0.06451612903225806,0,0
3,4,24,8.0,0,12,0,0,0.0,0,0,0,0,0,0,17,2022-12-30T01:15:00.000+00:00,13,27,L,401437932,2022 Regular Season,Chig Okonkwo,2022,Regular Season,16,384.0,26.0,2.0,38.0,25.6,1.7333333333333334,0.13333333333333333,2.533333333333333,36.333333333333336,3.6666666666666665,0.3333333333333333,4.333333333333333,10.0,0.05555555555555555,0,0
3,4,42,14.0,1,21,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T01:15:00.000+00:00,20,16,L,401437954,2022 Regular Season,Chig Okonkwo,2022,Regular Season,17,408.0,29.0,2.0,42.0,25.5,1.8125,0.125,2.625,29.333333333333332,2.6666666666666665,0.0,3.6666666666666665,8.0,0.05263157894736842,0,1
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,16,15,L,401547399,2023 Regular Season,Chig Okonkwo,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
4,4,35,8.8,0,20,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,27,24,W,401547414,2023 Regular Season,Chig Okonkwo,2023,Regular Season,2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0
3,4,7,2.3,0,6,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,27,3,L,401547428,2023 Regular Season,Chig Okonkwo,2023,Regular Season,3,35.0,4.0,0.0,6.0,17.5,2.0,0.0,3.0,17.5,2.0,0.0,3.0,8.75,0.0,0,0
3,3,29,9.7,0,13,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,27,3,W,401547452,2023 Regular Season,Chig Okonkwo,2023,Regular Season,4,42.0,7.0,0.0,10.0,14.0,2.3333333333333335,0.0,3.3333333333333335,14.0,2.3333333333333335,0.0,3.3333333333333335,2.3333333333333335,0.0,0,0
5,9,33,6.6,0,11,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,23,16,L,401547458,2023 Regular Season,Chig Okonkwo,2023,Regular Season,5,71.0,10.0,0.0,13.0,17.75,2.5,0.0,3.25,23.666666666666668,3.3333333333333335,0.0,3.6666666666666665,9.666666666666666,0.0,0,0
2,4,18,9.0,0,11,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T13:30:00.000+00:00,16,24,L,401547229,2023 Regular Season,Chig Okonkwo,2023,Regular Season,6,104.0,15.0,0.0,22.0,20.8,3.0,0.0,4.4,23.0,3.6666666666666665,0.0,5.333333333333333,6.6,0.0,0,0
4,5,23,5.8,0,12,1,4,4.0,4,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,28,23,W,401547500,2023 Regular Season,Chig Okonkwo,2023,Regular Season,7,122.0,17.0,0.0,26.0,20.333333333333332,2.8333333333333335,0.0,4.333333333333333,26.666666666666668,3.3333333333333335,0.0,5.333333333333333,9.0,0.0,0,0
3,4,28,9.3,0,12,0,0,0.0,0,0,0,0,0,0,9,2023-11-03T00:15:00.000+00:00,20,16,L,401547512,2023 Regular Season,Chig Okonkwo,2023,Regular Season,8,145.0,21.0,0.0,31.0,20.714285714285715,3.0,0.0,4.428571428571429,24.666666666666668,3.6666666666666665,0.0,6.0,5.75,0.0,0,0
3,6,27,9.0,0,15,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T18:00:00.000+00:00,20,6,L,401547528,2023 Regular Season,Chig Okonkwo,2023,Regular Season,9,173.0,24.0,0.0,35.0,21.625,3.0,0.0,4.375,23.0,3.0,0.0,4.333333333333333,9.333333333333334,0.0,0,0
1,2,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T18:00:00.000+00:00,34,14,L,401547541,2023 Regular Season,Chig Okonkwo,2023,Regular Season,10,200.0,27.0,0.0,41.0,22.22222222222222,3.0,0.0,4.555555555555555,26.0,3.3333333333333335,0.0,5.0,9.0,0.0,0,0
4,5,45,11.3,0,25,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T18:00:00.000+00:00,17,10,W,401547561,2023 Regular Season,Chig Okonkwo,2023,Regular Season,11,206.0,28.0,0.0,43.0,20.6,2.8,0.0,4.3,20.333333333333332,2.3333333333333335,0.0,4.0,6.0,0.0,0,0
3,6,62,20.7,0,39,1,2,2.0,2,0,0,0,0,0,13,2023-12-03T18:00:00.000+00:00,28,31,L,401547570,2023 Regular Season,Chig Okonkwo,2023,Regular Season,12,251.0,32.0,0.0,48.0,22.818181818181817,2.909090909090909,0.0,4.363636363636363,26.0,2.6666666666666665,0.0,4.333333333333333,11.25,0.0,0,0
5,6,46,9.2,0,16,0,0,0.0,0,0,0,0,0,0,14,2023-12-12T01:15:00.000+00:00,27,28,W,401547592,2023 Regular Season,Chig Okonkwo,2023,Regular Season,13,313.0,35.0,0.0,54.0,26.083333333333332,2.9166666666666665,0.0,4.5,37.666666666666664,2.6666666666666665,0.0,4.333333333333333,20.666666666666668,0.0,0,0
3,3,36,12.0,0,22,0,0,0.0,0,0,0,0,0,0,15,2023-12-17T18:00:00.000+00:00,16,19,L,401547595,2023 Regular Season,Chig Okonkwo,2023,Regular Season,14,359.0,40.0,0.0,60.0,27.615384615384617,3.076923076923077,0.0,4.615384615384615,51.0,4.0,0.0,5.666666666666667,9.2,0.0,0,0
6,7,63,10.5,1,17,0,0,0.0,0,0,0,0,0,0,16,2023-12-24T18:00:00.000+00:00,17,20,L,401547614,2023 Regular Season,Chig Okonkwo,2023,Regular Season,15,395.0,43.0,0.0,63.0,28.214285714285715,3.0714285714285716,0.0,4.5,48.0,3.6666666666666665,0.0,5.0,12.0,0.0,0,1
3,4,34,11.3,0,21,0,0,0.0,0,0,0,0,0,0,17,2023-12-31T18:00:00.000+00:00,26,3,L,401547631,2023 Regular Season,Chig Okonkwo,2023,Regular Season,16,458.0,49.0,1.0,70.0,30.533333333333335,3.2666666666666666,0.06666666666666667,4.666666666666667,48.333333333333336,4.666666666666667,0.3333333333333333,5.333333333333333,10.5,0.0,0,0
2,3,36,18.0,0,21,0,0,0.0,0,0,0,0,0,0,18,2024-01-07T18:00:00.000+00:00,28,20,W,401547652,2023 Regular Season,Chig Okonkwo,2023,Regular Season,17,492.0,52.0,1.0,74.0,30.75,3.25,0.0625,4.625,44.333333333333336,4.0,0.3333333333333333,4.666666666666667,11.333333333333334,0.014285714285714285,0,0
2,2,15,7.5,1,17,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T17:00:00.000+00:00,24,17,L,401671719,2024 Regular Season,Chig Okonkwo,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
3,3,16,5.3,0,8,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,17,24,L,401671636,2024 Regular Season,Chig Okonkwo,2024,Regular Season,2,15.0,2.0,1.0,2.0,15.0,2.0,1.0,2.0,15.0,2.0,1.0,2.0,7.5,0.0,0,0
2,2,15,7.5,0,8,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T17:00:00.000+00:00,14,30,L,401671823,2024 Regular Season,Chig Okonkwo,2024,Regular Season,3,31.0,5.0,1.0,5.0,15.5,2.5,0.5,2.5,15.5,2.5,0.5,2.5,5.333333333333333,0.5,0,0
1,3,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,4,2024-09-30T23:30:00.000+00:00,12,31,W,401671683,2024 Regular Season,Chig Okonkwo,2024,Regular Season,4,46.0,7.0,1.0,7.0,15.333333333333334,2.3333333333333335,0.3333333333333333,2.3333333333333335,15.333333333333334,2.3333333333333335,0.3333333333333333,2.3333333333333335,7.5,0.2,0,0
3,3,6,2.0,0,5,0,0,0.0,0,0,1,0,0,0,6,2024-10-13T17:00:00.000+00:00,17,20,L,401671820,2024 Regular Season,Chig Okonkwo,2024,Regular Season,5,51.0,8.0,1.0,10.0,12.75,2.0,0.25,2.5,12.0,2.0,0.0,2.6666666666666665,5.0,0.14285714285714285,0,0
4,4,50,12.5,0,26,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T17:00:00.000+00:00,34,10,L,401671616,2024 Regular Season,Chig Okonkwo,2024,Regular Season,6,57.0,11.0,1.0,13.0,11.4,2.2,0.2,2.6,8.666666666666666,2.0,0.0,2.6666666666666665,2.0,0.1,0,0
2,5,14,7.0,0,18,0,0,0.0,0,0,1,1,0,0,8,2024-10-27T17:00:00.000+00:00,52,14,L,401671720,2024 Regular Season,Chig Okonkwo,2024,Regular Season,7,107.0,15.0,1.0,17.0,17.833333333333332,2.5,0.16666666666666666,2.8333333333333335,20.333333333333332,2.6666666666666665,0.0,3.3333333333333335,12.5,0.07692307692307693,0,0
3,4,38,12.7,0,21,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T18:00:00.000+00:00,20,17,W,401671822,2024 Regular Season,Chig Okonkwo,2024,Regular Season,8,121.0,17.0,1.0,22.0,17.285714285714285,2.4285714285714284,0.14285714285714285,3.142857142857143,23.333333333333332,3.0,0.0,4.0,7.0,0.058823529411764705,0,0
1,1,14,14.0,0,14,0,0,0.0,0,0,0,0,0,0,10,2024-11-10T21:05:00.000+00:00,27,17,L,401671751,2024 Regular Season,Chig Okonkwo,2024,Regular Season,9,159.0,20.0,1.0,26.0,19.875,2.5,0.125,3.25,34.0,3.0,0.0,4.333333333333333,12.666666666666666,0.045454545454545456,0,0
2,4,19,9.5,0,12,0,0,0.0,0,0,0,0,-,-,11,2024-11-17T18:00:00.000+00:00,13,23,L,401671824,2024 Regular Season,Chig Okonkwo,2024,Regular Season,10,173.0,21.0,1.0,27.0,19.22222222222222,2.3333333333333335,0.1111111111111111,3.0,22.0,2.0,0.0,3.3333333333333335,14.0,0.038461538461538464,0,0
1,1,70,70.0,1,70,0,0,0.0,0,0,0,0,-,-,12,2024-11-24T18:00:00.000+00:00,27,32,W,401671858,2024 Regular Season,Chig Okonkwo,2024,Regular Season,11,192.0,23.0,1.0,31.0,19.2,2.3,0.1,3.1,23.666666666666668,2.0,0.0,3.0,9.5,0.037037037037037035,0,1
3,6,27,9.0,0,14,0,0,0.0,0,0,0,0,-,-,13,2024-12-01T18:00:00.000+00:00,42,19,L,401671743,2024 Regular Season,Chig Okonkwo,2024,Regular Season,12,262.0,24.0,2.0,32.0,23.818181818181817,2.1818181818181817,0.18181818181818182,2.909090909090909,34.333333333333336,1.3333333333333333,0.3333333333333333,2.0,70.0,0.03225806451612903,0,0
