receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
2,4,34,17.0,0,25,1,7,7.0,7,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,23,7,L,401437649,2022 Regular Season,Christian Watson,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3,3,9,3.0,0,9,0,0,0.0,0,0,0,0,0,0,2,2022-09-19T00:20:00.000+00:00,27,10,W,401437606,2022 Regular Season,Christian Watson,2022,Regular Season,2,34.0,2.0,0.0,4.0,34.0,2.0,0.0,4.0,34.0,2.0,0.0,4.0,17.0,0.0,0,0
1,3,8,8.0,0,8,1,15,15.0,15,1,0,0,0,0,4,2022-10-02T20:25:00.000+00:00,27,24,W,401437759,2022 Regular Season,Christian Watson,2022,Regular Season,3,43.0,5.0,0.0,7.0,21.5,2.5,0.0,3.5,21.5,2.5,0.0,3.5,3.0,0.0,0,0
1,1,1,1.0,0,1,1,-3,-3.0,-3,0,0,0,0,0,5,2022-10-09T13:30:00.000+00:00,22,27,L,401435640,2022 Regular Season,Christian Watson,2022,Regular Season,4,51.0,6.0,0.0,10.0,17.0,2.0,0.0,3.3333333333333335,17.0,2.0,0.0,3.3333333333333335,8.0,0.0,0,0
1,1,12,12.0,0,12,0,0,0.0,0,0,0,0,0,0,8,2022-10-31T00:20:00.000+00:00,27,17,L,401437817,2022 Regular Season,Christian Watson,2022,Regular Season,5,52.0,7.0,0.0,11.0,13.0,1.75,0.0,2.75,6.0,1.6666666666666667,0.0,2.3333333333333335,1.0,0.0,0,0
2,2,24,12.0,0,18,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,15,9,L,401437823,2022 Regular Season,Christian Watson,2022,Regular Season,6,64.0,8.0,0.0,12.0,12.8,1.6,0.0,2.4,7.0,1.0,0.0,1.6666666666666667,12.0,0.0,0,0
4,8,107,26.8,3,58,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T21:25:00.000+00:00,31,28,W,401437131,2022 Regular Season,Christian Watson,2022,Regular Season,7,88.0,10.0,0.0,14.0,14.666666666666666,1.6666666666666667,0.0,2.3333333333333335,12.333333333333334,1.3333333333333333,0.0,1.3333333333333333,12.0,0.0,0,1
4,6,48,12.0,2,18,1,3,3.0,3,0,0,0,0,0,11,2022-11-18T01:15:00.000+00:00,17,27,L,401437844,2022 Regular Season,Christian Watson,2022,Regular Season,8,195.0,14.0,3.0,22.0,27.857142857142858,2.0,0.42857142857142855,3.142857142857143,47.666666666666664,2.3333333333333335,1.0,3.6666666666666665,26.75,0.0,0,1
4,6,110,27.5,1,63,0,0,0.0,0,0,0,0,0,0,12,2022-11-28T01:20:00.000+00:00,40,33,L,401437871,2022 Regular Season,Christian Watson,2022,Regular Season,9,243.0,18.0,5.0,28.0,30.375,2.25,0.625,3.5,59.666666666666664,3.3333333333333335,1.6666666666666667,5.333333333333333,12.0,0.13636363636363635,0,1
3,7,48,16.0,1,19,1,46,46.0,46,1,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,19,28,W,401437876,2022 Regular Season,Christian Watson,2022,Regular Season,10,353.0,22.0,6.0,34.0,39.22222222222222,2.4444444444444446,0.6666666666666666,3.7777777777777777,88.33333333333333,4.0,2.0,6.666666666666667,27.5,0.17857142857142858,0,1
4,6,46,11.5,0,15,0,0,0.0,0,0,0,0,0,0,15,2022-12-20T01:15:00.000+00:00,24,12,W,401437916,2022 Regular Season,Christian Watson,2022,Regular Season,11,401.0,25.0,7.0,41.0,40.1,2.5,0.7,4.1,68.66666666666667,3.6666666666666665,1.3333333333333333,6.333333333333333,16.0,0.17647058823529413,0,0
