receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
2,2,43,21.5,1,25,0,0,0.0,0,0,0,0,0,0,1,2022-09-13T00:15:00.000+00:00,17,16,W,401437655,2022 Regular Season,Colby Parkinson,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T20:05:00.000+00:00,27,7,L,401437605,2022 Regular Season,Colby Parkinson,2022,Regular Season,2,43.0,2.0,1.0,2.0,43.0,2.0,1.0,2.0,43.0,2.0,1.0,2.0,21.5,0.0,0,0
2,2,44,22.0,0,36,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T20:25:00.000+00:00,23,27,L,401437745,2022 Regular Season,Colby Parkinson,2022,Regular Season,3,43.0,2.0,1.0,2.0,21.5,1.0,0.5,1.0,21.5,1.0,0.5,1.0,0.0,0.5,0,0
2,3,28,14.0,0,15,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,45,48,W,401437752,2022 Regular Season,Colby Parkinson,2022,Regular Season,4,87.0,4.0,1.0,4.0,29.0,1.3333333333333333,0.3333333333333333,1.3333333333333333,29.0,1.3333333333333333,0.3333333333333333,1.3333333333333333,22.0,0.5,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,39,32,L,401437768,2022 Regular Season,Colby Parkinson,2022,Regular Season,5,115.0,6.0,1.0,7.0,28.75,1.5,0.25,1.75,24.0,1.3333333333333333,0.0,1.6666666666666667,14.0,0.25,0,0
2,2,11,5.5,0,7,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T20:05:00.000+00:00,19,9,W,401437787,2022 Regular Season,Colby Parkinson,2022,Regular Season,6,115.0,6.0,1.0,7.0,23.0,1.2,0.2,1.4,24.0,1.3333333333333333,0.0,1.6666666666666667,0.0,0.14285714285714285,0,0
1,1,28,28.0,0,28,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T20:25:00.000+00:00,23,37,W,401437801,2022 Regular Season,Colby Parkinson,2022,Regular Season,7,126.0,8.0,1.0,9.0,21.0,1.3333333333333333,0.16666666666666666,1.5,13.0,1.3333333333333333,0.0,1.6666666666666667,5.5,0.14285714285714285,0,0
1,1,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T20:25:00.000+00:00,27,13,W,401437816,2022 Regular Season,Colby Parkinson,2022,Regular Season,8,154.0,9.0,1.0,10.0,22.0,1.2857142857142858,0.14285714285714285,1.4285714285714286,13.0,1.0,0.0,1.0,28.0,0.1111111111111111,0,0
2,2,6,3.0,0,10,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T21:05:00.000+00:00,21,31,W,401437828,2022 Regular Season,Colby Parkinson,2022,Regular Season,9,159.0,10.0,1.0,11.0,19.875,1.25,0.125,1.375,14.666666666666666,1.3333333333333333,0.0,1.3333333333333333,5.0,0.1,0,0
1,3,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T14:30:00.000+00:00,21,16,L,401435638,2022 Regular Season,Colby Parkinson,2022,Regular Season,10,165.0,12.0,1.0,13.0,18.333333333333332,1.3333333333333333,0.1111111111111111,1.4444444444444444,13.0,1.3333333333333333,0.0,1.3333333333333333,3.0,0.09090909090909091,0,0
