receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,19,10,W,401437647,2022 Regular Season,Cole Kmet,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2022-09-19T00:20:00.000+00:00,27,10,L,401437606,2022 Regular Season,Cole Kmet,2022,Regular Season,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
2,3,40,20.0,0,24,0,0,0.0,0,0,0,0,1,0,3,2022-09-25T17:00:00.000+00:00,23,20,W,401437737,2022 Regular Season,Cole Kmet,2022,Regular Season,3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
3,3,16,5.3,0,13,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,20,12,L,401437755,2022 Regular Season,Cole Kmet,2022,Regular Season,4,40.0,2.0,0.0,5.0,13.333333333333334,0.6666666666666666,0.0,1.6666666666666667,13.333333333333334,0.6666666666666666,0.0,1.6666666666666667,20.0,0.0,0,0
4,4,45,11.3,0,23,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,29,22,L,401437766,2022 Regular Season,Cole Kmet,2022,Regular Season,5,56.0,5.0,0.0,8.0,14.0,1.25,0.0,2.0,18.666666666666668,1.6666666666666667,0.0,2.3333333333333335,5.333333333333333,0.0,0,0
1,3,15,15.0,0,15,0,0,0.0,0,0,0,0,0,0,6,2022-10-14T00:15:00.000+00:00,7,12,L,401437777,2022 Regular Season,Cole Kmet,2022,Regular Season,6,101.0,9.0,0.0,12.0,20.2,1.8,0.0,2.4,33.666666666666664,3.0,0.0,3.3333333333333335,11.25,0.0,0,0
2,3,32,16.0,0,26,0,0,0.0,0,0,0,0,0,0,7,2022-10-25T00:15:00.000+00:00,14,33,W,401437804,2022 Regular Season,Cole Kmet,2022,Regular Season,7,116.0,10.0,0.0,15.0,19.333333333333332,1.6666666666666667,0.0,2.5,25.333333333333332,2.6666666666666665,0.0,3.3333333333333335,15.0,0.0,0,0
2,2,11,5.5,1,10,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,49,29,L,401437807,2022 Regular Season,Cole Kmet,2022,Regular Season,8,148.0,12.0,0.0,18.0,21.142857142857142,1.7142857142857142,0.0,2.5714285714285716,30.666666666666668,2.3333333333333335,0.0,3.3333333333333335,16.0,0.0,0,1
5,6,41,8.2,2,18,2,9,4.5,8,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,32,35,L,401437821,2022 Regular Season,Cole Kmet,2022,Regular Season,9,159.0,14.0,1.0,20.0,19.875,1.75,0.125,2.5,19.333333333333332,1.6666666666666667,0.3333333333333333,2.6666666666666665,5.5,0.0,0,1
4,7,74,18.5,2,50,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,30,31,L,401437834,2022 Regular Season,Cole Kmet,2022,Regular Season,10,200.0,19.0,3.0,26.0,22.22222222222222,2.111111111111111,0.3333333333333333,2.888888888888889,28.0,3.0,1.0,3.6666666666666665,8.2,0.05,0,1
