receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,20,23,W,401437634,2022 Regular Season,Connor Heyward,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,14,17,L,401437636,2022 Regular Season,Connor Heyward,2022,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2022-09-23T00:15:00.000+00:00,29,17,L,401437735,2022 Regular Season,Connor Heyward,2022,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,20,24,L,401437757,2022 Regular Season,Connor Heyward,2022,Regular Season,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,2,12,6.0,0,7,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,38,3,L,401437763,2022 Regular Season,Connor Heyward,2022,Regular Season,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,3,49,24.5,0,45,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,20,18,W,401437785,2022 Regular Season,Connor Heyward,2022,Regular Season,6,12.0,2.0,0.0,2.0,2.4,0.4,0.0,0.4,4.0,0.6666666666666666,0.0,0.6666666666666666,6.0,0.0,0,0
1,1,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,7,2022-10-24T00:20:00.000+00:00,16,10,L,401437803,2022 Regular Season,Connor Heyward,2022,Regular Season,7,61.0,4.0,0.0,5.0,10.166666666666666,0.6666666666666666,0.0,0.8333333333333334,20.333333333333332,1.3333333333333333,0.0,1.6666666666666667,24.5,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,35,13,L,401437812,2022 Regular Season,Connor Heyward,2022,Regular Season,8,67.0,5.0,0.0,6.0,9.571428571428571,0.7142857142857143,0.0,0.8571428571428571,22.333333333333332,1.6666666666666667,0.0,2.0,6.0,0.0,0,0
2,2,9,4.5,0,8,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,20,10,W,401437838,2022 Regular Season,Connor Heyward,2022,Regular Season,9,67.0,5.0,0.0,6.0,8.375,0.625,0.0,0.75,18.333333333333332,1.0,0.0,1.3333333333333333,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T21:25:00.000+00:00,30,37,L,401437856,2022 Regular Season,Connor Heyward,2022,Regular Season,10,76.0,7.0,0.0,8.0,8.444444444444445,0.7777777777777778,0.0,0.8888888888888888,5.0,1.0,0.0,1.0,4.5,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2022-11-29T01:15:00.000+00:00,17,24,W,401437872,2022 Regular Season,Connor Heyward,2022,Regular Season,11,76.0,7.0,0.0,8.0,7.6,0.7,0.0,0.8,3.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0,0
1,1,17,17.0,1,17,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,16,19,W,401437874,2022 Regular Season,Connor Heyward,2022,Regular Season,12,76.0,7.0,0.0,8.0,6.909090909090909,0.6363636363636364,0.0,0.7272727272727273,3.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0,1
1,1,13,13.0,0,13,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,14,16,L,401437894,2022 Regular Season,Connor Heyward,2022,Regular Season,13,93.0,8.0,1.0,9.0,7.75,0.6666666666666666,0.08333333333333333,0.75,5.666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,17.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T18:00:00.000+00:00,16,24,W,401437907,2022 Regular Season,Connor Heyward,2022,Regular Season,14,106.0,9.0,1.0,10.0,8.153846153846153,0.6923076923076923,0.07692307692307693,0.7692307692307693,10.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,13.0,0.1111111111111111,0,0
0,3,0,0.0,0,0,1,21,21.0,21,0,0,0,0,0,16,2022-12-25T01:15:00.000+00:00,13,10,W,401437928,2022 Regular Season,Connor Heyward,2022,Regular Season,15,106.0,9.0,1.0,10.0,7.571428571428571,0.6428571428571429,0.07142857142857142,0.7142857142857143,10.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.1,0,0
