receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
13,15,128,9.8,1,28,0,0,0.0,0,0,0,0,0,0,1,2022-09-09T00:20:00.000+00:00,10,31,L,401437654,2022 Regular Season,Cooper Kupp,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
11,14,108,9.8,2,20,0,0,0.0,0,0,1,1,0,0,2,2022-09-18T20:05:00.000+00:00,31,27,W,401437733,2022 Regular Season,Cooper Kupp,2022,Regular Season,2,128.0,13.0,1.0,15.0,128.0,13.0,1.0,15.0,128.0,13.0,1.0,15.0,9.846153846153847,0.0,0,1
4,6,44,11.0,0,14,1,20,20.0,20,1,0,0,0,0,3,2022-09-25T20:25:00.000+00:00,12,20,W,401437744,2022 Regular Season,Cooper Kupp,2022,Regular Season,3,236.0,24.0,3.0,29.0,118.0,12.0,1.5,14.5,118.0,12.0,1.5,14.5,9.818181818181818,0.06666666666666667,0,0
14,19,122,8.7,0,18,0,0,0.0,0,0,0,0,0,0,4,2022-10-04T00:15:00.000+00:00,24,9,L,401437761,2022 Regular Season,Cooper Kupp,2022,Regular Season,4,280.0,28.0,3.0,35.0,93.33333333333333,9.333333333333334,1.0,11.666666666666666,93.33333333333333,9.333333333333334,1.0,11.666666666666666,11.0,0.10344827586206896,0,0
7,10,125,17.9,1,75,1,4,4.0,4,0,0,0,0,0,5,2022-10-09T20:25:00.000+00:00,10,22,L,401437774,2022 Regular Season,Cooper Kupp,2022,Regular Season,5,402.0,42.0,3.0,54.0,100.5,10.5,0.75,13.5,91.33333333333333,9.666666666666666,0.6666666666666666,13.0,8.714285714285714,0.08571428571428572,0,1
7,8,80,11.4,0,22,2,17,8.5,13,0,0,0,0,0,6,2022-10-16T20:05:00.000+00:00,24,10,W,401437786,2022 Regular Season,Cooper Kupp,2022,Regular Season,6,527.0,49.0,4.0,64.0,105.4,9.8,0.8,12.8,97.0,8.333333333333334,0.3333333333333333,11.666666666666666,17.857142857142858,0.05555555555555555,0,0
8,12,79,9.9,1,23,2,10,5.0,5,0,0,0,0,0,8,2022-10-30T20:25:00.000+00:00,14,31,L,401437815,2022 Regular Season,Cooper Kupp,2022,Regular Season,7,607.0,56.0,4.0,72.0,101.16666666666667,9.333333333333334,0.6666666666666666,12.0,109.0,9.333333333333334,0.3333333333333333,12.333333333333334,11.428571428571429,0.0625,0,1
8,9,127,15.9,1,69,3,1,0.3,5,0,1,0,0,0,9,2022-11-06T21:25:00.000+00:00,16,13,L,401437829,2022 Regular Season,Cooper Kupp,2022,Regular Season,8,686.0,64.0,5.0,84.0,98.0,9.142857142857142,0.7142857142857143,12.0,94.66666666666667,7.333333333333333,0.6666666666666666,10.0,9.875,0.05555555555555555,0,1
3,5,-1,-0.3,0,2,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T21:25:00.000+00:00,17,27,L,401437841,2022 Regular Season,Cooper Kupp,2022,Regular Season,9,813.0,72.0,6.0,93.0,101.625,9.0,0.75,11.625,95.33333333333333,7.666666666666667,0.6666666666666666,9.666666666666666,15.875,0.05952380952380952,0,0
8,12,118,14.8,0,39,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T20:05:00.000+00:00,14,23,L,401547467,2023 Regular Season,Cooper Kupp,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
