receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
4,7,72,18.0,0,30,0,0,0.0,0,0,0,0,0,0,1,2022-09-13T00:15:00.000+00:00,17,16,L,401437655,2022 Regular Season,Courtland Sutton,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
7,11,122,17.4,0,35,1,5,5.0,5,0,0,0,0,0,2,2022-09-18T20:25:00.000+00:00,16,9,W,401437641,2022 Regular Season,Courtland Sutton,2022,Regular Season,2,72.0,4.0,0.0,7.0,72.0,4.0,0.0,7.0,72.0,4.0,0.0,7.0,18.0,0.0,0,0
8,10,97,12.1,0,34,0,0,0.0,0,0,0,0,0,0,3,2022-09-26T00:20:00.000+00:00,11,10,W,401437746,2022 Regular Season,Courtland Sutton,2022,Regular Season,3,194.0,11.0,0.0,18.0,97.0,5.5,0.0,9.0,97.0,5.5,0.0,9.0,17.428571428571427,0.0,0,0
5,7,52,10.4,1,18,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T20:25:00.000+00:00,32,23,L,401437760,2022 Regular Season,Courtland Sutton,2022,Regular Season,4,291.0,19.0,0.0,28.0,97.0,6.333333333333333,0.0,9.333333333333334,97.0,6.333333333333333,0.0,9.333333333333334,12.125,0.0,0,1
5,11,74,14.8,0,51,0,0,0.0,0,0,0,0,0,0,5,2022-10-07T00:15:00.000+00:00,9,12,L,401437762,2022 Regular Season,Courtland Sutton,2022,Regular Season,5,343.0,24.0,1.0,35.0,85.75,6.0,0.25,8.75,90.33333333333333,6.666666666666667,0.3333333333333333,9.333333333333334,10.4,0.0,0,0
2,3,14,7.0,0,9,0,0,0.0,0,0,0,0,0,0,6,2022-10-18T00:15:00.000+00:00,19,16,L,401437790,2022 Regular Season,Courtland Sutton,2022,Regular Season,6,417.0,29.0,1.0,46.0,83.4,5.8,0.2,9.2,74.33333333333333,6.0,0.3333333333333333,9.333333333333334,14.8,0.02857142857142857,0,0
3,9,23,7.7,0,11,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T20:05:00.000+00:00,9,16,L,401437799,2022 Regular Season,Courtland Sutton,2022,Regular Season,7,431.0,31.0,1.0,49.0,71.83333333333333,5.166666666666667,0.16666666666666666,8.166666666666666,46.666666666666664,4.0,0.3333333333333333,7.0,7.0,0.021739130434782608,0,0
1,4,13,13.0,0,13,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T13:30:00.000+00:00,17,21,W,401435641,2022 Regular Season,Courtland Sutton,2022,Regular Season,8,454.0,34.0,1.0,58.0,64.85714285714286,4.857142857142857,0.14285714285714285,8.285714285714286,37.0,3.3333333333333335,0.0,7.666666666666667,7.666666666666667,0.02040816326530612,0,0
6,11,66,11.0,0,17,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,17,10,L,401437839,2022 Regular Season,Courtland Sutton,2022,Regular Season,9,467.0,35.0,1.0,62.0,58.375,4.375,0.125,7.75,16.666666666666668,2.0,0.0,5.333333333333333,13.0,0.017241379310344827,0,0
5,7,80,16.0,0,23,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T21:05:00.000+00:00,16,22,L,401437853,2022 Regular Season,Courtland Sutton,2022,Regular Season,10,533.0,41.0,1.0,73.0,59.22222222222222,4.555555555555555,0.1111111111111111,8.11111111111111,34.0,3.3333333333333335,0.0,8.0,11.0,0.016129032258064516,0,0
