receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
8,11,55,6.9,1,13,4,17,4.3,11,0,1,1,0,0,1,2022-09-11T17:00:00.000+00:00,28,22,W,401437646,2022 Regular Season,Curtis Samuel,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
7,9,78,11.1,1,27,1,21,21.0,21,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,36,27,L,401437732,2022 Regular Season,Curtis Samuel,2022,Regular Season,2,55.0,8.0,1.0,11.0,55.0,8.0,1.0,11.0,55.0,8.0,1.0,11.0,6.875,0.0,0,1
7,10,48,6.9,0,16,3,13,4.3,15,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,8,24,L,401437742,2022 Regular Season,Curtis Samuel,2022,Regular Season,3,133.0,15.0,2.0,20.0,66.5,7.5,1.0,10.0,66.5,7.5,1.0,10.0,11.142857142857142,0.09090909090909091,0,0
4,7,38,9.5,0,15,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,25,10,L,401437751,2022 Regular Season,Curtis Samuel,2022,Regular Season,4,181.0,22.0,2.0,30.0,60.333333333333336,7.333333333333333,0.6666666666666666,10.0,60.333333333333336,7.333333333333333,0.6666666666666666,10.0,6.857142857142857,0.1,0,0
6,8,62,10.3,0,32,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,17,21,L,401437771,2022 Regular Season,Curtis Samuel,2022,Regular Season,5,219.0,26.0,2.0,37.0,54.75,6.5,0.5,9.25,54.666666666666664,6.0,0.3333333333333333,8.666666666666666,9.5,0.06666666666666667,0,0
2,5,6,3.0,0,3,0,0,0.0,0,0,0,0,0,0,6,2022-10-14T00:15:00.000+00:00,7,12,W,401437777,2022 Regular Season,Curtis Samuel,2022,Regular Season,6,281.0,32.0,2.0,45.0,56.2,6.4,0.4,9.0,49.333333333333336,5.666666666666667,0.0,8.333333333333334,10.333333333333334,0.05405405405405406,0,0
5,8,53,10.6,0,26,5,26,5.2,16,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,23,21,W,401437798,2022 Regular Season,Curtis Samuel,2022,Regular Season,7,287.0,34.0,2.0,50.0,47.833333333333336,5.666666666666667,0.3333333333333333,8.333333333333334,35.333333333333336,4.0,0.0,6.666666666666667,3.0,0.044444444444444446,0,0
3,4,50,16.7,0,20,4,29,7.3,11,0,0,0,0,0,8,2022-10-30T20:25:00.000+00:00,16,17,W,401437814,2022 Regular Season,Curtis Samuel,2022,Regular Season,8,340.0,39.0,2.0,58.0,48.57142857142857,5.571428571428571,0.2857142857142857,8.285714285714286,40.333333333333336,4.333333333333333,0.0,7.0,10.6,0.04,0,0
3,4,65,21.7,1,49,1,16,16.0,16,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,17,20,L,401437827,2022 Regular Season,Curtis Samuel,2022,Regular Season,9,390.0,42.0,2.0,62.0,48.75,5.25,0.25,7.75,36.333333333333336,3.3333333333333335,0.0,5.666666666666667,16.666666666666668,0.034482758620689655,0,1
2,4,28,14.0,0,23,4,12,3.0,6,0,0,0,0,0,10,2022-11-15T01:15:00.000+00:00,21,32,W,401437843,2022 Regular Season,Curtis Samuel,2022,Regular Season,10,455.0,45.0,3.0,66.0,50.55555555555556,5.0,0.3333333333333333,7.333333333333333,56.0,3.6666666666666665,0.3333333333333333,5.333333333333333,21.666666666666668,0.03225806451612903,0,0
1,2,10,10.0,0,10,2,18,9.0,10,1,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,10,23,W,401437848,2022 Regular Season,Curtis Samuel,2022,Regular Season,11,483.0,47.0,3.0,70.0,48.3,4.7,0.3,7.0,47.666666666666664,2.6666666666666665,0.3333333333333333,4.0,14.0,0.045454545454545456,0,0
0,0,0,0.0,0,0,4,13,3.3,5,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,19,13,W,401437866,2022 Regular Season,Curtis Samuel,2022,Regular Season,12,493.0,48.0,3.0,72.0,44.81818181818182,4.363636363636363,0.2727272727272727,6.545454545454546,34.333333333333336,2.0,0.3333333333333333,3.3333333333333335,10.0,0.04285714285714286,0,0
6,7,63,10.5,0,25,3,23,7.7,21,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,20,20,T,401437880,2022 Regular Season,Curtis Samuel,2022,Regular Season,13,493.0,48.0,3.0,72.0,41.083333333333336,4.0,0.25,6.0,12.666666666666666,1.0,0.0,2.0,0.0,0.041666666666666664,0,0
3,5,44,14.7,0,27,5,1,0.2,2,0,0,0,0,0,15,2022-12-19T01:20:00.000+00:00,12,20,L,401437906,2022 Regular Season,Curtis Samuel,2022,Regular Season,14,556.0,54.0,3.0,79.0,42.76923076923077,4.153846153846154,0.23076923076923078,6.076923076923077,24.333333333333332,2.3333333333333335,0.0,3.0,10.5,0.041666666666666664,0,0
5,5,52,10.4,1,20,1,2,2.0,2,0,0,0,0,0,16,2022-12-24T21:05:00.000+00:00,37,20,L,401437926,2022 Regular Season,Curtis Samuel,2022,Regular Season,15,600.0,57.0,3.0,84.0,42.857142857142854,4.071428571428571,0.21428571428571427,6.0,35.666666666666664,3.0,0.0,4.0,14.666666666666666,0.0379746835443038,0,1
1,2,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,10,24,L,401437942,2022 Regular Season,Curtis Samuel,2022,Regular Season,16,652.0,62.0,4.0,89.0,43.46666666666667,4.133333333333334,0.26666666666666666,5.933333333333334,53.0,4.666666666666667,0.3333333333333333,5.666666666666667,10.4,0.03571428571428571,0,0
1,1,-2,-2.0,0,-2,1,-4,-4.0,-4,0,0,0,0,0,18,2023-01-08T21:25:00.000+00:00,26,6,W,401437959,2022 Regular Season,Curtis Samuel,2022,Regular Season,17,658.0,63.0,4.0,91.0,41.125,3.9375,0.25,5.6875,34.0,3.0,0.3333333333333333,4.0,6.0,0.0449438202247191,0,0
5,5,54,10.8,0,32,1,6,6.0,6,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,20,16,W,401547406,2023 Regular Season,Curtis Samuel,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3,3,19,6.3,0,14,1,13,13.0,13,0,0,0,0,0,2,2023-09-17T20:25:00.000+00:00,33,35,W,401547416,2023 Regular Season,Curtis Samuel,2023,Regular Season,2,54.0,5.0,0.0,5.0,54.0,5.0,0.0,5.0,54.0,5.0,0.0,5.0,10.8,0.0,0,0
2,4,54,27.0,0,37,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,3,37,L,401547431,2023 Regular Season,Curtis Samuel,2023,Regular Season,3,73.0,8.0,0.0,8.0,36.5,4.0,0.0,4.0,36.5,4.0,0.0,4.0,6.333333333333333,0.0,0,0
7,8,51,7.3,0,15,1,1,1.0,1,1,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,34,31,L,401547451,2023 Regular Season,Curtis Samuel,2023,Regular Season,4,127.0,10.0,0.0,12.0,42.333333333333336,3.3333333333333335,0.0,4.0,42.333333333333336,3.3333333333333335,0.0,4.0,27.0,0.0,0,0
6,7,65,10.8,1,25,0,0,0.0,0,0,0,0,0,0,5,2023-10-06T00:15:00.000+00:00,20,40,L,401547457,2023 Regular Season,Curtis Samuel,2023,Regular Season,5,178.0,17.0,0.0,20.0,44.5,4.25,0.0,5.0,41.333333333333336,4.0,0.0,5.0,7.285714285714286,0.0,0,1
4,4,42,10.5,1,16,1,0,0.0,0,0,0,0,0,0,6,2023-10-15T17:00:00.000+00:00,16,24,W,401547470,2023 Regular Season,Curtis Samuel,2023,Regular Season,6,243.0,23.0,1.0,27.0,48.6,4.6,0.2,5.4,56.666666666666664,5.0,0.3333333333333333,6.333333333333333,10.833333333333334,0.0,0,1
4,8,25,6.3,0,18,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T17:00:00.000+00:00,14,7,L,401547486,2023 Regular Season,Curtis Samuel,2023,Regular Season,7,285.0,27.0,2.0,31.0,47.5,4.5,0.3333333333333333,5.166666666666667,52.666666666666664,5.666666666666667,0.6666666666666666,6.333333333333333,10.5,0.037037037037037035,0,0
4,4,22,5.5,0,9,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,31,38,L,401547508,2023 Regular Season,Curtis Samuel,2023,Regular Season,8,310.0,31.0,2.0,39.0,44.285714285714285,4.428571428571429,0.2857142857142857,5.571428571428571,44.0,4.666666666666667,0.6666666666666666,6.333333333333333,6.25,0.06451612903225806,0,0
2,6,6,3.0,0,6,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T21:25:00.000+00:00,29,26,L,401547535,2023 Regular Season,Curtis Samuel,2023,Regular Season,9,332.0,35.0,2.0,43.0,41.5,4.375,0.25,5.375,29.666666666666668,4.0,0.3333333333333333,5.333333333333333,5.5,0.05128205128205128,0,0
1,2,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T18:00:00.000+00:00,19,31,L,401547548,2023 Regular Season,Curtis Samuel,2023,Regular Season,10,338.0,37.0,2.0,49.0,37.55555555555556,4.111111111111111,0.2222222222222222,5.444444444444445,17.666666666666668,3.3333333333333335,0.0,6.0,3.0,0.046511627906976744,0,0
9,12,100,11.1,0,30,0,0,0.0,0,0,0,0,0,0,12,2023-11-23T21:30:00.000+00:00,45,10,L,401547551,2023 Regular Season,Curtis Samuel,2023,Regular Season,11,343.0,38.0,2.0,51.0,34.3,3.8,0.2,5.1,11.0,2.3333333333333335,0.0,4.0,5.0,0.04081632653061224,0,0
