receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
4,8,52,13.0,1,22,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,35,38,L,401437648,2022 Regular Season,DJ Chark Jr.,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
0,4,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,36,27,W,401437732,2022 Regular Season,DJ Chark Jr.,2022,Regular Season,2,52.0,4.0,1.0,8.0,52.0,4.0,1.0,8.0,52.0,4.0,1.0,8.0,13.0,0.0,0,0
3,6,46,15.3,0,23,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,28,24,L,401437739,2022 Regular Season,DJ Chark Jr.,2022,Regular Season,3,52.0,4.0,1.0,12.0,26.0,2.0,0.5,6.0,26.0,2.0,0.5,6.0,0.0,0.125,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,18,31,W,401437852,2022 Regular Season,DJ Chark Jr.,2022,Regular Season,4,98.0,7.0,1.0,18.0,32.666666666666664,2.3333333333333335,0.3333333333333333,6.0,32.666666666666664,2.3333333333333335,0.3333333333333333,6.0,15.333333333333334,0.08333333333333333,0,0
2,5,16,8.0,1,15,0,0,0.0,0,0,0,0,0,0,12,2022-11-24T17:30:00.000+00:00,25,28,L,401437857,2022 Regular Season,DJ Chark Jr.,2022,Regular Season,5,98.0,7.0,1.0,19.0,24.5,1.75,0.25,4.75,15.333333333333334,1.0,0.0,3.6666666666666665,0.0,0.05555555555555555,0,1
5,6,98,19.6,0,41,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,40,14,W,401437877,2022 Regular Season,DJ Chark Jr.,2022,Regular Season,6,114.0,9.0,2.0,24.0,22.8,1.8,0.4,4.8,20.666666666666668,1.6666666666666667,0.3333333333333333,4.0,8.0,0.05263157894736842,0,0
6,7,94,15.7,1,48,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,34,23,W,401437892,2022 Regular Season,DJ Chark Jr.,2022,Regular Season,7,212.0,14.0,2.0,30.0,35.333333333333336,2.3333333333333335,0.3333333333333333,5.0,38.0,2.3333333333333335,0.3333333333333333,4.0,19.6,0.08333333333333333,0,1
1,2,18,18.0,0,18,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T18:00:00.000+00:00,17,20,W,401437911,2022 Regular Season,DJ Chark Jr.,2022,Regular Season,8,306.0,20.0,3.0,37.0,43.714285714285715,2.857142857142857,0.42857142857142855,5.285714285714286,69.33333333333333,4.333333333333333,0.6666666666666666,6.0,15.666666666666666,0.06666666666666667,0,0
4,5,108,27.0,0,51,0,0,0.0,0,0,0,0,0,0,16,2022-12-24T18:00:00.000+00:00,37,23,L,401437919,2022 Regular Season,DJ Chark Jr.,2022,Regular Season,9,324.0,21.0,3.0,39.0,40.5,2.625,0.375,4.875,70.0,4.0,0.3333333333333333,5.0,18.0,0.08108108108108109,0,0
2,4,56,28.0,0,28,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,41,10,W,401437935,2022 Regular Season,DJ Chark Jr.,2022,Regular Season,10,432.0,25.0,3.0,44.0,48.0,2.7777777777777777,0.3333333333333333,4.888888888888889,73.33333333333333,3.6666666666666665,0.3333333333333333,4.666666666666667,27.0,0.07692307692307693,0,0
