receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
3,6,43,14.3,0,26,1,7,7.0,7,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,24,26,L,401437651,2022 Regular Season,DJ Moore,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3,6,43,14.3,1,29,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,19,16,L,401437645,2022 Regular Season,DJ Moore,2022,Regular Season,2,43.0,3.0,0.0,6.0,43.0,3.0,0.0,6.0,43.0,3.0,0.0,6.0,14.333333333333334,0.0,0,1
1,6,2,2.0,0,2,2,13,6.5,9,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,22,14,W,401437736,2022 Regular Season,DJ Moore,2022,Regular Season,3,86.0,6.0,1.0,12.0,43.0,3.0,0.5,6.0,43.0,3.0,0.5,6.0,14.333333333333334,0.0,0,0
6,11,50,8.3,0,16,1,11,11.0,11,0,0,0,0,0,4,2022-10-02T20:05:00.000+00:00,16,26,L,401437758,2022 Regular Season,DJ Moore,2022,Regular Season,4,88.0,7.0,1.0,18.0,29.333333333333332,2.3333333333333335,0.3333333333333333,6.0,29.333333333333332,2.3333333333333335,0.3333333333333333,6.0,2.0,0.08333333333333333,0,0
4,8,59,14.8,0,27,1,8,8.0,8,0,0,0,0,0,5,2022-10-09T20:05:00.000+00:00,15,37,L,401437772,2022 Regular Season,DJ Moore,2022,Regular Season,5,138.0,13.0,1.0,29.0,34.5,3.25,0.25,7.25,31.666666666666668,3.3333333333333335,0.3333333333333333,7.666666666666667,8.333333333333334,0.05555555555555555,0,0
3,7,7,2.3,0,5,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T20:05:00.000+00:00,24,10,L,401437786,2022 Regular Season,DJ Moore,2022,Regular Season,6,197.0,17.0,1.0,37.0,39.4,3.4,0.2,7.4,37.0,3.6666666666666665,0.0,8.333333333333334,14.75,0.034482758620689655,0,0
7,10,69,9.9,1,21,1,-3,-3.0,-3,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,21,3,W,401437793,2022 Regular Season,DJ Moore,2022,Regular Season,7,204.0,20.0,1.0,44.0,34.0,3.3333333333333335,0.16666666666666666,7.333333333333333,38.666666666666664,4.333333333333333,0.0,8.666666666666666,2.3333333333333335,0.02702702702702703,0,1
6,11,152,25.3,1,62,1,3,3.0,3,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,37,34,L,401437806,2022 Regular Season,DJ Moore,2022,Regular Season,8,273.0,27.0,2.0,54.0,39.0,3.857142857142857,0.2857142857142857,7.714285714285714,45.0,4.666666666666667,0.3333333333333333,8.333333333333334,9.857142857142858,0.022727272727272728,0,1
2,6,24,12.0,0,14,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,42,21,L,401437822,2022 Regular Season,DJ Moore,2022,Regular Season,9,425.0,33.0,3.0,65.0,53.125,4.125,0.375,8.125,76.0,5.333333333333333,0.6666666666666666,9.333333333333334,25.333333333333332,0.037037037037037035,0,0
4,6,29,7.3,0,20,0,0,0.0,0,0,0,0,0,0,10,2022-11-11T01:15:00.000+00:00,25,15,W,401437832,2022 Regular Season,DJ Moore,2022,Regular Season,10,449.0,35.0,3.0,71.0,49.888888888888886,3.888888888888889,0.3333333333333333,7.888888888888889,81.66666666666667,5.0,0.6666666666666666,9.0,12.0,0.046153846153846156,0,0
