receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
7,7,36,5.1,0,15,0,0,0.0,0,0,1,1,0,0,1,2022-09-13T00:15:00.000+00:00,17,16,W,401437655,2022 Regular Season,DK Metcalf,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
4,6,35,8.8,0,12,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T20:05:00.000+00:00,27,7,L,401437605,2022 Regular Season,DK Metcalf,2022,Regular Season,2,36.0,7.0,0.0,7.0,36.0,7.0,0.0,7.0,36.0,7.0,0.0,7.0,5.142857142857143,0.0,0,0
5,12,64,12.8,1,18,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T20:25:00.000+00:00,23,27,L,401437745,2022 Regular Season,DK Metcalf,2022,Regular Season,3,71.0,11.0,0.0,13.0,35.5,5.5,0.0,6.5,35.5,5.5,0.0,6.5,8.75,0.0,0,1
7,10,149,21.3,0,54,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,45,48,W,401437752,2022 Regular Season,DK Metcalf,2022,Regular Season,4,135.0,16.0,1.0,25.0,45.0,5.333333333333333,0.3333333333333333,8.333333333333334,45.0,5.333333333333333,0.3333333333333333,8.333333333333334,12.8,0.0,0,0
5,8,88,17.6,1,50,0,0,0.0,0,0,1,1,0,0,5,2022-10-09T17:00:00.000+00:00,39,32,L,401437768,2022 Regular Season,DK Metcalf,2022,Regular Season,5,284.0,23.0,1.0,35.0,71.0,5.75,0.25,8.75,82.66666666666667,5.333333333333333,0.3333333333333333,9.333333333333334,21.285714285714285,0.04,0,1
2,7,34,17.0,0,17,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T20:05:00.000+00:00,19,9,W,401437787,2022 Regular Season,DK Metcalf,2022,Regular Season,6,372.0,28.0,2.0,43.0,74.4,5.6,0.4,8.6,100.33333333333333,5.666666666666667,0.6666666666666666,10.0,17.6,0.02857142857142857,0,0
1,2,12,12.0,0,12,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T20:25:00.000+00:00,23,37,W,401437801,2022 Regular Season,DK Metcalf,2022,Regular Season,7,406.0,30.0,2.0,50.0,67.66666666666667,5.0,0.3333333333333333,8.333333333333334,90.33333333333333,4.666666666666667,0.3333333333333333,8.333333333333334,17.0,0.046511627906976744,0,0
6,10,55,9.2,1,15,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T20:25:00.000+00:00,27,13,W,401437816,2022 Regular Season,DK Metcalf,2022,Regular Season,8,418.0,31.0,2.0,52.0,59.714285714285715,4.428571428571429,0.2857142857142857,7.428571428571429,44.666666666666664,2.6666666666666665,0.3333333333333333,5.666666666666667,12.0,0.04,0,1
5,6,37,7.4,1,9,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T21:05:00.000+00:00,21,31,W,401437828,2022 Regular Season,DK Metcalf,2022,Regular Season,9,473.0,37.0,3.0,62.0,59.125,4.625,0.375,7.75,33.666666666666664,3.0,0.3333333333333333,6.333333333333333,9.166666666666666,0.038461538461538464,0,1
6,9,71,11.8,0,16,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T14:30:00.000+00:00,21,16,L,401435638,2022 Regular Season,DK Metcalf,2022,Regular Season,10,510.0,42.0,4.0,68.0,56.666666666666664,4.666666666666667,0.4444444444444444,7.555555555555555,34.666666666666664,4.0,0.6666666666666666,6.0,7.4,0.04838709677419355,0,0
11,15,90,8.2,0,24,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T21:05:00.000+00:00,34,40,L,401437868,2022 Regular Season,DK Metcalf,2022,Regular Season,11,581.0,48.0,4.0,77.0,58.1,4.8,0.4,7.7,54.333333333333336,5.666666666666667,0.6666666666666666,8.333333333333334,11.833333333333334,0.058823529411764705,0,0
8,8,127,15.9,1,40,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T21:05:00.000+00:00,23,27,W,401437882,2022 Regular Season,DK Metcalf,2022,Regular Season,12,671.0,59.0,4.0,92.0,61.0,5.363636363636363,0.36363636363636365,8.363636363636363,66.0,7.333333333333333,0.3333333333333333,10.0,8.181818181818182,0.05194805194805195,0,1
5,10,71,14.2,1,25,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T21:25:00.000+00:00,24,30,L,401437898,2022 Regular Season,DK Metcalf,2022,Regular Season,13,798.0,67.0,5.0,100.0,66.5,5.583333333333333,0.4166666666666667,8.333333333333334,96.0,8.333333333333334,0.3333333333333333,10.666666666666666,15.875,0.043478260869565216,0,1
7,9,55,7.9,0,13,0,0,0.0,0,0,0,0,0,0,15,2022-12-16T01:15:00.000+00:00,13,21,L,401437901,2022 Regular Season,DK Metcalf,2022,Regular Season,14,869.0,72.0,6.0,110.0,66.84615384615384,5.538461538461538,0.46153846153846156,8.461538461538462,96.0,8.0,0.6666666666666666,11.0,14.2,0.05,0,0
7,9,81,11.6,0,35,0,0,0.0,0,0,0,0,0,0,16,2022-12-24T18:00:00.000+00:00,24,10,L,401437922,2022 Regular Season,DK Metcalf,2022,Regular Season,15,924.0,79.0,6.0,119.0,66.0,5.642857142857143,0.42857142857142855,8.5,84.33333333333333,6.666666666666667,0.6666666666666666,9.0,7.857142857142857,0.05454545454545454,0,0
1,5,3,3.0,0,3,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T21:05:00.000+00:00,23,6,W,401437944,2022 Regular Season,DK Metcalf,2022,Regular Season,16,1005.0,86.0,6.0,128.0,67.0,5.733333333333333,0.4,8.533333333333333,69.0,6.333333333333333,0.3333333333333333,9.333333333333334,11.571428571428571,0.05042016806722689,0,0
3,8,40,13.3,0,23,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T21:25:00.000+00:00,19,16,W,401437963,2022 Regular Season,DK Metcalf,2022,Regular Season,17,1008.0,87.0,6.0,133.0,63.0,5.4375,0.375,8.3125,46.333333333333336,5.0,0.0,7.666666666666667,3.0,0.046875,0,0
3,5,47,15.7,1,28,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T20:25:00.000+00:00,13,30,L,401547408,2023 Regular Season,DK Metcalf,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
6,6,75,12.5,0,18,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,31,37,W,401547418,2023 Regular Season,DK Metcalf,2023,Regular Season,2,47.0,3.0,1.0,5.0,47.0,3.0,1.0,5.0,47.0,3.0,1.0,5.0,15.666666666666666,0.0,0,0
6,8,112,18.7,0,34,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T20:05:00.000+00:00,37,27,W,401547432,2023 Regular Season,DK Metcalf,2023,Regular Season,3,122.0,9.0,1.0,11.0,61.0,4.5,0.5,5.5,61.0,4.5,0.5,5.5,12.5,0.2,0,0
3,4,34,11.3,1,16,0,0,0.0,0,0,0,0,0,0,4,2023-10-03T00:15:00.000+00:00,3,24,W,401547456,2023 Regular Season,DK Metcalf,2023,Regular Season,4,234.0,15.0,1.0,19.0,78.0,5.0,0.3333333333333333,6.333333333333333,78.0,5.0,0.3333333333333333,6.333333333333333,18.666666666666668,0.09090909090909091,0,1
4,9,69,17.3,0,30,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T17:00:00.000+00:00,17,13,L,401547471,2023 Regular Season,DK Metcalf,2023,Regular Season,5,268.0,18.0,2.0,23.0,67.0,4.5,0.5,5.75,73.66666666666667,5.0,0.3333333333333333,6.0,11.333333333333334,0.05263157894736842,0,0
5,14,67,13.4,0,43,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T20:05:00.000+00:00,24,20,W,401547509,2023 Regular Season,DK Metcalf,2023,Regular Season,6,337.0,22.0,2.0,32.0,67.4,4.4,0.4,6.4,71.66666666666667,4.333333333333333,0.3333333333333333,7.0,17.25,0.08695652173913043,0,0
1,4,50,50.0,0,50,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,37,3,L,401547513,2023 Regular Season,DK Metcalf,2023,Regular Season,7,404.0,27.0,2.0,46.0,67.33333333333333,4.5,0.3333333333333333,7.666666666666667,56.666666666666664,4.0,0.3333333333333333,9.0,13.4,0.0625,0,0
7,12,98,14.0,0,27,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T21:25:00.000+00:00,29,26,W,401547535,2023 Regular Season,DK Metcalf,2023,Regular Season,8,454.0,28.0,2.0,50.0,64.85714285714286,4.0,0.2857142857142857,7.142857142857143,62.0,3.3333333333333335,0.0,9.0,50.0,0.043478260869565216,0,0
5,9,94,18.8,1,53,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T21:25:00.000+00:00,17,16,L,401547544,2023 Regular Season,DK Metcalf,2023,Regular Season,9,552.0,35.0,2.0,62.0,69.0,4.375,0.25,7.75,71.66666666666667,4.333333333333333,0.0,10.0,14.0,0.04,0,1
3,9,32,10.7,0,14,0,0,0.0,0,0,0,0,0,0,12,2023-11-24T01:20:00.000+00:00,13,31,L,401547553,2023 Regular Season,DK Metcalf,2023,Regular Season,10,646.0,40.0,3.0,71.0,71.77777777777777,4.444444444444445,0.3333333333333333,7.888888888888889,80.66666666666667,4.333333333333333,0.3333333333333333,8.333333333333334,18.8,0.03225806451612903,0,0
