receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
3,4,60,20.0,0,27,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,35,38,W,401437648,2022 Regular Season,Dallas Goedert,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
5,6,82,16.4,0,24,0,0,0.0,0,0,0,0,0,0,2,2022-09-20T00:30:00.000+00:00,24,7,W,401436832,2022 Regular Season,Dallas Goedert,2022,Regular Season,2,60.0,3.0,0.0,4.0,60.0,3.0,0.0,4.0,60.0,3.0,0.0,4.0,20.0,0.0,0,0
3,4,26,8.7,1,23,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,8,24,W,401437742,2022 Regular Season,Dallas Goedert,2022,Regular Season,3,142.0,8.0,0.0,10.0,71.0,4.0,0.0,5.0,71.0,4.0,0.0,5.0,16.4,0.0,0,1
5,6,72,14.4,0,26,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,29,21,W,401437756,2022 Regular Season,Dallas Goedert,2022,Regular Season,4,168.0,11.0,1.0,14.0,56.0,3.6666666666666665,0.3333333333333333,4.666666666666667,56.0,3.6666666666666665,0.3333333333333333,4.666666666666667,8.666666666666666,0.0,0,0
8,9,95,11.9,0,31,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T20:25:00.000+00:00,17,20,W,401437773,2022 Regular Season,Dallas Goedert,2022,Regular Season,5,240.0,16.0,1.0,20.0,60.0,4.0,0.25,5.0,60.0,4.333333333333333,0.3333333333333333,5.333333333333333,14.4,0.07142857142857142,0,0
2,6,22,11.0,0,14,0,0,0.0,0,0,0,0,0,0,6,2022-10-17T00:20:00.000+00:00,26,17,W,401437789,2022 Regular Season,Dallas Goedert,2022,Regular Season,6,335.0,24.0,1.0,29.0,67.0,4.8,0.2,5.8,64.33333333333333,5.333333333333333,0.3333333333333333,6.333333333333333,11.875,0.05,0,0
6,6,64,10.7,0,17,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,35,13,W,401437812,2022 Regular Season,Dallas Goedert,2022,Regular Season,7,357.0,26.0,1.0,35.0,59.5,4.333333333333333,0.16666666666666666,5.833333333333333,63.0,5.0,0.0,7.0,11.0,0.034482758620689655,0,0
8,9,100,12.5,1,21,0,0,0.0,0,0,0,0,0,0,9,2022-11-04T00:15:00.000+00:00,17,29,W,401437819,2022 Regular Season,Dallas Goedert,2022,Regular Season,8,421.0,32.0,1.0,41.0,60.142857142857146,4.571428571428571,0.14285714285714285,5.857142857142857,60.333333333333336,5.333333333333333,0.0,7.0,10.666666666666666,0.02857142857142857,0,1
3,3,23,7.7,1,15,0,0,0.0,0,0,1,1,0,0,10,2022-11-15T01:15:00.000+00:00,21,32,L,401437843,2022 Regular Season,Dallas Goedert,2022,Regular Season,9,521.0,40.0,2.0,50.0,65.125,5.0,0.25,6.25,62.0,5.333333333333333,0.3333333333333333,7.0,12.5,0.024390243902439025,0,1
3,3,67,22.3,0,25,0,0,0.0,0,0,0,0,0,0,16,2022-12-24T21:25:00.000+00:00,40,34,L,401437927,2022 Regular Season,Dallas Goedert,2022,Regular Season,10,544.0,43.0,3.0,53.0,60.44444444444444,4.777777777777778,0.3333333333333333,5.888888888888889,62.333333333333336,5.666666666666667,0.6666666666666666,6.0,7.666666666666667,0.04,0,0
3,6,45,15.0,0,18,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,10,20,L,401437940,2022 Regular Season,Dallas Goedert,2022,Regular Season,11,611.0,46.0,3.0,56.0,61.1,4.6,0.3,5.6,63.333333333333336,4.666666666666667,0.6666666666666666,5.0,22.333333333333332,0.05660377358490566,0,0
6,7,46,7.7,0,14,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T21:25:00.000+00:00,22,16,W,401437957,2022 Regular Season,Dallas Goedert,2022,Regular Season,12,656.0,49.0,3.0,62.0,59.63636363636363,4.454545454545454,0.2727272727272727,5.636363636363637,45.0,3.0,0.3333333333333333,4.0,15.0,0.05357142857142857,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T20:25:00.000+00:00,20,25,W,401547402,2023 Regular Season,Dallas Goedert,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
6,7,22,3.7,0,9,0,0,0.0,0,0,0,0,0,0,2,2023-09-15T00:15:00.000+00:00,34,28,W,401547410,2023 Regular Season,Dallas Goedert,2023,Regular Season,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
5,7,41,8.2,0,13,0,0,0.0,0,0,0,0,0,0,3,2023-09-25T23:15:00.000+00:00,11,25,W,401547440,2023 Regular Season,Dallas Goedert,2023,Regular Season,3,22.0,6.0,0.0,8.0,11.0,3.0,0.0,4.0,11.0,3.0,0.0,4.0,3.6666666666666665,0.0,0,0
2,4,25,12.5,0,17,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,34,31,W,401547451,2023 Regular Season,Dallas Goedert,2023,Regular Season,4,63.0,11.0,0.0,15.0,21.0,3.6666666666666665,0.0,5.0,21.0,3.6666666666666665,0.0,5.0,8.2,0.0,0,0
8,9,117,14.6,1,49,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T20:05:00.000+00:00,14,23,W,401547467,2023 Regular Season,Dallas Goedert,2023,Regular Season,5,88.0,13.0,0.0,19.0,22.0,3.25,0.0,4.75,29.333333333333332,4.333333333333333,0.0,6.0,12.5,0.0,0,1
5,8,42,8.4,0,13,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T20:25:00.000+00:00,20,14,L,401547480,2023 Regular Season,Dallas Goedert,2023,Regular Season,6,205.0,21.0,1.0,28.0,41.0,4.2,0.2,5.6,61.0,5.0,0.3333333333333333,6.666666666666667,14.625,0.0,0,0
5,5,77,15.4,1,22,0,0,0.0,0,0,0,0,0,0,7,2023-10-23T00:20:00.000+00:00,31,17,W,401547494,2023 Regular Season,Dallas Goedert,2023,Regular Season,7,247.0,26.0,1.0,36.0,41.166666666666664,4.333333333333333,0.16666666666666666,6.0,61.333333333333336,5.0,0.3333333333333333,7.0,8.4,0.03571428571428571,0,1
4,7,36,9.0,0,16,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,31,38,W,401547508,2023 Regular Season,Dallas Goedert,2023,Regular Season,8,324.0,31.0,2.0,41.0,46.285714285714285,4.428571428571429,0.2857142857142857,5.857142857142857,78.66666666666667,6.0,0.6666666666666666,7.333333333333333,15.4,0.027777777777777776,0,0
3,4,50,16.7,0,28,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T21:25:00.000+00:00,28,23,W,401547522,2023 Regular Season,Dallas Goedert,2023,Regular Season,9,360.0,35.0,2.0,48.0,45.0,4.375,0.25,6.0,51.666666666666664,4.666666666666667,0.3333333333333333,6.666666666666667,9.0,0.04878048780487805,0,0
4,4,30,7.5,0,15,0,0,0.0,0,0,0,0,0,0,14,2023-12-11T01:20:00.000+00:00,33,13,L,401547590,2023 Regular Season,Dallas Goedert,2023,Regular Season,10,410.0,38.0,2.0,52.0,45.55555555555556,4.222222222222222,0.2222222222222222,5.777777777777778,54.333333333333336,4.0,0.3333333333333333,5.333333333333333,16.666666666666668,0.041666666666666664,0,0
4,9,30,7.5,0,18,1,1,1.0,1,0,0,0,0,0,15,2023-12-19T01:15:00.000+00:00,20,17,L,401547601,2023 Regular Season,Dallas Goedert,2023,Regular Season,11,440.0,42.0,2.0,56.0,44.0,4.2,0.2,5.6,38.666666666666664,3.6666666666666665,0.0,5.0,7.5,0.038461538461538464,0,0
7,9,71,10.1,0,21,0,0,0.0,0,0,0,0,0,0,16,2023-12-25T21:30:00.000+00:00,33,25,W,401547241,2023 Regular Season,Dallas Goedert,2023,Regular Season,12,470.0,46.0,2.0,65.0,42.72727272727273,4.181818181818182,0.18181818181818182,5.909090909090909,36.666666666666664,3.6666666666666665,0.0,5.666666666666667,7.5,0.03571428571428571,0,0
