receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
4,4,26,6.5,0,9,0,0,0.0,0,0,0,0,0,0,1,2023-09-12T00:15:00.000+00:00,22,16,L,401547352,2023 Regular Season,Dalton Kincaid,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
5,6,43,8.6,0,14,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,38,10,W,401547411,2023 Regular Season,Dalton Kincaid,2023,Regular Season,2,26.0,4.0,0.0,4.0,26.0,4.0,0.0,4.0,26.0,4.0,0.0,4.0,6.5,0.0,0,0
2,2,3,1.5,0,4,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,3,37,W,401547431,2023 Regular Season,Dalton Kincaid,2023,Regular Season,3,69.0,9.0,0.0,10.0,34.5,4.5,0.0,5.0,34.5,4.5,0.0,5.0,8.6,0.0,0,0
4,5,27,6.8,0,9,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,48,20,W,401547443,2023 Regular Season,Dalton Kincaid,2023,Regular Season,4,72.0,11.0,0.0,12.0,24.0,3.6666666666666665,0.0,4.0,24.0,3.6666666666666665,0.0,4.0,1.5,0.0,0,0
2,2,19,9.5,0,14,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T13:30:00.000+00:00,20,25,L,401547228,2023 Regular Season,Dalton Kincaid,2023,Regular Season,5,99.0,15.0,0.0,17.0,24.75,3.75,0.0,4.25,24.333333333333332,3.6666666666666665,0.0,4.333333333333333,6.75,0.0,0,0
8,8,75,9.4,0,15,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T17:00:00.000+00:00,29,25,L,401547485,2023 Regular Season,Dalton Kincaid,2023,Regular Season,6,118.0,17.0,0.0,19.0,23.6,3.4,0.0,3.8,16.333333333333332,2.6666666666666665,0.0,3.0,9.5,0.0,0,0
5,7,65,13.0,1,22,0,0,0.0,0,0,0,0,0,0,8,2023-10-27T00:15:00.000+00:00,24,18,W,401547496,2023 Regular Season,Dalton Kincaid,2023,Regular Season,7,193.0,25.0,0.0,27.0,32.166666666666664,4.166666666666667,0.0,4.5,40.333333333333336,4.666666666666667,0.0,5.0,9.375,0.0,0,1
10,11,81,8.1,0,13,0,0,0.0,0,0,1,1,0,0,9,2023-11-06T01:20:00.000+00:00,24,18,L,401547523,2023 Regular Season,Dalton Kincaid,2023,Regular Season,8,258.0,30.0,1.0,34.0,36.857142857142854,4.285714285714286,0.14285714285714285,4.857142857142857,53.0,5.0,0.3333333333333333,5.666666666666667,13.0,0.0,0,0
5,6,51,10.2,1,22,0,0,0.0,0,0,0,0,0,0,10,2023-11-14T01:15:00.000+00:00,22,24,L,401547537,2023 Regular Season,Dalton Kincaid,2023,Regular Season,9,339.0,40.0,1.0,45.0,42.375,5.0,0.125,5.625,73.66666666666667,7.666666666666667,0.3333333333333333,8.666666666666666,8.1,0.029411764705882353,0,1
6,7,46,7.7,0,16,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T21:25:00.000+00:00,32,6,W,401547543,2023 Regular Season,Dalton Kincaid,2023,Regular Season,10,390.0,45.0,2.0,51.0,43.333333333333336,5.0,0.2222222222222222,5.666666666666667,65.66666666666667,6.666666666666667,0.6666666666666666,8.0,10.2,0.022222222222222223,0,0
