receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
7,9,62,8.9,0,14,0,0,0.0,0,0,0,0,0,0,1,2022-09-12T00:20:00.000+00:00,3,19,L,401437644,2022 Regular Season,Dalton Schultz,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
2,4,18,9.0,0,9,0,0,0.0,0,0,1,1,0,0,2,2022-09-18T20:25:00.000+00:00,20,17,W,401437734,2022 Regular Season,Dalton Schultz,2022,Regular Season,2,62.0,7.0,0.0,9.0,62.0,7.0,0.0,9.0,62.0,7.0,0.0,9.0,8.857142857142858,0.0,0,0
0,3,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,25,10,W,401437751,2022 Regular Season,Dalton Schultz,2022,Regular Season,3,80.0,9.0,0.0,13.0,40.0,4.5,0.0,6.5,40.0,4.5,0.0,6.5,9.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T20:25:00.000+00:00,10,22,W,401437774,2022 Regular Season,Dalton Schultz,2022,Regular Season,4,80.0,9.0,0.0,16.0,26.666666666666668,3.0,0.0,5.333333333333333,26.666666666666668,3.0,0.0,5.333333333333333,0.0,0.0,0,0
5,5,49,9.8,0,15,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,24,6,W,401437795,2022 Regular Season,Dalton Schultz,2022,Regular Season,5,80.0,9.0,0.0,17.0,20.0,2.25,0.0,4.25,6.0,0.6666666666666666,0.0,2.6666666666666665,0.0,0.0,0,0
6,7,74,12.3,0,30,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,49,29,W,401437807,2022 Regular Season,Dalton Schultz,2022,Regular Season,6,129.0,14.0,0.0,22.0,25.8,2.8,0.0,4.4,16.333333333333332,1.6666666666666667,0.0,3.0,9.8,0.0,0,0
6,8,54,9.0,1,16,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T21:25:00.000+00:00,31,28,L,401437131,2022 Regular Season,Dalton Schultz,2022,Regular Season,7,203.0,20.0,0.0,29.0,33.833333333333336,3.3333333333333335,0.0,4.833333333333333,41.0,3.6666666666666665,0.0,4.333333333333333,12.333333333333334,0.0,0,1
3,5,22,7.3,0,12,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T21:25:00.000+00:00,3,40,W,401437855,2022 Regular Season,Dalton Schultz,2022,Regular Season,8,257.0,26.0,1.0,37.0,36.714285714285715,3.7142857142857144,0.14285714285714285,5.285714285714286,59.0,5.666666666666667,0.3333333333333333,6.666666666666667,9.0,0.0,0,0
4,4,31,7.8,2,15,0,0,0.0,0,0,0,0,0,0,12,2022-11-24T21:30:00.000+00:00,28,20,W,401437858,2022 Regular Season,Dalton Schultz,2022,Regular Season,9,279.0,29.0,1.0,42.0,34.875,3.625,0.125,5.25,50.0,5.0,0.3333333333333333,6.666666666666667,7.333333333333333,0.02702702702702703,0,1
2,6,33,16.5,0,22,0,0,0.0,0,0,0,0,0,0,13,2022-12-05T01:20:00.000+00:00,54,19,W,401437886,2022 Regular Season,Dalton Schultz,2022,Regular Season,10,310.0,33.0,3.0,46.0,34.44444444444444,3.6666666666666665,0.3333333333333333,5.111111111111111,35.666666666666664,4.333333333333333,1.0,5.666666666666667,7.75,0.023809523809523808,0,0
6,10,87,14.5,0,22,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,27,23,W,401437891,2022 Regular Season,Dalton Schultz,2022,Regular Season,11,343.0,35.0,3.0,52.0,34.3,3.5,0.3,5.2,28.666666666666668,3.0,0.6666666666666666,5.0,16.5,0.06521739130434782,0,0
2,4,15,7.5,0,9,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T18:00:00.000+00:00,40,34,L,401437910,2022 Regular Season,Dalton Schultz,2022,Regular Season,12,430.0,41.0,3.0,62.0,39.09090909090909,3.727272727272727,0.2727272727272727,5.636363636363637,50.333333333333336,4.0,0.6666666666666666,6.666666666666667,14.5,0.057692307692307696,0,0
3,4,43,14.3,0,21,0,0,0.0,0,0,0,0,0,0,16,2022-12-24T21:25:00.000+00:00,40,34,W,401437927,2022 Regular Season,Dalton Schultz,2022,Regular Season,13,445.0,43.0,3.0,66.0,37.083333333333336,3.5833333333333335,0.25,5.5,45.0,3.3333333333333335,0.0,6.666666666666667,7.5,0.04838709677419355,0,0
7,10,56,8.0,2,13,0,0,0.0,0,0,0,0,0,0,17,2022-12-30T01:15:00.000+00:00,13,27,W,401437932,2022 Regular Season,Dalton Schultz,2022,Regular Season,14,488.0,46.0,3.0,70.0,37.53846153846154,3.5384615384615383,0.23076923076923078,5.384615384615385,48.333333333333336,3.6666666666666665,0.0,6.0,14.333333333333334,0.045454545454545456,0,1
4,9,33,8.3,0,12,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T21:25:00.000+00:00,26,6,L,401437959,2022 Regular Season,Dalton Schultz,2022,Regular Season,15,544.0,53.0,5.0,80.0,38.857142857142854,3.7857142857142856,0.35714285714285715,5.714285714285714,38.0,4.0,0.6666666666666666,6.0,8.0,0.04285714285714286,0,0
2,4,4,2.0,0,5,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,25,9,L,401547396,2023 Regular Season,Dalton Schultz,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
