receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,20,21,W,401437640,2022 Regular Season,Daniel Bellinger,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,1,16,16.0,1,16,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,19,16,W,401437645,2022 Regular Season,Daniel Bellinger,2022,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
4,5,40,10.0,0,20,0,0,0.0,0,0,0,0,0,0,3,2022-09-27T00:15:00.000+00:00,16,23,L,401437747,2022 Regular Season,Daniel Bellinger,2022,Regular Season,3,16.0,1.0,1.0,1.0,8.0,0.5,0.5,0.5,8.0,0.5,0.5,0.5,16.0,0.0,0,0
3,3,23,7.7,0,12,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,20,12,W,401437755,2022 Regular Season,Daniel Bellinger,2022,Regular Season,4,56.0,5.0,1.0,6.0,18.666666666666668,1.6666666666666667,0.3333333333333333,2.0,18.666666666666668,1.6666666666666667,0.3333333333333333,2.0,10.0,1.0,0,0
2,3,22,11.0,0,11,1,2,2.0,2,1,0,0,0,0,5,2022-10-09T13:30:00.000+00:00,22,27,W,401435640,2022 Regular Season,Daniel Bellinger,2022,Regular Season,5,79.0,8.0,1.0,9.0,19.75,2.0,0.25,2.25,26.333333333333332,2.6666666666666665,0.3333333333333333,3.0,7.666666666666667,0.16666666666666666,0,0
5,5,38,7.6,1,10,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,24,20,W,401437784,2022 Regular Season,Daniel Bellinger,2022,Regular Season,6,101.0,10.0,1.0,12.0,20.2,2.0,0.2,2.4,28.333333333333332,3.0,0.0,3.6666666666666665,11.0,0.1111111111111111,0,1
1,1,13,13.0,0,13,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,17,23,W,401437796,2022 Regular Season,Daniel Bellinger,2022,Regular Season,7,139.0,15.0,2.0,17.0,23.166666666666668,2.5,0.3333333333333333,2.8333333333333335,27.666666666666668,3.3333333333333335,0.3333333333333333,3.6666666666666665,7.6,0.08333333333333333,0,0
5,5,24,4.8,0,8,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,20,20,T,401437880,2022 Regular Season,Daniel Bellinger,2022,Regular Season,8,152.0,16.0,2.0,18.0,21.714285714285715,2.2857142857142856,0.2857142857142857,2.5714285714285716,24.333333333333332,2.6666666666666665,0.3333333333333333,3.0,13.0,0.11764705882352941,0,0
3,3,19,6.3,0,11,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,22,48,L,401437893,2022 Regular Season,Daniel Bellinger,2022,Regular Season,9,176.0,21.0,2.0,23.0,22.0,2.625,0.25,2.875,25.0,3.6666666666666665,0.3333333333333333,3.6666666666666665,4.8,0.1111111111111111,0,0
1,4,4,4.0,0,4,0,0,0.0,0,0,0,0,0,0,15,2022-12-19T01:20:00.000+00:00,12,20,W,401437906,2022 Regular Season,Daniel Bellinger,2022,Regular Season,10,195.0,24.0,2.0,26.0,21.666666666666668,2.6666666666666665,0.2222222222222222,2.888888888888889,18.666666666666668,3.0,0.0,3.0,6.333333333333333,0.08695652173913043,0,0
2,2,27,13.5,0,15,0,0,0.0,0,0,1,1,0,0,16,2022-12-24T18:00:00.000+00:00,27,24,L,401437923,2022 Regular Season,Daniel Bellinger,2022,Regular Season,11,199.0,25.0,2.0,30.0,19.9,2.5,0.2,3.0,15.666666666666666,3.0,0.0,4.0,4.0,0.07692307692307693,0,0
3,3,42,14.0,0,24,0,0,0.0,0,0,0,0,0,0,17,2023-01-01T18:00:00.000+00:00,38,10,W,401437939,2022 Regular Season,Daniel Bellinger,2022,Regular Season,12,226.0,27.0,2.0,32.0,20.545454545454547,2.4545454545454546,0.18181818181818182,2.909090909090909,16.666666666666668,2.0,0.0,3.0,13.5,0.06666666666666667,0,0
1,1,1,1.0,0,1,0,0,0.0,0,0,0,0,0,0,1,2023-09-11T00:20:00.000+00:00,0,40,L,401547409,2023 Regular Season,Daniel Bellinger,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T20:05:00.000+00:00,28,31,W,401547421,2023 Regular Season,Daniel Bellinger,2023,Regular Season,2,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0
1,1,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,3,2023-09-22T00:15:00.000+00:00,30,12,L,401547426,2023 Regular Season,Daniel Bellinger,2023,Regular Season,3,1.0,1.0,0.0,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0,0
1,1,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,4,2023-10-03T00:15:00.000+00:00,3,24,L,401547456,2023 Regular Season,Daniel Bellinger,2023,Regular Season,4,9.0,2.0,0.0,2.0,3.0,0.6666666666666666,0.0,0.6666666666666666,3.0,0.6666666666666666,0.0,0.6666666666666666,8.0,0.0,0,0
1,1,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,31,16,L,401547465,2023 Regular Season,Daniel Bellinger,2023,Regular Season,5,15.0,3.0,0.0,3.0,3.75,0.75,0.0,0.75,4.666666666666667,0.6666666666666666,0.0,0.6666666666666666,6.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,-,-,6,2023-10-16T00:20:00.000+00:00,14,9,L,401547481,2023 Regular Season,Daniel Bellinger,2023,Regular Season,6,22.0,4.0,0.0,4.0,4.4,0.8,0.0,0.8,7.0,1.0,0.0,1.0,7.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T17:00:00.000+00:00,14,7,W,401547486,2023 Regular Season,Daniel Bellinger,2023,Regular Season,7,22.0,4.0,0.0,4.0,3.6666666666666665,0.6666666666666666,0.0,0.6666666666666666,4.333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,10,13,L,401547498,2023 Regular Season,Daniel Bellinger,2023,Regular Season,8,22.0,4.0,0.0,4.0,3.142857142857143,0.5714285714285714,0.0,0.5714285714285714,2.3333333333333335,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,0
