receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,19,16,W,401437645,2022 Regular Season,Darius Slayton,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2022-09-27T00:15:00.000+00:00,16,23,L,401437747,2022 Regular Season,Darius Slayton,2022,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,2,11,11.0,0,11,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,20,12,W,401437755,2022 Regular Season,Darius Slayton,2022,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6,7,79,13.2,0,26,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T13:30:00.000+00:00,22,27,W,401435640,2022 Regular Season,Darius Slayton,2022,Regular Season,4,11.0,1.0,0.0,2.0,3.6666666666666665,0.3333333333333333,0.0,0.6666666666666666,3.6666666666666665,0.3333333333333333,0.0,0.6666666666666666,11.0,0.0,0,0
1,3,18,18.0,0,18,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,24,20,W,401437784,2022 Regular Season,Darius Slayton,2022,Regular Season,5,90.0,7.0,0.0,9.0,22.5,1.75,0.0,2.25,30.0,2.3333333333333335,0.0,3.0,13.166666666666666,0.0,0,0
3,6,58,19.3,1,32,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,17,23,W,401437796,2022 Regular Season,Darius Slayton,2022,Regular Season,6,108.0,8.0,0.0,12.0,21.6,1.6,0.0,2.4,36.0,2.6666666666666665,0.0,4.0,18.0,0.0,0,1
5,6,66,13.2,0,21,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T20:25:00.000+00:00,27,13,L,401437816,2022 Regular Season,Darius Slayton,2022,Regular Season,7,166.0,11.0,1.0,18.0,27.666666666666668,1.8333333333333333,0.16666666666666666,3.0,51.666666666666664,3.3333333333333335,0.3333333333333333,5.333333333333333,19.333333333333332,0.0,0,0
3,4,95,31.7,1,54,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,24,16,W,401437837,2022 Regular Season,Darius Slayton,2022,Regular Season,8,232.0,16.0,1.0,24.0,33.142857142857146,2.2857142857142856,0.14285714285714285,3.4285714285714284,47.333333333333336,3.0,0.3333333333333333,5.0,13.2,0.05555555555555555,0,1
5,10,86,17.2,0,24,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,18,31,L,401437852,2022 Regular Season,Darius Slayton,2022,Regular Season,9,327.0,19.0,2.0,28.0,40.875,2.375,0.25,3.5,73.0,3.6666666666666665,0.6666666666666666,5.333333333333333,31.666666666666668,0.041666666666666664,0,0
3,6,63,21.0,0,44,0,0,0.0,0,0,0,0,0,0,12,2022-11-24T21:30:00.000+00:00,28,20,L,401437858,2022 Regular Season,Darius Slayton,2022,Regular Season,10,413.0,24.0,2.0,38.0,45.888888888888886,2.6666666666666665,0.2222222222222222,4.222222222222222,82.33333333333333,4.333333333333333,0.3333333333333333,6.666666666666667,17.2,0.07142857142857142,0,0
6,8,90,15.0,0,55,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T18:00:00.000+00:00,20,20,T,401437880,2022 Regular Season,Darius Slayton,2022,Regular Season,11,476.0,27.0,2.0,44.0,47.6,2.7,0.2,4.4,81.33333333333333,3.6666666666666665,0.3333333333333333,6.666666666666667,21.0,0.05263157894736842,0,0
2,3,42,21.0,0,37,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,22,48,L,401437893,2022 Regular Season,Darius Slayton,2022,Regular Season,12,566.0,33.0,2.0,52.0,51.45454545454545,3.0,0.18181818181818182,4.7272727272727275,79.66666666666667,4.666666666666667,0.0,8.0,15.0,0.045454545454545456,0,0
5,7,23,4.6,0,7,0,0,0.0,0,0,1,0,0,0,15,2022-12-19T01:20:00.000+00:00,12,20,W,401437906,2022 Regular Season,Darius Slayton,2022,Regular Season,13,608.0,35.0,2.0,55.0,50.666666666666664,2.9166666666666665,0.16666666666666666,4.583333333333333,65.0,3.6666666666666665,0.0,5.666666666666667,21.0,0.038461538461538464,0,0
