receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,3,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,19,10,W,401437647,2022 Regular Season,Darnell Mooney,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
1,2,-4,-4.0,0,-4,0,0,0.0,0,0,0,0,0,0,2,2022-09-19T00:20:00.000+00:00,27,10,L,401437606,2022 Regular Season,Darnell Mooney,2022,Regular Season,2,8.0,1.0,0.0,3.0,8.0,1.0,0.0,3.0,8.0,1.0,0.0,3.0,8.0,0.0,0,0
2,6,23,11.5,0,18,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,23,20,W,401437737,2022 Regular Season,Darnell Mooney,2022,Regular Season,3,4.0,2.0,0.0,5.0,2.0,1.0,0.0,2.5,2.0,1.0,0.0,2.5,-4.0,0.0,0,0
4,5,94,23.5,0,56,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,20,12,L,401437755,2022 Regular Season,Darnell Mooney,2022,Regular Season,4,27.0,4.0,0.0,11.0,9.0,1.3333333333333333,0.0,3.6666666666666665,9.0,1.3333333333333333,0.0,3.6666666666666665,11.5,0.0,0,0
2,5,52,26.0,0,39,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,29,22,L,401437766,2022 Regular Season,Darnell Mooney,2022,Regular Season,5,121.0,8.0,0.0,16.0,30.25,2.0,0.0,4.0,37.666666666666664,2.3333333333333335,0.0,4.333333333333333,23.5,0.0,0,0
7,12,68,9.7,0,26,0,0,0.0,0,0,0,0,0,0,6,2022-10-14T00:15:00.000+00:00,7,12,L,401437777,2022 Regular Season,Darnell Mooney,2022,Regular Season,6,173.0,10.0,0.0,21.0,34.6,2.0,0.0,4.2,56.333333333333336,2.6666666666666665,0.0,5.333333333333333,26.0,0.0,0,0
3,6,53,17.7,0,20,0,0,0.0,0,0,0,0,0,0,7,2022-10-25T00:15:00.000+00:00,14,33,W,401437804,2022 Regular Season,Darnell Mooney,2022,Regular Season,7,241.0,17.0,0.0,33.0,40.166666666666664,2.8333333333333335,0.0,5.5,71.33333333333333,4.333333333333333,0.0,7.333333333333333,9.714285714285714,0.0,0,0
5,5,70,14.0,0,36,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,49,29,L,401437807,2022 Regular Season,Darnell Mooney,2022,Regular Season,8,294.0,20.0,0.0,39.0,42.0,2.857142857142857,0.0,5.571428571428571,57.666666666666664,4.0,0.0,7.666666666666667,17.666666666666668,0.0,0,0
7,8,43,6.1,1,16,1,2,2.0,2,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,32,35,L,401437821,2022 Regular Season,Darnell Mooney,2022,Regular Season,9,364.0,25.0,0.0,44.0,45.5,3.125,0.0,5.5,63.666666666666664,5.0,0.0,7.666666666666667,14.0,0.0,0,1
4,4,57,14.3,0,22,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,30,31,L,401437834,2022 Regular Season,Darnell Mooney,2022,Regular Season,10,407.0,32.0,1.0,52.0,45.22222222222222,3.5555555555555554,0.1111111111111111,5.777777777777778,55.333333333333336,5.0,0.3333333333333333,6.333333333333333,6.142857142857143,0.0,0,0
