receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,7,30,L,401547405,2023 Regular Season,Darnell Washington,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2023-09-19T00:15:00.000+00:00,26,22,W,401547424,2023 Regular Season,Darnell Washington,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2023-09-25T00:20:00.000+00:00,18,23,W,401547439,2023 Regular Season,Darnell Washington,2023,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,10,10.0,0,10,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,30,6,L,401547446,2023 Regular Season,Darnell Washington,2023,Regular Season,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T17:00:00.000+00:00,17,10,W,401547460,2023 Regular Season,Darnell Washington,2023,Regular Season,5,10.0,1.0,0.0,1.0,2.5,0.25,0.0,0.25,3.3333333333333335,0.3333333333333333,0.0,0.3333333333333333,10.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T20:05:00.000+00:00,17,24,W,401547492,2023 Regular Season,Darnell Washington,2023,Regular Season,6,10.0,1.0,0.0,3.0,2.0,0.2,0.0,0.6,3.3333333333333335,0.3333333333333333,0.0,1.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,10,20,L,401547499,2023 Regular Season,Darnell Washington,2023,Regular Season,7,10.0,1.0,0.0,3.0,1.6666666666666667,0.16666666666666666,0.0,0.5,3.3333333333333335,0.3333333333333333,0.0,1.0,0.0,0.0,0,0
1,1,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,9,2023-11-03T00:15:00.000+00:00,20,16,W,401547512,2023 Regular Season,Darnell Washington,2023,Regular Season,8,10.0,1.0,0.0,3.0,1.4285714285714286,0.14285714285714285,0.0,0.42857142857142855,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0,0
1,1,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,10,2023-11-12T18:00:00.000+00:00,23,19,W,401547527,2023 Regular Season,Darnell Washington,2023,Regular Season,9,17.0,2.0,0.0,4.0,2.125,0.25,0.0,0.5,2.3333333333333335,0.3333333333333333,0.0,0.3333333333333333,7.0,0.0,0,0
1,1,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T18:00:00.000+00:00,13,10,L,401547539,2023 Regular Season,Darnell Washington,2023,Regular Season,10,23.0,3.0,0.0,5.0,2.5555555555555554,0.3333333333333333,0.0,0.5555555555555556,4.333333333333333,0.6666666666666666,0.0,0.6666666666666666,6.0,0.0,0,0
1,1,10,10.0,0,10,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T18:00:00.000+00:00,10,16,W,401547554,2023 Regular Season,Darnell Washington,2023,Regular Season,11,31.0,4.0,0.0,6.0,3.1,0.4,0.0,0.6,7.0,1.0,0.0,1.0,8.0,0.0,0,0
