receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
10,17,141,14.1,1,41,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,24,19,L,401437643,2022 Regular Season,Davante Adams,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2,7,12,6.0,1,11,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T20:25:00.000+00:00,23,29,L,401437642,2022 Regular Season,Davante Adams,2022,Regular Season,2,141.0,10.0,1.0,17.0,141.0,10.0,1.0,17.0,141.0,10.0,1.0,17.0,14.1,0.0,0,1
5,10,36,7.2,1,18,1,-4,-4.0,-4,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,24,22,L,401437741,2022 Regular Season,Davante Adams,2022,Regular Season,3,153.0,12.0,2.0,24.0,76.5,6.0,1.0,12.0,76.5,6.0,1.0,12.0,6.0,0.058823529411764705,0,1
9,13,101,11.2,0,20,1,4,4.0,4,0,0,0,0,0,4,2022-10-02T20:25:00.000+00:00,32,23,W,401437760,2022 Regular Season,Davante Adams,2022,Regular Season,4,189.0,17.0,3.0,34.0,63.0,5.666666666666667,1.0,11.333333333333334,63.0,5.666666666666667,1.0,11.333333333333334,7.2,0.08333333333333333,0,0
3,7,124,41.3,2,58,0,0,0.0,0,0,1,0,0,0,5,2022-10-11T00:15:00.000+00:00,30,29,L,401437776,2022 Regular Season,Davante Adams,2022,Regular Season,5,290.0,26.0,3.0,47.0,72.5,6.5,0.75,11.75,49.666666666666664,5.333333333333333,0.6666666666666666,10.0,11.222222222222221,0.08823529411764706,0,1
8,9,95,11.9,0,16,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T20:05:00.000+00:00,38,20,W,401437800,2022 Regular Season,Davante Adams,2022,Regular Season,6,414.0,29.0,5.0,54.0,82.8,5.8,1.0,10.8,87.0,5.666666666666667,1.0,10.0,41.333333333333336,0.06382978723404255,0,0
1,5,3,3.0,0,3,1,-1,-1.0,-1,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,24,0,L,401437810,2022 Regular Season,Davante Adams,2022,Regular Season,7,509.0,37.0,5.0,63.0,84.83333333333333,6.166666666666667,0.8333333333333334,10.5,106.66666666666667,6.666666666666667,0.6666666666666666,9.666666666666666,11.875,0.09259259259259259,0,0
10,17,146,14.6,2,38,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,27,20,L,401437824,2022 Regular Season,Davante Adams,2022,Regular Season,8,512.0,38.0,5.0,68.0,73.14285714285714,5.428571428571429,0.7142857142857143,9.714285714285714,74.0,4.0,0.6666666666666666,7.0,3.0,0.07936507936507936,0,1
9,14,126,14.0,1,48,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T21:05:00.000+00:00,20,25,L,401437840,2022 Regular Season,Davante Adams,2022,Regular Season,9,658.0,48.0,7.0,85.0,82.25,6.0,0.875,10.625,81.33333333333333,6.333333333333333,0.6666666666666666,10.333333333333334,14.6,0.07352941176470588,0,1
7,13,141,20.1,2,35,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T21:05:00.000+00:00,16,22,W,401437853,2022 Regular Season,Davante Adams,2022,Regular Season,10,784.0,57.0,8.0,99.0,87.11111111111111,6.333333333333333,0.8888888888888888,11.0,91.66666666666667,6.666666666666667,1.0,12.0,14.0,0.08235294117647059,0,1
7,11,74,10.6,0,28,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T21:05:00.000+00:00,34,40,W,401437868,2022 Regular Season,Davante Adams,2022,Regular Season,11,925.0,64.0,10.0,112.0,92.5,6.4,1.0,11.2,137.66666666666666,8.666666666666666,1.6666666666666667,14.666666666666666,20.142857142857142,0.08080808080808081,0,0
