receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T18:00:00.000+00:00,27,20,L,401547556,2023 Regular Season,David Moore,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,13,2023-12-03T21:05:00.000+00:00,21,18,W,401547569,2023 Regular Season,David Moore,2023,Regular Season,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
1,1,11,11.0,0,11,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T18:00:00.000+00:00,25,29,W,401547579,2023 Regular Season,David Moore,2023,Regular Season,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0,0
2,2,68,34.0,1,52,0,0,0.0,0,0,0,0,0,0,15,2023-12-17T18:00:00.000+00:00,20,34,W,401547598,2023 Regular Season,David Moore,2023,Regular Season,4,11.0,1.0,0.0,2.0,3.6666666666666665,0.3333333333333333,0.0,0.6666666666666666,3.6666666666666665,0.3333333333333333,0.0,0.6666666666666666,11.0,0.0,0,1
1,1,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,16,2023-12-24T21:05:00.000+00:00,30,12,W,401547615,2023 Regular Season,David Moore,2023,Regular Season,5,79.0,3.0,1.0,4.0,19.75,0.75,0.25,1.0,26.333333333333332,1.0,0.3333333333333333,1.0,34.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,17,2023-12-31T18:00:00.000+00:00,13,23,L,401547634,2023 Regular Season,David Moore,2023,Regular Season,6,86.0,4.0,1.0,5.0,17.2,0.8,0.2,1.0,28.666666666666668,1.3333333333333333,0.3333333333333333,1.3333333333333333,7.0,0.25,0,0
1,1,8,8.0,0,8,0,0,0.0,0,0,0,0,0,0,18,2024-01-07T18:00:00.000+00:00,0,9,W,401547640,2023 Regular Season,David Moore,2023,Regular Season,7,86.0,4.0,1.0,6.0,14.333333333333334,0.6666666666666666,0.16666666666666666,1.0,25.0,1.0,0.3333333333333333,1.3333333333333333,0.0,0.2,0,0
1,3,14,14.0,0,14,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T17:00:00.000+00:00,47,10,L,401671734,2024 Regular Season,David Moore,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2024-09-15T17:00:00.000+00:00,3,26,L,401671652,2024 Regular Season,David Moore,2024,Regular Season,2,14.0,1.0,0.0,3.0,14.0,1.0,0.0,3.0,14.0,1.0,0.0,3.0,14.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,3,2024-09-22T20:05:00.000+00:00,22,36,W,401671658,2024 Regular Season,David Moore,2024,Regular Season,3,14.0,1.0,0.0,4.0,7.0,0.5,0.0,2.0,7.0,0.5,0.0,2.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T17:00:00.000+00:00,24,34,L,401671745,2024 Regular Season,David Moore,2024,Regular Season,4,14.0,1.0,0.0,4.0,4.666666666666667,0.3333333333333333,0.0,1.3333333333333333,4.666666666666667,0.3333333333333333,0.0,1.3333333333333333,0.0,0.0,0,0
2,3,13,6.5,0,7,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T17:00:00.000+00:00,36,10,L,401671872,2024 Regular Season,David Moore,2024,Regular Season,5,14.0,1.0,0.0,4.0,3.5,0.25,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0
2,2,17,8.5,0,9,0,0,0.0,0,0,0,0,0,0,6,2024-10-13T20:25:00.000+00:00,20,38,L,401671769,2024 Regular Season,David Moore,2024,Regular Season,6,27.0,3.0,0.0,7.0,5.4,0.6,0.0,1.4,4.333333333333333,0.6666666666666666,0.0,1.0,6.5,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T20:05:00.000+00:00,40,7,L,401671640,2024 Regular Season,David Moore,2024,Regular Season,7,44.0,5.0,0.0,9.0,7.333333333333333,0.8333333333333334,0.0,1.5,10.0,1.3333333333333333,0.0,1.6666666666666667,8.5,0.0,0,0
4,5,39,9.8,0,13,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T20:25:00.000+00:00,28,14,L,401671600,2024 Regular Season,David Moore,2024,Regular Season,8,44.0,5.0,0.0,9.0,6.285714285714286,0.7142857142857143,0.0,1.2857142857142858,10.0,1.3333333333333333,0.0,1.6666666666666667,0.0,0.0,0,0
2,4,20,10.0,0,11,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T18:00:00.000+00:00,23,22,W,401671650,2024 Regular Season,David Moore,2024,Regular Season,9,83.0,9.0,0.0,14.0,10.375,1.125,0.0,1.75,18.666666666666668,2.0,0.0,2.3333333333333335,9.75,0.0,0,0
2,4,18,9.0,0,13,0,0,0.0,0,0,0,0,0,0,10,2024-11-10T14:30:00.000+00:00,20,17,W,401671803,2024 Regular Season,David Moore,2024,Regular Season,10,103.0,11.0,0.0,18.0,11.444444444444445,1.2222222222222223,0.0,2.0,19.666666666666668,2.0,0.0,3.0,10.0,0.0,0,0
6,10,81,13.5,1,21,0,0,0.0,0,0,0,0,-,-,12,2024-11-24T18:00:00.000+00:00,27,30,L,401671651,2024 Regular Season,David Moore,2024,Regular Season,11,121.0,13.0,0.0,22.0,12.1,1.3,0.0,2.2,25.666666666666668,2.6666666666666665,0.0,4.333333333333333,9.0,0.0,0,1
5,9,40,8.0,0,10,0,0,0.0,0,0,0,0,-,-,13,2024-12-01T21:05:00.000+00:00,23,26,L,401671752,2024 Regular Season,David Moore,2024,Regular Season,12,202.0,19.0,1.0,32.0,18.363636363636363,1.7272727272727273,0.09090909090909091,2.909090909090909,39.666666666666664,3.3333333333333335,0.3333333333333333,6.0,13.5,0.0,0,0
