receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,1,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T17:00:00.000+00:00,24,26,W,401437651,2022 Regular Season,David Njoku,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3,5,32,10.7,0,15,0,0,0.0,0,0,0,0,0,0,2,2022-09-18T17:00:00.000+00:00,30,31,L,401437635,2022 Regular Season,David Njoku,2022,Regular Season,2,7.0,1.0,0.0,1.0,7.0,1.0,0.0,1.0,7.0,1.0,0.0,1.0,7.0,0.0,0,0
9,10,89,9.9,1,19,0,0,0.0,0,0,0,0,0,0,3,2022-09-23T00:15:00.000+00:00,29,17,W,401437735,2022 Regular Season,David Njoku,2022,Regular Season,3,39.0,4.0,0.0,6.0,19.5,2.0,0.0,3.0,19.5,2.0,0.0,3.0,10.666666666666666,0.0,0,1
5,7,73,14.6,0,25,1,-6,-6.0,-6,0,1,1,0,0,4,2022-10-02T17:00:00.000+00:00,23,20,L,401437749,2022 Regular Season,David Njoku,2022,Regular Season,4,128.0,13.0,1.0,16.0,42.666666666666664,4.333333333333333,0.3333333333333333,5.333333333333333,42.666666666666664,4.333333333333333,0.3333333333333333,5.333333333333333,9.88888888888889,0.0,0,0
6,6,88,14.7,0,38,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,28,30,L,401437764,2022 Regular Season,David Njoku,2022,Regular Season,5,201.0,18.0,1.0,23.0,50.25,4.5,0.25,5.75,64.66666666666667,5.666666666666667,0.3333333333333333,7.333333333333333,14.6,0.0625,0,0
3,6,58,19.3,0,33,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T17:00:00.000+00:00,15,38,L,401437779,2022 Regular Season,David Njoku,2022,Regular Season,6,289.0,24.0,1.0,29.0,57.8,4.8,0.2,5.8,83.33333333333333,6.666666666666667,0.3333333333333333,7.666666666666667,14.666666666666666,0.043478260869565216,0,0
7,7,71,10.1,0,22,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T17:00:00.000+00:00,23,20,L,401437792,2022 Regular Season,David Njoku,2022,Regular Season,7,347.0,27.0,1.0,35.0,57.833333333333336,4.5,0.16666666666666666,5.833333333333333,73.0,4.666666666666667,0.0,6.333333333333333,19.333333333333332,0.034482758620689655,0,0
2,3,17,8.5,0,21,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,31,23,L,401437847,2022 Regular Season,David Njoku,2022,Regular Season,8,418.0,34.0,1.0,42.0,59.714285714285715,4.857142857142857,0.14285714285714285,6.0,72.33333333333333,5.333333333333333,0.0,6.333333333333333,10.142857142857142,0.02857142857142857,0,0
5,7,29,5.8,1,12,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T18:00:00.000+00:00,23,17,W,401437861,2022 Regular Season,David Njoku,2022,Regular Season,9,435.0,36.0,1.0,45.0,54.375,4.5,0.125,5.625,48.666666666666664,4.0,0.0,5.333333333333333,8.5,0.023809523809523808,0,1
7,9,59,8.4,1,14,1,-2,-2.0,-2,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,23,10,L,401437890,2022 Regular Season,David Njoku,2022,Regular Season,10,464.0,41.0,2.0,52.0,51.55555555555556,4.555555555555555,0.2222222222222222,5.777777777777778,39.0,4.666666666666667,0.3333333333333333,5.666666666666667,5.8,0.022222222222222223,0,1
