receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T20:25:00.000+00:00,13,30,W,401547408,2023 Regular Season,Davis Allen,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,23,29,W,401547449,2023 Regular Season,Davis Allen,2023,Regular Season,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T20:05:00.000+00:00,14,23,L,401547467,2023 Regular Season,Davis Allen,2023,Regular Season,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,6,2023-10-15T20:25:00.000+00:00,26,9,W,401547479,2023 Regular Season,Davis Allen,2023,Regular Season,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T20:05:00.000+00:00,17,24,L,401547492,2023 Regular Season,Davis Allen,2023,Regular Season,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2023-10-29T17:00:00.000+00:00,43,20,L,401547505,2023 Regular Season,Davis Allen,2023,Regular Season,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,9,2023-11-05T18:00:00.000+00:00,20,3,L,401547519,2023 Regular Season,Davis Allen,2023,Regular Season,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2023-11-19T21:25:00.000+00:00,17,16,W,401547544,2023 Regular Season,Davis Allen,2023,Regular Season,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,6,6.0,0,6,0,0,0.0,0,0,0,0,0,0,12,2023-11-26T21:05:00.000+00:00,14,37,W,401547562,2023 Regular Season,Davis Allen,2023,Regular Season,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,13,2023-12-03T21:25:00.000+00:00,36,19,W,401547575,2023 Regular Season,Davis Allen,2023,Regular Season,10,6.0,1.0,0.0,1.0,0.6666666666666666,0.1111111111111111,0.0,0.1111111111111111,2.0,0.3333333333333333,0.0,0.3333333333333333,6.0,0.0,0,0
4,5,50,12.5,1,21,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T18:00:00.000+00:00,37,31,L,401547585,2023 Regular Season,Davis Allen,2023,Regular Season,11,6.0,1.0,0.0,1.0,0.6,0.1,0.0,0.1,2.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0,1
1,1,14,14.0,0,14,0,0,0.0,0,0,0,0,0,0,15,2023-12-17T21:05:00.000+00:00,28,20,W,401547597,2023 Regular Season,Davis Allen,2023,Regular Season,12,56.0,5.0,1.0,6.0,5.090909090909091,0.45454545454545453,0.09090909090909091,0.5454545454545454,18.666666666666668,1.6666666666666667,0.3333333333333333,2.0,12.5,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,16,2023-12-22T01:15:00.000+00:00,30,22,W,401547609,2023 Regular Season,Davis Allen,2023,Regular Season,13,70.0,6.0,1.0,7.0,5.833333333333333,0.5,0.08333333333333333,0.5833333333333334,21.333333333333332,1.6666666666666667,0.3333333333333333,2.0,14.0,0.16666666666666666,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,17,2023-12-31T18:00:00.000+00:00,25,26,W,401547632,2023 Regular Season,Davis Allen,2023,Regular Season,14,70.0,6.0,1.0,7.0,5.384615384615385,0.46153846153846156,0.07692307692307693,0.5384615384615384,21.333333333333332,1.6666666666666667,0.3333333333333333,2.0,0.0,0.14285714285714285,0,0
4,4,25,6.3,0,10,0,0,0.0,0,0,0,0,0,0,18,2024-01-07T21:25:00.000+00:00,20,21,W,401547651,2023 Regular Season,Davis Allen,2023,Regular Season,15,70.0,6.0,1.0,7.0,5.0,0.42857142857142855,0.07142857142857142,0.5,4.666666666666667,0.3333333333333333,0.0,0.3333333333333333,0.0,0.14285714285714285,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,1,2024-09-09T00:20:00.000+00:00,26,20,L,401671792,2024 Regular Season,Davis Allen,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2024-09-29T17:00:00.000+00:00,24,18,L,401671871,2024 Regular Season,Davis Allen,2024,Regular Season,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T20:25:00.000+00:00,19,24,L,401671679,2024 Regular Season,Davis Allen,2024,Regular Season,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T20:05:00.000+00:00,20,15,W,401671663,2024 Regular Season,Davis Allen,2024,Regular Season,4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,-,-,8,2024-10-25T00:15:00.000+00:00,30,20,W,401671817,2024 Regular Season,Davis Allen,2024,Regular Season,5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0
1,3,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T21:25:00.000+00:00,20,26,W,401671776,2024 Regular Season,Davis Allen,2024,Regular Season,6,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0
5,6,34,6.8,0,13,0,0,0.0,0,0,0,0,0,0,10,2024-11-12T01:15:00.000+00:00,15,23,L,401671693,2024 Regular Season,Davis Allen,2024,Regular Season,7,5.0,1.0,0.0,5.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,1.6666666666666667,0.3333333333333333,0.0,1.0,5.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,11,2024-11-17T18:00:00.000+00:00,22,28,W,401671701,2024 Regular Season,Davis Allen,2024,Regular Season,8,39.0,6.0,0.0,11.0,5.571428571428571,0.8571428571428571,0.0,1.5714285714285714,13.0,2.0,0.0,3.0,6.8,0.0,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,-,-,12,2024-11-25T01:20:00.000+00:00,20,37,L,401671794,2024 Regular Season,Davis Allen,2024,Regular Season,9,39.0,6.0,0.0,11.0,4.875,0.75,0.0,1.375,13.0,2.0,0.0,3.0,0.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,13,2024-12-01T21:05:00.000+00:00,14,21,W,401671753,2024 Regular Season,Davis Allen,2024,Regular Season,10,39.0,6.0,0.0,12.0,4.333333333333333,0.6666666666666666,0.0,1.3333333333333333,11.333333333333334,1.6666666666666667,0.0,2.3333333333333335,0.0,0.0,0,0
