receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
1,2,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,1,2022-09-09T00:20:00.000+00:00,10,31,W,401437654,2022 Regular Season,Dawson Knox,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
4,5,41,10.3,0,15,0,0,0.0,0,0,0,0,0,0,2,2022-09-19T23:15:00.000+00:00,41,7,W,401436831,2022 Regular Season,Dawson Knox,2022,Regular Season,2,5.0,1.0,0.0,2.0,5.0,1.0,0.0,2.0,5.0,1.0,0.0,2.0,5.0,0.0,0,0
4,4,25,6.3,0,8,0,0,0.0,0,0,0,0,0,0,3,2022-09-25T17:00:00.000+00:00,21,19,L,401437738,2022 Regular Season,Dawson Knox,2022,Regular Season,3,46.0,5.0,0.0,7.0,23.0,2.5,0.0,3.5,23.0,2.5,0.0,3.5,10.25,0.0,0,0
3,6,40,13.3,0,20,0,0,0.0,0,0,0,0,0,0,4,2022-10-02T17:00:00.000+00:00,20,23,W,401437750,2022 Regular Season,Dawson Knox,2022,Regular Season,4,71.0,9.0,0.0,11.0,23.666666666666668,3.0,0.0,3.6666666666666665,23.666666666666668,3.0,0.0,3.6666666666666665,6.25,0.0,0,0
3,3,37,12.3,1,20,0,0,0.0,0,0,0,0,0,0,6,2022-10-16T20:25:00.000+00:00,20,24,W,401437788,2022 Regular Season,Dawson Knox,2022,Regular Season,5,111.0,12.0,0.0,17.0,27.75,3.0,0.0,4.25,35.333333333333336,3.6666666666666665,0.0,5.0,13.333333333333334,0.0,0,1
2,3,10,5.0,1,9,0,0,0.0,0,0,0,0,0,0,8,2022-10-31T00:20:00.000+00:00,27,17,W,401437817,2022 Regular Season,Dawson Knox,2022,Regular Season,6,148.0,15.0,1.0,20.0,29.6,3.0,0.2,4.0,34.0,3.3333333333333335,0.3333333333333333,4.333333333333333,12.333333333333334,0.0,0,1
3,4,25,8.3,0,17,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,20,17,L,401437826,2022 Regular Season,Dawson Knox,2022,Regular Season,7,158.0,17.0,2.0,23.0,26.333333333333332,2.8333333333333335,0.3333333333333333,3.8333333333333335,29.0,2.6666666666666665,0.6666666666666666,4.0,5.0,0.05,0,0
4,6,57,14.3,0,22,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T18:00:00.000+00:00,30,33,L,401437833,2022 Regular Season,Dawson Knox,2022,Regular Season,8,183.0,20.0,2.0,27.0,26.142857142857142,2.857142857142857,0.2857142857142857,3.857142857142857,24.0,2.6666666666666665,0.6666666666666666,3.3333333333333335,8.333333333333334,0.08695652173913043,0,0
7,7,70,10.0,0,23,0,0,0.0,0,0,0,0,0,0,11,2022-11-20T18:00:00.000+00:00,31,23,W,401437847,2022 Regular Season,Dawson Knox,2022,Regular Season,9,240.0,24.0,2.0,33.0,30.0,3.0,0.25,4.125,30.666666666666668,3.0,0.3333333333333333,4.333333333333333,14.25,0.07407407407407407,0,0
2,2,17,8.5,0,15,0,0,0.0,0,0,0,0,0,0,12,2022-11-24T17:30:00.000+00:00,25,28,W,401437857,2022 Regular Season,Dawson Knox,2022,Regular Season,10,310.0,31.0,2.0,40.0,34.44444444444444,3.4444444444444446,0.2222222222222222,4.444444444444445,50.666666666666664,4.666666666666667,0.0,5.666666666666667,10.0,0.06060606060606061,0,0
0,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,13,2022-12-02T01:15:00.000+00:00,10,24,W,401437873,2022 Regular Season,Dawson Knox,2022,Regular Season,11,327.0,33.0,2.0,42.0,32.7,3.3,0.2,4.2,48.0,4.333333333333333,0.0,5.0,8.5,0.05,0,0
4,7,41,10.3,1,24,0,0,0.0,0,0,0,0,0,0,14,2022-12-11T18:00:00.000+00:00,20,12,W,401437889,2022 Regular Season,Dawson Knox,2022,Regular Season,12,327.0,33.0,2.0,43.0,29.727272727272727,3.0,0.18181818181818182,3.909090909090909,29.0,3.0,0.0,3.3333333333333335,0.0,0.047619047619047616,0,1
6,8,98,16.3,1,45,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T01:15:00.000+00:00,32,29,W,401437902,2022 Regular Season,Dawson Knox,2022,Regular Season,13,368.0,37.0,3.0,50.0,30.666666666666668,3.0833333333333335,0.25,4.166666666666667,19.333333333333332,2.0,0.3333333333333333,3.3333333333333335,10.25,0.046511627906976744,0,1
3,5,38,12.7,1,24,0,0,0.0,0,0,0,0,0,0,16,2022-12-24T18:00:00.000+00:00,13,35,W,401437920,2022 Regular Season,Dawson Knox,2022,Regular Season,14,466.0,43.0,4.0,58.0,35.84615384615385,3.3076923076923075,0.3076923076923077,4.461538461538462,46.333333333333336,3.3333333333333335,0.6666666666666666,5.333333333333333,16.333333333333332,0.06,0,1
2,2,13,6.5,1,9,0,0,0.0,0,0,0,0,0,0,18,2023-01-08T18:00:00.000+00:00,35,23,W,401437949,2022 Regular Season,Dawson Knox,2022,Regular Season,15,504.0,46.0,5.0,63.0,36.0,3.2857142857142856,0.35714285714285715,4.5,59.0,4.333333333333333,1.0,6.666666666666667,12.666666666666666,0.06896551724137931,0,1
3,4,25,8.3,0,15,0,0,0.0,0,0,0,0,0,0,1,2023-09-12T00:15:00.000+00:00,22,16,L,401547352,2023 Regular Season,Dawson Knox,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
3,5,10,3.3,1,7,0,0,0.0,0,0,0,0,0,0,2,2023-09-17T17:00:00.000+00:00,38,10,W,401547411,2023 Regular Season,Dawson Knox,2023,Regular Season,2,25.0,3.0,0.0,4.0,25.0,3.0,0.0,4.0,25.0,3.0,0.0,4.0,8.333333333333334,0.0,0,1
1,3,11,11.0,0,11,0,0,0.0,0,0,0,0,0,0,3,2023-09-24T17:00:00.000+00:00,3,37,W,401547431,2023 Regular Season,Dawson Knox,2023,Regular Season,3,35.0,6.0,1.0,9.0,17.5,3.0,0.5,4.5,17.5,3.0,0.5,4.5,3.3333333333333335,0.0,0,0
1,1,12,12.0,0,12,0,0,0.0,0,0,0,0,0,0,4,2023-10-01T17:00:00.000+00:00,48,20,W,401547443,2023 Regular Season,Dawson Knox,2023,Regular Season,4,46.0,7.0,1.0,12.0,15.333333333333334,2.3333333333333335,0.3333333333333333,4.0,15.333333333333334,2.3333333333333335,0.3333333333333333,4.0,11.0,0.1111111111111111,0,0
3,6,17,5.7,0,11,0,0,0.0,0,0,0,0,0,0,5,2023-10-08T13:30:00.000+00:00,20,25,L,401547228,2023 Regular Season,Dawson Knox,2023,Regular Season,5,58.0,8.0,1.0,13.0,14.5,2.0,0.25,3.25,11.0,1.6666666666666667,0.3333333333333333,3.0,12.0,0.08333333333333333,0,0
3,6,17,5.7,0,10,0,0,0.0,0,0,0,0,0,0,6,2023-10-16T00:20:00.000+00:00,14,9,W,401547481,2023 Regular Season,Dawson Knox,2023,Regular Season,6,75.0,11.0,1.0,19.0,15.0,2.2,0.2,3.8,13.333333333333334,1.6666666666666667,0.0,3.3333333333333335,5.666666666666667,0.07692307692307693,0,0
1,3,10,10.0,0,10,0,0,0.0,0,0,0,0,0,0,7,2023-10-22T17:00:00.000+00:00,29,25,L,401547485,2023 Regular Season,Dawson Knox,2023,Regular Season,7,92.0,14.0,1.0,25.0,15.333333333333334,2.3333333333333335,0.16666666666666666,4.166666666666667,15.333333333333334,2.3333333333333335,0.0,4.333333333333333,5.666666666666667,0.05263157894736842,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,8,2023-10-27T00:15:00.000+00:00,24,18,W,401547496,2023 Regular Season,Dawson Knox,2023,Regular Season,8,102.0,15.0,1.0,28.0,14.571428571428571,2.142857142857143,0.14285714285714285,4.0,14.666666666666666,2.3333333333333335,0.0,5.0,10.0,0.04,0,0
3,3,36,12.0,0,13,0,0,0.0,0,0,0,0,0,0,14,2023-12-10T21:25:00.000+00:00,17,20,W,401547583,2023 Regular Season,Dawson Knox,2023,Regular Season,9,102.0,15.0,1.0,28.0,12.75,1.875,0.125,3.5,9.0,1.3333333333333333,0.0,3.0,0.0,0.03571428571428571,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,15,2023-12-17T21:25:00.000+00:00,31,10,W,401547600,2023 Regular Season,Dawson Knox,2023,Regular Season,10,138.0,18.0,1.0,31.0,15.333333333333334,2.0,0.1111111111111111,3.4444444444444446,15.333333333333334,1.3333333333333333,0.0,2.0,12.0,0.03571428571428571,0,0
2,2,26,13.0,0,17,0,0,0.0,0,0,0,0,0,0,16,2023-12-24T01:00:00.000+00:00,22,24,W,401547611,2023 Regular Season,Dawson Knox,2023,Regular Season,11,138.0,18.0,1.0,31.0,13.8,1.8,0.1,3.1,12.0,1.0,0.0,1.0,0.0,0.03225806451612903,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,17,2023-12-31T18:00:00.000+00:00,27,21,W,401547626,2023 Regular Season,Dawson Knox,2023,Regular Season,12,164.0,20.0,1.0,33.0,14.909090909090908,1.8181818181818181,0.09090909090909091,3.0,20.666666666666668,1.6666666666666667,0.0,1.6666666666666667,13.0,0.03225806451612903,0,0
2,3,22,11.0,1,17,0,0,0.0,0,0,0,0,0,0,18,2024-01-08T01:20:00.000+00:00,14,21,W,401547647,2023 Regular Season,Dawson Knox,2023,Regular Season,13,164.0,20.0,1.0,33.0,13.666666666666666,1.6666666666666667,0.08333333333333333,2.75,8.666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.030303030303030304,0,1
1,2,23,23.0,0,23,0,0,0.0,0,0,0,0,0,0,1,2024-09-08T17:00:00.000+00:00,34,28,W,401671617,2024 Regular Season,Dawson Knox,2024,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,2,2024-09-13T00:15:00.000+00:00,10,31,W,401671807,2024 Regular Season,Dawson Knox,2024,Regular Season,2,23.0,1.0,0.0,2.0,23.0,1.0,0.0,2.0,23.0,1.0,0.0,2.0,23.0,0.0,0,0
1,2,7,7.0,0,7,0,0,0.0,0,0,0,0,0,0,3,2024-09-23T23:30:00.000+00:00,47,10,W,401671682,2024 Regular Season,Dawson Knox,2024,Regular Season,3,23.0,1.0,0.0,2.0,11.5,0.5,0.0,1.0,11.5,0.5,0.0,1.0,0.0,0.0,0,0
1,1,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,4,2024-09-30T00:20:00.000+00:00,35,10,L,401671783,2024 Regular Season,Dawson Knox,2024,Regular Season,4,30.0,2.0,0.0,4.0,10.0,0.6666666666666666,0.0,1.3333333333333333,10.0,0.6666666666666666,0.0,1.3333333333333333,7.0,0.0,0,0
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,5,2024-10-06T17:00:00.000+00:00,23,20,L,401671859,2024 Regular Season,Dawson Knox,2024,Regular Season,5,30.0,3.0,0.0,5.0,7.5,0.75,0.0,1.25,2.3333333333333335,0.6666666666666666,0.0,1.0,0.0,0.0,0,0
1,1,12,12.0,1,12,0,0,0.0,0,0,0,0,0,0,6,2024-10-15T00:15:00.000+00:00,20,23,W,401671684,2024 Regular Season,Dawson Knox,2024,Regular Season,6,30.0,3.0,0.0,5.0,6.0,0.6,0.0,1.0,2.3333333333333335,0.6666666666666666,0.0,1.0,0.0,0.0,0,1
1,3,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,7,2024-10-20T17:00:00.000+00:00,34,10,W,401671616,2024 Regular Season,Dawson Knox,2024,Regular Season,7,42.0,4.0,1.0,6.0,7.0,0.6666666666666666,0.16666666666666666,1.0,4.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,12.0,0.0,0,0
2,2,50,25.0,0,27,0,0,0.0,0,0,0,0,0,0,8,2024-10-27T20:05:00.000+00:00,10,31,W,401671760,2024 Regular Season,Dawson Knox,2024,Regular Season,8,47.0,5.0,1.0,9.0,6.714285714285714,0.7142857142857143,0.14285714285714285,1.2857142857142858,5.666666666666667,0.6666666666666666,0.3333333333333333,1.3333333333333333,5.0,0.16666666666666666,0,0
1,2,5,5.0,0,5,0,0,0.0,0,0,0,0,0,0,9,2024-11-03T18:00:00.000+00:00,30,27,W,401671493,2024 Regular Season,Dawson Knox,2024,Regular Season,9,97.0,7.0,1.0,11.0,12.125,0.875,0.125,1.375,22.333333333333332,1.3333333333333333,0.3333333333333333,2.0,25.0,0.1111111111111111,0,0
2,3,40,20.0,0,34,0,0,0.0,0,0,0,0,0,0,10,2024-11-10T18:00:00.000+00:00,20,30,W,401671863,2024 Regular Season,Dawson Knox,2024,Regular Season,10,102.0,8.0,1.0,13.0,11.333333333333334,0.8888888888888888,0.1111111111111111,1.4444444444444444,20.0,1.3333333333333333,0.0,2.3333333333333335,5.0,0.09090909090909091,0,0
4,6,40,10.0,0,24,0,0,0.0,0,0,0,0,-,-,11,2024-11-17T21:25:00.000+00:00,30,21,W,401671665,2024 Regular Season,Dawson Knox,2024,Regular Season,11,142.0,10.0,1.0,16.0,14.2,1.0,0.1,1.6,31.666666666666668,1.6666666666666667,0.0,2.3333333333333335,20.0,0.07692307692307693,0,0
2,2,56,28.0,0,39,0,0,0.0,0,0,0,0,-,-,13,2024-12-02T01:20:00.000+00:00,35,10,W,401671781,2024 Regular Season,Dawson Knox,2024,Regular Season,12,182.0,14.0,1.0,22.0,16.545454545454547,1.2727272727272727,0.09090909090909091,2.0,28.333333333333332,2.3333333333333335,0.0,3.6666666666666665,10.0,0.0625,0,0
