receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
3,4,64,21.3,1,30,0,0,0.0,0,0,0,0,0,0,1,2022-09-11T20:25:00.000+00:00,24,19,W,401437643,2022 Regular Season,DeAndre Carter,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
3,3,55,18.3,0,35,0,0,0.0,0,0,0,0,0,0,2,2022-09-16T00:15:00.000+00:00,27,24,L,401434030,2022 Regular Season,DeAndre Carter,2022,Regular Season,2,64.0,3.0,1.0,4.0,64.0,3.0,1.0,4.0,64.0,3.0,1.0,4.0,21.333333333333332,0.0,0,0
3,4,31,10.3,0,17,1,-5,-5.0,-5,0,0,0,0,0,3,2022-09-25T20:05:00.000+00:00,10,38,L,401437743,2022 Regular Season,DeAndre Carter,2022,Regular Season,3,119.0,6.0,1.0,7.0,59.5,3.0,0.5,3.5,59.5,3.0,0.5,3.5,18.333333333333332,0.25,0,0
2,3,16,8.0,0,14,0,0,0.0,0,0,1,1,0,0,4,2022-10-02T17:00:00.000+00:00,24,34,W,401437753,2022 Regular Season,DeAndre Carter,2022,Regular Season,4,150.0,9.0,1.0,11.0,50.0,3.0,0.3333333333333333,3.6666666666666665,50.0,3.0,0.3333333333333333,3.6666666666666665,10.333333333333334,0.14285714285714285,0,0
2,2,9,4.5,0,7,0,0,0.0,0,0,0,0,0,0,5,2022-10-09T17:00:00.000+00:00,28,30,W,401437764,2022 Regular Season,DeAndre Carter,2022,Regular Season,5,166.0,11.0,1.0,14.0,41.5,2.75,0.25,3.5,34.0,2.6666666666666665,0.0,3.3333333333333335,8.0,0.09090909090909091,0,0
3,5,17,5.7,0,7,0,0,0.0,0,0,0,0,0,0,6,2022-10-18T00:15:00.000+00:00,19,16,W,401437790,2022 Regular Season,DeAndre Carter,2022,Regular Season,6,175.0,13.0,1.0,16.0,35.0,2.6,0.2,3.2,18.666666666666668,2.3333333333333335,0.0,3.0,4.5,0.07142857142857142,0,0
3,7,37,12.3,0,22,0,0,0.0,0,0,0,0,0,0,7,2022-10-23T20:25:00.000+00:00,23,37,L,401437801,2022 Regular Season,DeAndre Carter,2022,Regular Season,7,192.0,16.0,1.0,21.0,32.0,2.6666666666666665,0.16666666666666666,3.5,14.0,2.3333333333333335,0.0,3.3333333333333335,5.666666666666667,0.0625,0,0
5,6,53,10.6,0,23,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T18:00:00.000+00:00,17,20,W,401437820,2022 Regular Season,DeAndre Carter,2022,Regular Season,8,229.0,19.0,1.0,28.0,32.714285714285715,2.7142857142857144,0.14285714285714285,4.0,21.0,2.6666666666666665,0.0,4.666666666666667,12.333333333333334,0.047619047619047616,0,0
4,4,64,16.0,1,33,0,0,0.0,0,0,0,0,0,0,10,2022-11-14T01:20:00.000+00:00,22,16,L,401437842,2022 Regular Season,DeAndre Carter,2022,Regular Season,9,282.0,24.0,1.0,34.0,35.25,3.0,0.125,4.25,35.666666666666664,3.6666666666666665,0.0,6.0,10.6,0.03571428571428571,0,1
3,3,33,11.0,0,20,0,0,0.0,0,0,0,0,0,0,11,2022-11-21T01:20:00.000+00:00,27,30,L,401437854,2022 Regular Season,DeAndre Carter,2022,Regular Season,10,346.0,28.0,2.0,38.0,38.44444444444444,3.111111111111111,0.2222222222222222,4.222222222222222,51.333333333333336,4.0,0.3333333333333333,5.666666666666667,16.0,0.029411764705882353,0,0
7,10,73,10.4,1,33,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T21:05:00.000+00:00,24,25,W,401437867,2022 Regular Season,DeAndre Carter,2022,Regular Season,11,379.0,31.0,2.0,41.0,37.9,3.1,0.2,4.1,50.0,4.0,0.3333333333333333,4.333333333333333,11.0,0.05263157894736842,0,1
1,2,14,14.0,0,14,0,0,0.0,0,0,0,0,0,0,13,2022-12-04T21:25:00.000+00:00,27,20,L,401437885,2022 Regular Season,DeAndre Carter,2022,Regular Season,12,452.0,38.0,3.0,51.0,41.09090909090909,3.4545454545454546,0.2727272727272727,4.636363636363637,56.666666666666664,4.666666666666667,0.6666666666666666,5.666666666666667,10.428571428571429,0.04878048780487805,0,0
1,2,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,14,2022-12-12T01:20:00.000+00:00,23,17,W,401437896,2022 Regular Season,DeAndre Carter,2022,Regular Season,13,466.0,39.0,3.0,53.0,38.833333333333336,3.25,0.25,4.416666666666667,40.0,3.6666666666666665,0.3333333333333333,5.0,14.0,0.058823529411764705,0,0
1,2,15,15.0,0,15,1,-10,-10.0,-10,0,0,0,0,0,15,2022-12-18T21:25:00.000+00:00,17,14,W,401437913,2022 Regular Season,DeAndre Carter,2022,Regular Season,14,466.0,40.0,3.0,55.0,35.84615384615385,3.076923076923077,0.23076923076923078,4.230769230769231,29.0,3.0,0.3333333333333333,4.666666666666667,0.0,0.05660377358490566,0,0
