receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost,fumblesForced,kicksBlocked,week,date,homeScore,awayScore,result,eventId,seasonName,fullName,seasonYr,seasonType,weeks_played,cumulative_receiving_yards,cumulative_receptions,cumulative_receiving_touchdowns,cumulative_targets,cumulative_yards_per_game,cumulative_receptions_per_game,cumulative_tds_per_game,cumulative_targets_per_game,avg_receiving_yards_last_3,avg_receptions_last_3,avg_tds_last_3,avg_targets_last_3,yards_per_reception,td_rate_per_target,is_first_week,td
10,14,103,10.3,0,18,0,0,0.0,0,0,1,0,0,0,7,2022-10-21T00:15:00.000+00:00,42,34,W,401437791,2022 Regular Season,DeAndre Hopkins,2022,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
12,13,159,13.3,1,33,0,0,0.0,0,0,0,0,0,0,8,2022-10-30T17:00:00.000+00:00,34,26,L,401437809,2022 Regular Season,DeAndre Hopkins,2022,Regular Season,2,103.0,10.0,0.0,14.0,103.0,10.0,0.0,14.0,103.0,10.0,0.0,14.0,10.3,0.0,0,1
4,5,36,9.0,1,22,0,0,0.0,0,0,0,0,0,0,9,2022-11-06T21:05:00.000+00:00,21,31,L,401437828,2022 Regular Season,DeAndre Hopkins,2022,Regular Season,3,262.0,22.0,1.0,27.0,131.0,11.0,0.5,13.5,131.0,11.0,0.5,13.5,13.25,0.0,0,1
10,14,98,9.8,0,25,0,0,0.0,0,0,0,0,0,0,10,2022-11-13T21:25:00.000+00:00,17,27,W,401437841,2022 Regular Season,DeAndre Hopkins,2022,Regular Season,4,298.0,26.0,2.0,32.0,99.33333333333333,8.666666666666666,0.6666666666666666,10.666666666666666,99.33333333333333,8.666666666666666,0.6666666666666666,10.666666666666666,9.0,0.037037037037037035,0,0
9,12,91,10.1,0,17,0,0,0.0,0,0,0,0,0,0,11,2022-11-22T01:15:00.000+00:00,10,38,L,401435642,2022 Regular Season,DeAndre Hopkins,2022,Regular Season,5,396.0,36.0,2.0,46.0,99.0,9.0,0.5,11.5,97.66666666666667,8.666666666666666,0.6666666666666666,10.666666666666666,9.8,0.0625,0,0
4,6,87,21.8,1,33,0,0,0.0,0,0,0,0,0,0,12,2022-11-27T21:05:00.000+00:00,24,25,L,401437867,2022 Regular Season,DeAndre Hopkins,2022,Regular Season,6,487.0,45.0,2.0,58.0,97.4,9.0,0.4,11.6,75.0,7.666666666666667,0.3333333333333333,10.333333333333334,10.11111111111111,0.043478260869565216,0,1
7,11,79,11.3,0,23,0,0,0.0,0,0,1,1,0,0,14,2022-12-13T01:15:00.000+00:00,13,27,L,401437900,2022 Regular Season,DeAndre Hopkins,2022,Regular Season,7,574.0,49.0,3.0,64.0,95.66666666666667,8.166666666666666,0.5,10.666666666666666,92.0,7.666666666666667,0.3333333333333333,10.666666666666666,21.75,0.034482758620689655,0,0
7,11,60,8.6,0,18,0,0,0.0,0,0,0,0,0,0,15,2022-12-18T21:05:00.000+00:00,24,15,L,401437912,2022 Regular Season,DeAndre Hopkins,2022,Regular Season,8,653.0,56.0,3.0,75.0,93.28571428571429,8.0,0.42857142857142855,10.714285714285714,85.66666666666667,6.666666666666667,0.3333333333333333,9.666666666666666,11.285714285714286,0.046875,0,0
1,10,4,4.0,0,4,0,0,0.0,0,0,0,0,0,0,16,2022-12-26T01:20:00.000+00:00,16,19,L,401437930,2022 Regular Season,DeAndre Hopkins,2022,Regular Season,9,713.0,63.0,3.0,86.0,89.125,7.875,0.375,10.75,75.33333333333333,6.0,0.3333333333333333,9.333333333333334,8.571428571428571,0.04,0,0
7,13,65,9.3,0,16,0,0,0.0,0,0,0,0,0,0,1,2023-09-10T17:00:00.000+00:00,16,15,L,401547399,2023 Regular Season,DeAndre Hopkins,2023,Regular Season,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
